
                       be used for evaluation purposes
                                                            29-Mar-2019 15:22
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AI022619_FP09_5cm_131.Chn        
 Sample Title : Sr60-3_p40                                       

 Spectrum saved on 26-Feb-2019 at  8:18    Collected on 26-Feb-2019 at  8:14
 Sample  Taken  on 26-Feb-2019 at  8:14    Decayed      0 Days,     0 mins.

            Detector file number used:     3
            Energy     Calibration Performed on 27-Mar-2019 at 16:26
            Peak Shape Calibration Performed on 27-Mar-2019 at 16:29


   Datetime:  26-Feb-2019  8:14
   Live:       211.00 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   67.4   358.8   0.94     7.3    0.71       809   13.8   3.8321e+00   13.8     1011
   72.8   387.5   0.91     7.3    0.63       791   12.7   3.7481e+00   12.7      859
   74.9   398.9   0.91    11.6    0.63      1313    8.3   6.2226e+00    8.3      954
   84.8   451.2   0.96     6.3    1.23       557   19.3   2.6399e+00   19.3      938
  127.1   676.8   1.01     3.5    0.87       265   37.2   1.2579e+00   37.2      956
  138.4   736.9   1.04    14.9    1.43      2602    5.5   1.2333e+01    5.5     1004
  190.2  1012.9   1.08     3.4    0.71       208   51.7   9.8766e-01   51.7     1262
  202.6  1079.1   1.10     6.7    0.62       760   13.7   3.6042e+00   13.7     1049
  336.5  1792.1   1.33    59.7    1.72     35413    1.0   1.6784e+02    1.0      598
  355.7  1894.5   1.28     4.1    1.09       256   27.1   1.2141e+00   27.1      414
  391.9  2087.4   1.37    17.1    1.05      2906    4.0   1.3770e+01    4.0      406
  417.2  2221.7   1.40    31.5    1.37      9601    1.9   4.5500e+01    1.9      343
  438.8  2336.9   1.38     3.4    0.71       141   41.2   6.6775e-01   41.2      300
  463.3  2467.6   1.40     3.8    1.16       200   29.5   9.5015e-01   29.5      254
  479.7  2555.0   1.42     5.3    0.78       365   17.8   1.7306e+00   17.8      305
  511.3  2722.9   2.92     8.8    1.75      8494    2.7   4.0254e+01    2.7      749
  555.9  2960.7   1.51     4.2    1.02       152   38.3   7.2147e-01   38.3      273
  618.0  3291.5   1.59     3.5    1.08       122   49.3   5.7772e-01   49.3      286
  670.0  3568.3   1.65     3.7    0.86       207   29.8   9.8039e-01   29.8      298
  811.2  4320.3   1.90     3.4    1.07       247   26.2   1.1712e+00   26.2      351
  819.0  4362.1   1.91    14.6    1.07      2465    4.5   1.1683e+01    4.5      351
  909.5  4844.2   1.93     8.5    0.81       997    8.7   4.7264e+00    8.7      348
 1097.7  5846.3   2.18    32.9    1.10      9533    2.1   4.5179e+01    2.1      305
 1293.9  6891.9   2.45    35.4    0.98     12039    1.8   5.7055e+01    1.8       61
 1369.0  7291.7   2.51    12.6    1.02      1586    4.7   7.5181e+00    4.7       59
 1377.9  7339.1   2.52     4.8    1.02       253   16.0   1.1984e+00   16.0       59
 1508.0  8031.9   2.72    11.2    0.75      1241    5.6   5.8835e+00    5.6       38
 1732.2  9226.0   2.89     3.6    0.93        77   42.5   3.6548e-01   42.5       56
 1753.0  9336.8   2.92     4.9    0.86       241   18.3   1.1403e+00   18.3       68
 2112.6 11252.5   3.39    12.1    0.88      1409    5.3   6.6761e+00    5.3       28
 2243.6 11950.0   3.50     3.8    0.97       119   27.6   5.6474e-01   27.6       30
 2390.5 12732.4   3.67     3.3    0.59        56   46.9   2.6705e-01   46.9       25
 2754.5 14671.3   4.00    10.2    0.90       882    7.0   4.1806e+00    7.0        9
