
                       be used for evaluation purposes
                                                            29-Mar-2019 15:27
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AN022619_FP05_5cm_room131.Chn    
 Sample Title : Sr60-3_p40                                       

 Spectrum saved on 26-Feb-2019 at 15:50    Collected on 26-Feb-2019 at 15:41
 Sample  Taken  on 26-Feb-2019 at 15:41    Decayed      0 Days,     0 mins.

            Detector file number used:     3
            Energy     Calibration Performed on 27-Mar-2019 at 16:26
            Peak Shape Calibration Performed on 27-Mar-2019 at 16:29


   Datetime:  26-Feb-2019 15:41
   Live:       514.00 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   72.9   387.8   0.95     3.7    0.99       259   20.7   5.0479e-01   20.7      250
   75.1   399.5   0.95     6.1    0.99       428   13.6   8.3278e-01   13.6      225
   84.9   451.8   0.96     4.3    0.88       212   26.7   4.1322e-01   26.7      269
  122.2   650.7   1.00     4.5    0.86       259   19.6   5.0357e-01   19.6      261
  127.4   678.2   1.01     5.7    0.86       556   11.9   1.0808e+00   11.9      261
  171.6   913.8   1.06     3.8    1.36       163   40.9   3.1640e-01   40.9      343
  184.9   984.7   1.08     3.7    1.12       158   35.0   3.0756e-01   35.0      342
  190.5  1014.6   1.08     4.6    1.12       231   24.3   4.5004e-01   24.3      342
  202.7  1079.5   1.10     4.9    0.87       321   18.7   6.2528e-01   18.7      283
  245.7  1308.2   1.15     4.1    0.74       174   27.4   3.3879e-01   27.4      215
  336.5  1792.3   1.29    34.0    0.64     10292    1.7   2.0024e+01    1.7      184
  392.0  2087.9   1.32     4.9    1.20       187   21.5   3.6361e-01   21.5       94
  438.9  2337.3   1.38     4.9    0.65       222   18.1   4.3134e-01   18.1       68
  479.8  2555.1   1.42     3.7    0.96       191   18.1   3.7219e-01   18.1       59
  511.3  2723.0   2.92     7.5    1.88      5544    2.7   1.0786e+01    2.7      197
  811.2  4320.4   1.81     5.9    0.99       337   11.3   6.5568e-01   11.3       33
  909.4  4843.8   1.93    16.1    0.91      2306    4.0   4.4869e+00    4.0       33
 1293.6  6890.2   2.38     3.6    0.69        38   54.7   7.3765e-02   54.7       17
 1369.0  7291.8   2.49    14.1    0.92      1826    4.5   3.5525e+00    4.5       13
 1378.0  7339.6   2.50     7.7    0.92       496    9.0   9.6504e-01    9.0       12
 1732.0  9225.4   2.89     3.9    0.70        89   28.5   1.7348e-01   28.5       18
 1920.1 10226.9   3.12     3.5    0.78        77   33.0   1.5031e-01   33.0       17
 2243.5 11949.8   3.50     3.5    0.87       142   22.7   2.7698e-01   22.7       23
 2754.3 14670.4   4.10    10.3    1.01       949    7.1   1.8464e+00    7.1        1
