
                       be used for evaluation purposes
                                                            29-Mar-2019 15:30
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AP022619_FP07_5cm_room131.Chn    
 Sample Title : Sr60-3_p40                                       

 Spectrum saved on 26-Feb-2019 at 16:12    Collected on 26-Feb-2019 at 16:05
 Sample  Taken  on 26-Feb-2019 at 16:05    Decayed      0 Days,     0 mins.

            Detector file number used:     3
            Energy     Calibration Performed on 27-Mar-2019 at 16:26
            Peak Shape Calibration Performed on 27-Mar-2019 at 16:29


   Datetime:  26-Feb-2019 16:05
   Live:       369.00 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   72.9   387.9   0.95     3.7    1.00       205   25.9   5.5476e-01   25.9      245
   75.0   399.2   0.95     6.2    1.00       358   17.0   9.6986e-01   17.0      245
   84.8   451.5   0.96     4.0    1.02        95   56.8   2.5641e-01   56.8      233
  122.1   650.1   1.00     4.1    0.90        91   50.3   2.4726e-01   50.3      236
  127.4   678.4   1.01     3.4    0.90       224   21.0   6.0687e-01   21.0      236
  184.7   983.4   1.08     3.9    1.37       186   29.3   5.0337e-01   29.3      322
  190.3  1013.4   1.08     3.3    1.37       153   34.1   4.1563e-01   34.1      322
  202.7  1079.4   1.10     5.5    0.75       292   20.0   7.9095e-01   20.0      266
  336.5  1792.3   1.26    35.3    0.59     10624    1.7   2.8792e+01    1.7      153
  392.0  2087.6   1.32     4.4    1.25       147   23.7   3.9900e-01   23.7       73
  438.9  2337.3   1.38     3.9    1.01       208   16.2   5.6407e-01   16.2       48
  479.9  2555.7   1.42     3.6    0.69       128   22.9   3.4793e-01   22.9       44
  511.3  2723.3   2.92     7.5    1.79      5089    2.9   1.3791e+01    2.9      190
  811.1  4320.1   1.81     7.0    0.87       308   11.6   8.3370e-01   11.6       29
  909.5  4844.1   1.94    14.6    0.74      1708    4.4   4.6283e+00    4.4       36
 1369.0  7291.8   2.47    14.8    0.84      1740    4.3   4.7151e+00    4.3       13
 1378.1  7340.0   2.48     5.6    0.84       309   11.5   8.3673e-01   11.5       13
 1731.6  9223.3   2.89     3.8    0.64        78   31.6   2.1061e-01   31.6       13
 1920.1 10227.0   3.12     3.6    0.72        46   50.3   1.2357e-01   50.3       14
 2242.9 11946.5   3.49     3.5    0.92       108   28.2   2.9321e-01   28.2       30
 2754.6 14671.8   4.09    10.6    0.67       823    7.1   2.2308e+00    7.1        4
