
                       be used for evaluation purposes
                                                            21-Mar-2019 10:46
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: BC030119_FP05_5cm_room131.Chn    
 Sample Title :                                                  

 Spectrum saved on  1-Mar-2019 at  9:28    Collected on 28-Feb-2019 at 22:42
 Sample  Taken  on 28-Feb-2019 at 22:42    Decayed      0 Days,     0 mins.

            Detector file number used:     2
            Energy     Calibration Performed on 20-Mar-2019 at 15:12
            Peak Shape Calibration Performed on 20-Mar-2019 at 15:15

 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   63.4   337.3   0.94     6.9    1.07      1026   20.7   2.6516e-02   20.7     3378
   72.9   387.9   0.93    16.7    1.48      3666    6.7   9.4769e-02    6.7     4084
   75.0   399.3   0.93    24.9    1.48      6245    4.1   1.6143e-01    4.1     3676
   84.8   451.4   0.97     9.0    0.97      2571   12.0   6.6469e-02   12.0     4038
   87.5   465.6   0.97     4.7    0.97       655   44.7   1.6941e-02   44.7     4486
   93.0   495.4   0.98     5.3    1.37      1196   33.1   3.0916e-02   33.1     4852
  122.2   650.7   0.98    46.7    1.06     22737    1.4   5.8772e-01    1.4     3697
  127.3   678.1   0.99    35.0    1.06     14074    1.9   3.6380e-01    1.9     3697
  136.6   727.6   0.95    15.3    1.06      2685    7.5   6.9408e-02    7.5     3247
  143.7   765.5   1.04     3.3    0.73       338   54.6   8.7322e-03   54.6     3769
  171.6   913.7   1.06    24.5    0.71      6802    3.9   1.7583e-01    3.9     4068
  184.8   984.3   1.16    18.1    2.74      4640   11.6   1.1994e-01   11.6     4823
  190.5  1014.4   1.09    37.4    0.65     14635    2.1   3.7829e-01    2.1     4162
  245.6  1308.3   1.15    22.9    0.96      6020    4.3   1.5561e-01    4.3     3648
  336.6  1792.5   1.25     8.1    0.90      1487   13.4   3.8427e-02   13.4     3960
  393.1  2093.5   1.32     5.6    0.79       710   21.5   1.8354e-02   21.5     2208
  439.0  2338.1   1.37     6.8    0.65       790   18.2   2.0427e-02   18.2     1999
  511.4  2723.6   3.00    29.5    3.36    117706    0.7   3.0425e+00    0.7     5158
  528.1  2812.5   1.47     3.4    0.90       459   31.3   1.1855e-02   31.3     2010
  558.9  2976.6   1.43    11.3    0.85      1550   10.1   4.0067e-02   10.1     1912
  725.4  3863.8   1.70     6.2    1.36      1499   11.2   3.8755e-02   11.2     1699
  757.2  4032.9   1.73     5.9    1.08       705   18.3   1.8229e-02   18.3     1195
  811.3  4320.9   1.84    57.9    1.69     31030    1.3   8.0208e-01    1.3      651
  847.3  4512.7   1.83     7.5    0.78       576   16.2   1.4877e-02   16.2      560
  864.4  4603.9   1.85     3.5    0.79       150   56.2   3.8733e-03   56.2      594
  909.6  4844.9   1.93   106.7    5.88    102310    0.9   2.6446e+00    0.9      326
 1116.2  5945.1   2.14     8.4    0.97       730   14.7   1.8868e-02   14.7      666
 1238.8  6598.3   2.28     3.8    0.77       254   27.0   6.5687e-03   27.0      306
 1369.3  7293.2   2.45    30.5    1.25      8734    2.1   2.2575e-01    2.1      116
 1378.3  7340.9   2.46    35.5    1.25     12188    1.7   3.1505e-01    1.7      121
 1461.7  7785.2   2.53     3.9    1.03       117   45.1   3.0355e-03   45.1      162
 1675.9  8926.0   2.77     3.6    1.24        97   51.6   2.5077e-03   51.6      138
 1714.1  9129.8   2.82     6.2    0.91       427   14.0   1.1040e-02   14.0      122
 1732.3  9226.9   2.84     3.4    1.29       401   14.9   1.0362e-02   14.9      129
 1758.3  9365.3   2.87     9.3    0.87       796    8.1   2.0579e-02    8.1      116
 1771.7  9436.5   2.88     3.5    0.87        75   50.6   1.9488e-03   50.6      116
 1888.6 10059.3   3.01     3.6    1.17       141   34.0   3.6423e-03   34.0      114
 1920.3 10228.2   2.93    13.9    1.09      1653    5.0   4.2738e-02    5.0       85
 2243.7 11950.8   3.42     6.4    1.27       729    9.7   1.8848e-02    9.7      122
 2616.3 13935.0   3.84     3.4    0.89        67   56.7   1.7394e-03   56.7       79
 2755.2 14674.8   3.67    23.1    1.17      4476    2.9   1.1570e-01    2.9       19
