
                       be used for evaluation purposes
                                                            21-Mar-2019 10:53
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: BG030419_FP03_5cm_room131.Chn    
 Sample Title : Sr-25, p-5cm                                     

 Spectrum saved on  6-Mar-2019 at  9:52    Collected on  5-Mar-2019 at 10:10
 Sample  Taken  on  5-Mar-2019 at 10:10    Decayed      0 Days,     0 mins.

            Detector file number used:     2
            Energy     Calibration Performed on 20-Mar-2019 at 15:12
            Peak Shape Calibration Performed on 20-Mar-2019 at 15:15

 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   46.5   247.6   0.93     3.9    1.02       573   34.1   6.7206e-03   34.1     3185
   53.5   284.6   0.93     3.3    0.88       450   45.7   5.2782e-03   45.7     3293
   63.3   337.0   0.92    10.3    1.04      1931   12.3   2.2662e-02   12.3     4369
   72.8   387.8   0.94    16.8    0.76      4317    5.6   5.0649e-02    5.6     4694
   75.0   399.2   0.94    26.6    0.76      7903    3.3   9.2731e-02    3.3     4694
   84.8   451.5   1.11!   10.9    1.13      3772    6.7   4.4255e-02    6.7     5313
   87.3   464.8   1.12!    5.2    1.13      1064   22.3   1.2484e-02   22.3     5313
   92.7   493.8   0.98     7.1    1.84      2363   17.5   2.7724e-02   17.5     5378
  122.2   650.6   0.98    80.1    1.01     51750    0.9   6.0721e-01    0.9     3999
  127.3   678.1   0.99    17.1    1.01      3595    6.1   4.2178e-02    6.1     3999
  136.6   727.4   0.99    24.6    1.13      6194    4.1   7.2676e-02    4.1     3708
  143.8   766.0   1.04     3.6    0.55       592   30.4   6.9509e-03   30.4     3523
  171.5   913.5   1.07    17.9    0.80      4311    5.3   5.0582e-02    5.3     3953
  184.8   983.9   1.06     8.0    0.98      2509    8.6   2.9434e-02    8.6     3698
  185.9   990.1   1.06     5.3    0.98      2064   10.0   2.4221e-02   10.0     3698
  190.5  1014.2   1.07    61.4    0.98     32407    1.3   3.8025e-01    1.3     4068
  238.9  1272.1   1.14     3.5    1.03       318   58.6   3.7370e-03   58.6     3936
  245.6  1308.1   1.15    15.8    0.52      3551    5.7   4.1661e-02    5.7     3793
  336.6  1792.8   1.25     6.5    1.14       859   22.1   1.0075e-02   22.1     3373
  393.1  2093.5   1.32     6.6    1.14      1100   15.0   1.2911e-02   15.0     2333
  511.3  2723.1   3.01    25.8    2.18     87754    0.8   1.0297e+00    0.8     5120
  558.8  2976.0   1.51    17.7    1.00      3640    5.3   4.2714e-02    5.3     2189
  725.3  3863.3   1.95!   13.0    0.75      3709    5.0   4.3520e-02    5.0     1793
  757.1  4032.3   1.73     8.5    0.80      1110    9.8   1.3021e-02    9.8     1144
  766.0  4079.9   1.74     3.7    0.80       360   27.2   4.2235e-03   27.2     1077
  811.1  4320.1   1.83    77.5    2.70     55517    1.0   6.5141e-01    1.0      589
  835.2  4448.4   1.82     5.5    1.14       354   24.8   4.1537e-03   24.8      494
  847.2  4512.1   1.83     8.0    1.25       820   11.7   9.6167e-03   11.7      528
  864.4  4604.0   1.85     3.6    0.91       316   26.6   3.7128e-03   26.6      524
  909.5  4844.0   1.93    96.9    5.50     83651    0.8   9.8152e-01    0.8      345
 1115.9  5943.6   2.10    12.9    0.94      1632    6.2   1.9152e-02    6.2      286
 1173.5  6250.5   2.20     3.5    1.21       113   53.6   1.3280e-03   53.6      238
 1238.8  6598.0   2.28     4.7    1.38       397   17.2   4.6565e-03   17.2      209
 1321.8  7040.4   2.37     3.7    0.77       201   23.2   2.3635e-03   23.2      181
 1332.8  7098.9   2.38     3.4    0.77       128   34.6   1.5019e-03   34.6      173
 1369.1  7292.4   2.46     4.2    1.23       175   29.8   2.0560e-03   29.8      130
 1378.1  7339.8   2.47    16.5    1.23      2844    3.8   3.3368e-02    3.8      130
 1461.3  7783.3   2.53     5.2    1.15       241   22.1   2.8305e-03   22.1      132
 1658.2  8832.2   2.75     3.5    1.17        82   47.5   9.6372e-04   47.5       75
 1675.1  8922.1   2.77     3.4    1.20       168   27.0   1.9767e-03   27.0       79
 1713.9  9128.6   2.82     5.8    0.82       396   12.4   4.6512e-03   12.4       75
 1758.0  9363.8   2.87     4.9    1.09       183   20.8   2.1472e-03   20.8       79
 1772.0  9438.1   2.88     3.5    1.09        56   57.4   6.5857e-04   57.4       79
 1836.4  9780.9   2.95     3.3    0.97       102   33.2   1.1999e-03   33.2       48
 1919.9 10226.0   3.05     6.0    0.80       410   11.1   4.8054e-03   11.1       41
 2599.3 13844.5   3.82     3.6    0.81        77   32.7   9.0428e-04   32.7       23
 2615.3 13929.9   3.84     3.5    0.81       131   22.9   1.5320e-03   22.9       24
 2754.7 14672.4   4.00     3.3    0.68        62   45.8   7.3016e-04   45.8       29

 ! indicates the Iterative Peak Width fitting reached a limiting value.
