
                       be used for evaluation purposes
                                                            21-Mar-2019 10:18
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AU022819_FP01_5cm_room131.Chn    
 Sample Title :                                                  

 Spectrum saved on 28-Feb-2019 at 16:03    Collected on 28-Feb-2019 at 14:31
 Sample  Taken  on 28-Feb-2019 at 14:31    Decayed      0 Days,     0 mins.

            Detector file number used:     2
            Energy     Calibration Performed on 20-Mar-2019 at 15:12
            Peak Shape Calibration Performed on 20-Mar-2019 at 15:15

 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   72.8   387.6   0.94     6.7    1.37       634   16.1   1.1713e-01   16.1      683
   75.0   399.3   0.94    10.5    1.37      1039   10.0   1.9182e-01   10.0      683
   84.9   451.8   0.97     4.7    1.18       542   15.5   1.0012e-01   15.5      729
   87.4   465.3   0.97     3.3    1.18       153   47.4   2.8315e-02   47.4      729
   91.5   487.2   0.98     3.6    1.18       204   38.1   3.7635e-02   38.1      729
   93.3   496.5   0.98     5.2    1.18       574   15.4   1.0594e-01   15.4      656
  122.2   650.8   1.00    13.0    0.72      1873    5.6   3.4584e-01    5.6      707
  127.3   678.1   1.00    12.3    0.72      1543    6.4   2.8487e-01    6.4      707
  136.6   727.3   1.03     3.7    0.96       226   38.2   4.1700e-02   38.2      679
  171.5   913.5   1.07     8.9    1.58       905   12.3   1.6714e-01   12.3      747
  184.8   984.1   1.08     8.9    0.82      1119    9.8   2.0672e-01    9.8      850
  190.5  1014.5   1.14    15.1    0.63      2573    5.1   4.7519e-01    5.1      801
  245.7  1308.6   1.15     8.1    0.68       764   12.5   1.4104e-01   12.5      714
  336.5  1792.2   1.25     3.7    1.19       286   32.9   5.2841e-02   32.9      685
  439.1  2338.7   1.37     4.9    0.76       264   25.4   4.8716e-02   25.4      358
  511.4  2723.6   2.96    14.4    1.55     23167    1.4   4.2784e+00    1.4      961
  558.8  2976.4   1.51     4.4    0.98       305   23.0   5.6263e-02   23.0      351
  725.5  3864.2   1.70     4.0    1.17       263   26.3   4.8645e-02   26.3      328
  811.2  4320.8   1.78    21.0    1.10      3650    3.4   6.7402e-01    3.4      130
  909.6  4844.9   1.92    49.0    2.27     20394    1.5   3.7662e+00    1.5       95
 1116.1  5944.4   2.14     3.7    1.26       147   35.2   2.7100e-02   35.2      166
 1369.3  7293.3   2.41    19.0    1.00      3158    3.3   5.8329e-01    3.3       24
 1378.3  7341.0   2.42    15.3    1.00      2238    3.8   4.1323e-01    3.8       23
 1714.3  9130.6   2.82     3.7    0.64        87   30.3   1.6021e-02   30.3       22
 1732.1  9225.4   2.84     3.7    0.88       147   21.5   2.7139e-02   21.5       34
 1758.4  9365.5   2.87     4.6    0.63       142   21.6   2.6297e-02   21.6       26
 1920.4 10228.7   3.05     5.2    0.77       315   12.3   5.8126e-02   12.3       24
 2243.7 11950.5   3.42     3.7    0.82       246   15.9   4.5410e-02   15.9       34
 2755.1 14674.6   3.72    14.2    0.74      1652    4.7   3.0508e-01    4.7        4
