
                       be used for evaluation purposes
                                                            20-Mar-2019 15:20
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AA022619_FP01_10cm_131.Chn       
 Sample Title : Sr60-3_p40                                       

 Spectrum saved on 26-Feb-2019 at  7:37    Collected on 26-Feb-2019 at  7:07
 Sample  Taken  on 26-Feb-2019 at  7:07    Decayed      0 Days,     0 mins.

            Detector file number used:     2
            Energy     Calibration Performed on 20-Mar-2019 at 15:12
            Peak Shape Calibration Performed on 20-Mar-2019 at 15:15

 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   72.8   387.6   0.98    12.1    0.86      1758    8.2   2.8347e+00    8.2     1379
   75.0   399.1   0.99    16.7    0.86      3273    4.8   5.2798e+00    4.8     1379
   84.8   451.5   0.97     6.5    0.99      1176   10.7   1.8963e+00   10.7     1190
   87.5   466.0   0.97     3.4    0.99       344   31.0   5.5411e-01   31.0     1322
  127.2   677.6   1.02     3.6    0.90       209   56.8   3.3648e-01   56.8     1534
  138.4   737.2   1.06    11.5    1.07      1959    7.9   3.1601e+00    7.9     1366
  156.6   833.9   1.05     3.4    0.90       373   33.3   6.0142e-01   33.3     1480
  202.7  1079.4   1.10     9.9    0.63      1390    9.7   2.2424e+00    9.7     1662
  336.5  1792.2   1.29    36.7    0.71     12620    1.9   2.0355e+01    1.9     1262
  355.6  1893.9   1.28     3.7    0.63       198   45.6   3.1976e-01   45.6      799
  388.7  2070.1   1.32     3.5    0.85       196   40.1   3.1593e-01   40.1      608
  391.9  2087.4   1.33    18.0    0.85      2780    4.3   4.4833e+00    4.3      608
  417.2  2221.8   1.40    29.3    1.14      7939    2.3   1.2804e+01    2.3      453
  439.0  2337.9   1.37     3.5    0.94       188   37.4   3.0297e-01   37.4      451
  463.5  2468.5   1.40     3.3    0.89       188   36.2   3.0375e-01   36.2      395
  479.9  2555.8   1.42     7.5    1.28       750   11.3   1.2104e+00   11.3      379
  511.3  2723.0   2.87    21.4    3.84     48950    1.0   7.8952e+01    1.0     1513
  555.9  2960.8   1.50     6.4    0.83       386   18.5   6.2179e-01   18.5      337
  618.0  3291.3   1.57     4.4    1.11       294   23.8   4.7410e-01   23.8      324
  670.0  3568.7   1.63     9.2    1.09      1140    8.0   1.8394e+00    8.0      361
  819.0  4362.1   1.76    16.2    1.00      2027    5.3   3.2688e+00    5.3      384
  909.5  4844.1   1.97    11.8    1.24      1574    6.4   2.5381e+00    6.4      360
  962.4  5126.1   1.96     9.0    1.19       661   12.6   1.0665e+00   12.6      336
 1097.7  5846.4   2.13    28.8    1.23      7843    2.5   1.2651e+01    2.5      331
 1294.0  6892.2   2.36    32.2    1.19     10323    1.9   1.6649e+01    1.9       84
 1369.1  7292.0   2.44    14.2    0.94      1915    4.6   3.0894e+00    4.6       64
 1378.0  7339.5   2.45     6.5    0.94       285   15.6   4.6002e-01   15.6       64
 1412.2  7521.5   2.47     3.6    0.90        69   49.2   1.1059e-01   49.2       66
 1508.1  8032.3   2.53    10.4    0.98      1038    6.5   1.6738e+00    6.5       50
 1601.8  8531.4   2.69     3.3    0.96        84   36.5   1.3565e-01   36.5       48
 1731.8  9224.1   2.84     3.5    1.08        87   40.2   1.4001e-01   40.2       53
 1753.0  9336.7   2.86     5.6    1.12       213   20.3   3.4297e-01   20.3       49
 2112.8 11253.4   3.12    13.1    0.76      1184    5.7   1.9093e+00    5.7       21
 2242.8 11945.7   3.42     3.6    0.78       148   22.5   2.3806e-01   22.5       26
 2754.6 14671.8   3.53    10.9    0.88       947    6.4   1.5275e+00    6.4        4
