
                       be used for evaluation purposes
                                                            20-Mar-2019 15:45
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AE022619_FP05_5cm_131.Chn        
 Sample Title : Sr60-3_p40                                       

 Spectrum saved on 26-Feb-2019 at  7:50    Collected on 26-Feb-2019 at  7:44
 Sample  Taken  on 26-Feb-2019 at  7:44    Decayed      0 Days,     0 mins.

            Detector file number used:     2
            Energy     Calibration Performed on 20-Mar-2019 at 15:12
            Peak Shape Calibration Performed on 20-Mar-2019 at 15:15

 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   67.4   358.8   0.92    11.5    0.78      1463    8.9   4.4058e+00    8.9      902
   72.8   387.7   1.01     7.0    0.77       947   11.7   2.8512e+00   11.7      957
   74.9   399.0   1.01    10.7    0.77      1493    8.0   4.4956e+00    8.0      957
   84.8   451.5   0.97     5.7    1.25       620   16.6   1.8679e+00   16.6      855
   87.2   464.5   0.97     3.8    1.25       198   49.1   5.9558e-01   49.1      855
  122.2   650.6   1.01     3.3    0.64       169   49.2   5.0772e-01   49.2     1007
  127.3   677.9   1.02     5.8    0.64       438   21.0   1.3188e+00   21.0     1007
  138.4   737.0   1.05    16.0    1.30      2675    5.4   8.0562e+00    5.4      999
  202.7  1079.4   1.15    10.3    1.01      1386    8.7   4.1762e+00    8.7     1076
  336.5  1792.1   1.31    47.8    0.64     22566    1.2   6.7971e+01    1.2      786
  355.7  1894.6   1.28     4.2    0.67       334   22.3   1.0068e+00   22.3      528
  388.9  2071.1   1.34     3.8    0.95       187   38.5   5.6365e-01   38.5      435
  391.9  2087.4   1.35    19.7    0.95      3653    3.5   1.1003e+01    3.5      435
  417.1  2221.7   1.40    32.2    0.99     10130    2.0   3.0512e+01    2.0      405
  438.9  2337.6   1.37     3.4    0.68       169   36.3   5.0824e-01   36.3      340
  463.7  2469.7   1.40     4.0    1.16       220   29.5   6.6144e-01   29.5      326
  479.8  2555.2   1.42     6.1    1.36       615   12.0   1.8516e+00   12.0      326
  511.3  2723.0   2.96    11.9    1.88     19034    1.7   5.7331e+01    1.7     1028
  555.9  2960.6   1.50     5.7    0.86       322   20.3   9.6976e-01   20.3      309
  617.8  3290.2   1.57     3.3    1.30       189   34.6   5.6971e-01   34.6      312
  670.0  3568.5   1.63     7.2    0.92       586   13.1   1.7646e+00   13.1      316
  810.8  4318.4   1.87     3.4    1.00       144   43.7   4.3488e-01   43.7      395
  819.0  4362.2   1.88    14.6    1.00      2507    4.6   7.5504e+00    4.6      395
  909.4  4843.9   2.01    12.3    0.73      1674    6.0   5.0420e+00    6.0      377
  962.6  5126.8   1.96     4.2    1.10       326   23.7   9.8168e-01   23.7      361
 1097.7  5846.4   2.19    32.3    1.21      9835    2.0   2.9623e+01    2.0      307
 1294.0  6892.1   2.41    35.7    1.30     12281    1.8   3.6991e+01    1.8       76
 1369.1  7291.9   2.54    13.1    1.10      1655    4.9   4.9841e+00    4.9       56
 1377.8  7338.3   2.55     6.3    1.10       375   12.6   1.1309e+00   12.6       56
 1508.1  8032.3   2.65    10.9    0.96      1299    5.5   3.9121e+00    5.5       46
 1601.5  8530.0   2.69     3.6    1.01        99   32.9   2.9691e-01   32.9       44
 1752.9  9336.4   2.86     5.3    1.13       249   17.7   7.4866e-01   17.7       61
 2112.8 11253.5   3.15    12.3    1.13      1427    5.5   4.2978e+00    5.5       27
 2243.4 11949.1   3.42     3.5    0.90       135   23.2   4.0728e-01   23.2       23
 2390.9 12734.8   3.58     3.7    0.67        87   32.8   2.6236e-01   32.8       25
 2754.8 14672.7   4.00     9.0    0.76       875    6.7   2.6351e+00    6.7       -3
