
                       be used for evaluation purposes
                                                            20-Mar-2019 15:49
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AF022619_FP06_5cm_131.Chn        
 Sample Title : Sr60-3_p40                                       

 Spectrum saved on 26-Feb-2019 at  7:57    Collected on 26-Feb-2019 at  7:52
 Sample  Taken  on 26-Feb-2019 at  7:52    Decayed      0 Days,     0 mins.

            Detector file number used:     2
            Energy     Calibration Performed on 20-Mar-2019 at 15:12
            Peak Shape Calibration Performed on 20-Mar-2019 at 15:15

 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   67.4   358.9   0.90    12.3    0.55      1529    8.1   5.5607e+00    8.1     1051
   72.8   387.5   0.96     6.5    0.88       879   12.4   3.1952e+00   12.4      932
   74.9   398.9   0.96     9.9    0.88      1466    8.0   5.3301e+00    8.0     1036
   84.8   451.7   0.97     6.0    0.72       570   18.5   2.0740e+00   18.5     1020
  127.3   678.1   1.02     4.6    0.68       525   20.2   1.9075e+00   20.2     1038
  138.4   737.0   1.06    15.5    0.65      2440    5.6   8.8719e+00    5.6     1032
  190.2  1012.9   1.09     3.6    1.20       220   51.7   8.0045e-01   51.7     1275
  202.7  1079.4   1.06    11.9    1.23      1471    8.8   5.3497e+00    8.8     1126
  245.5  1307.7   1.15     3.3    0.67       171   54.2   6.2009e-01   54.2      942
  336.5  1792.1   1.31    52.7    1.35     27057    1.5   9.8389e+01    1.5      743
  355.7  1894.4   1.28     4.1    0.77       280   26.4   1.0195e+00   26.4      506
  388.7  2070.1   1.39     3.5    0.67       225   30.8   8.1817e-01   30.8      438
  391.9  2087.4   1.39    18.1    0.67      4070    3.3   1.4801e+01    3.3      406
  417.1  2221.7   1.41    32.3    1.39      9102    2.3   3.3097e+01    2.3      360
  439.0  2337.9   1.37     3.6    0.96       215   29.9   7.8055e-01   29.9      346
  463.5  2468.6   1.40     3.5    0.94       145   45.3   5.2897e-01   45.3      316
  479.7  2555.1   1.42     6.0    1.07       701   10.8   2.5481e+00   10.8      310
  511.3  2723.0   2.98    12.9    2.56     17675    1.8   6.4272e+01    1.8      904
  555.8  2960.3   1.50     3.6    0.80       295   22.4   1.0739e+00   22.4      317
  617.7  3290.0   1.57     3.7    1.25       193   33.9   7.0252e-01   33.9      318
  670.0  3568.5   1.63     6.2    0.94       515   14.4   1.8744e+00   14.4      314
  810.8  4318.3   1.84     3.4    0.89       216   28.9   7.8476e-01   28.9      359
  819.0  4362.1   1.85    15.4    0.89      2342    4.4   8.5166e+00    4.4      359
  909.5  4844.0   2.00    12.3    0.83      1774    5.8   6.4519e+00    5.8      382
  962.6  5127.0   1.96     5.1    0.91       299   23.0   1.0886e+00   23.0      294
 1097.6  5846.3   2.19    30.5    1.58      8951    2.2   3.2548e+01    2.2      279
 1236.2  6584.2   2.27     3.4    1.16        84   50.1   3.0667e-01   50.1      109
 1294.0  6892.1   2.35    35.0    1.50     11468    1.8   4.1703e+01    1.8       75
 1369.0  7291.7   2.52    13.6    1.13      1973    4.6   7.1749e+00    4.6       55
 1377.8  7338.7   2.53     4.1    1.13       389   11.9   1.4135e+00   11.9       55
 1508.1  8032.6   2.56    12.9    1.15      1216    5.6   4.4212e+00    5.6       32
 1731.9  9224.6   2.84     3.4    0.98        79   40.3   2.8738e-01   40.3       49
 1752.9  9336.2   2.86     5.3    1.03       217   21.3   7.8746e-01   21.3       66
 2112.8 11253.3   3.28    10.6    0.80      1414    5.1   5.1421e+00    5.1       22
 2242.7 11945.3   3.42     4.0    1.01       149   22.1   5.4289e-01   22.1       25
 2390.9 12734.6   3.58     3.6    0.69        57   47.5   2.0829e-01   47.5       28
 2754.7 14672.6   3.82    10.5    0.71      1030    6.1   3.7468e+00    6.1       -2
