
                       be used for evaluation purposes
                                                            20-Mar-2019 15:52
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AG022619_FP07_5cm_131.Chn        
 Sample Title : Sr60-3_p40                                       

 Spectrum saved on 26-Feb-2019 at  8:05    Collected on 26-Feb-2019 at  7:59
 Sample  Taken  on 26-Feb-2019 at  7:59    Decayed      0 Days,     0 mins.

            Detector file number used:     2
            Energy     Calibration Performed on 20-Mar-2019 at 15:12
            Peak Shape Calibration Performed on 20-Mar-2019 at 15:15

 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   72.8   387.6   1.02     6.4    0.78       930   13.4   2.8614e+00   13.4     1333
   74.9   399.0   1.02    11.8    0.78      1708    7.6   5.2549e+00    7.6     1212
   84.7   451.1   0.97     4.3    1.44       638   19.5   1.9619e+00   19.5     1227
  138.4   736.9   1.04    16.0    1.08      2829    5.4   8.7034e+00    5.4     1253
  202.7  1079.4   1.10     8.0    0.99      1455    9.2   4.4772e+00    9.2     1356
  245.2  1305.9   1.15     3.3    0.95       174   59.1   5.3510e-01   59.1     1191
  336.5  1792.0   1.32    58.6    1.11     33042    1.1   1.0167e+02    1.1      944
  355.6  1894.0   1.28     4.2    0.66       317   25.2   9.7584e-01   25.2      577
  388.8  2070.7   1.37     5.7    1.33       255   31.8   7.8424e-01   31.8      478
  391.9  2087.3   1.38    17.5    1.33      3536    3.7   1.0880e+01    3.7      478
  417.1  2221.7   1.40    30.0    0.94     11077    1.8   3.4084e+01    1.8      444
  438.9  2337.4   1.37     4.4    0.87       244   28.5   7.4960e-01   28.5      392
  463.4  2468.3   1.40     4.8    0.71       237   28.7   7.3044e-01   28.7      397
  479.7  2555.1   1.42     7.1    0.97       638   12.5   1.9643e+00   12.5      416
  511.3  2723.0   2.93    14.4    2.65     23368    1.5   7.1901e+01    1.5     1111
  555.8  2960.4   1.50     4.4    0.56       272   25.6   8.3633e-01   25.6      390
  617.6  3289.4   1.57     3.4    1.14       140   47.7   4.2982e-01   47.7      385
  670.1  3569.1   1.63     5.4    0.86       515   14.8   1.5859e+00   14.8      402
  811.2  4320.3   1.84     3.5    0.92       167   42.2   5.1367e-01   42.2      478
  819.0  4362.0   1.85    16.6    0.92      2936    4.3   9.0325e+00    4.3      506
  909.5  4844.1   1.93    11.9    1.03      1532    7.0   4.7125e+00    7.0      454
  962.3  5125.2   1.96     3.8    0.66       289   25.4   8.8802e-01   25.4      415
 1097.7  5846.4   2.17    34.2    1.22     11208    1.9   3.4486e+01    1.9      374
 1294.0  6892.1   2.36    39.1    2.00     14164    1.8   4.3582e+01    1.8       98
 1369.1  7292.1   2.52    14.8    1.06      2221    4.2   6.8354e+00    4.2       76
 1377.8  7338.2   2.53     6.7    1.06       302   15.3   9.2942e-01   15.3       76
 1508.1  8032.4   2.65    10.5    1.16      1420    5.5   4.3689e+00    5.5       67
 1601.8  8531.5   2.69     3.6    0.71        93   38.9   2.8579e-01   38.9       79
 1752.9  9336.5   2.86     5.3    1.10       337   14.1   1.0361e+00   14.1       64
 2112.8 11253.4   3.17    12.0    1.05      1770    4.8   5.4469e+00    4.8       15
 2243.4 11948.8   3.42     3.8    1.12       130   26.6   3.9964e-01   26.6       37
 2390.9 12734.4   3.58     3.5    0.96        81   36.0   2.4834e-01   36.0       30
 2754.7 14672.1   3.65    11.9    0.64      1145    5.9   3.5229e+00    5.9        6
