
                       be used for evaluation purposes
                                                            20-Mar-2019 15:55
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AH022619_FP08_5cm_131.Chn        
 Sample Title : Sr60-3_p40                                       

 Spectrum saved on 26-Feb-2019 at  8:12    Collected on 26-Feb-2019 at  8:07
 Sample  Taken  on 26-Feb-2019 at  8:07    Decayed      0 Days,     0 mins.

            Detector file number used:     2
            Energy     Calibration Performed on 20-Mar-2019 at 15:12
            Peak Shape Calibration Performed on 20-Mar-2019 at 15:15

 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   67.4   358.7   0.89    12.8    1.47      1576    9.2   5.7294e+00    9.2     1220
   72.8   387.4   0.95     7.7    0.90      1018   12.3   3.7025e+00   12.3     1237
   74.9   399.0   0.96    12.7    0.90      1907    7.0   6.9342e+00    7.0     1375
   84.7   451.2   0.97     4.4    1.07       640   19.5   2.3271e+00   19.5     1399
  122.2   650.7   1.01     3.4    0.47       184   51.9   6.7002e-01   51.9     1394
  127.2   677.3   1.02     5.3    0.47       509   20.0   1.8505e+00   20.0     1394
  138.4   737.0   1.07    16.8    0.78      3159    5.1   1.1488e+01    5.1     1423
  190.6  1015.0   1.09     3.5    1.23       237   56.3   8.6247e-01   56.3     1608
  202.6  1079.2   1.08    11.3    1.00      1551    8.4   5.6382e+00    8.4     1469
  336.5  1792.1   1.32    70.3    2.10     46195    0.9   1.6798e+02    0.9      919
  355.8  1895.1   1.28     4.5    0.87       358   22.8   1.3018e+00   22.8      556
  388.8  2070.6   1.35     3.5    1.04       260   32.5   9.4474e-01   32.5      494
  391.9  2087.4   1.35    22.4    1.04      4463    3.3   1.6231e+01    3.3      494
  417.1  2221.6   1.41    34.4    1.03     12023    1.8   4.3719e+01    1.8      468
  439.0  2338.0   1.37     3.6    0.63       203   33.1   7.3888e-01   33.1      415
  463.5  2468.4   1.40     5.0    0.91       305   23.6   1.1089e+00   23.6      369
  479.7  2554.9   1.42     7.5    0.90       696   11.1   2.5323e+00   11.1      400
  511.2  2722.9   3.04    12.0    2.26     17511    1.7   6.3676e+01    1.7     1062
  555.7  2959.8   1.50     3.8    0.66       286   24.6   1.0385e+00   24.6      413
  617.7  3289.8   1.57     3.4    1.20       167   41.4   6.0626e-01   41.4      374
  670.1  3568.9   1.63     3.7    0.97       411   18.5   1.4947e+00   18.5      405
  811.1  4320.1   1.83     3.6    1.16       365   20.3   1.3282e+00   20.3      494
  819.0  4362.3   1.83    16.6    1.16      2987    4.3   1.0862e+01    4.3      467
  909.4  4843.8   2.03    11.4    1.32      1873    6.1   6.8121e+00    6.1      449
  962.4  5125.8   1.96     3.6    0.92       208   37.3   7.5591e-01   37.3      471
 1097.6  5846.2   2.19    34.9    1.36     12024    2.0   4.3724e+01    2.0      407
 1236.4  6585.4   2.27     4.7    1.13        89   52.5   3.2289e-01   52.5      132
 1294.0  6891.9   2.44    38.8    1.22     15049    1.6   5.4724e+01    1.6      129
 1369.1  7292.0   2.50    15.9    1.02      2731    3.9   9.9306e+00    3.9       69
 1378.0  7339.4   2.51     6.3    1.02       488   10.9   1.7729e+00   10.9       66
 1508.1  8032.4   2.57    13.2    1.20      1636    5.2   5.9480e+00    5.2       60
 1732.4  9227.1   2.84     3.7    0.80       130   27.3   4.7334e-01   27.3       55
 1752.9  9336.3   2.86     6.0    1.19       335   15.4   1.2171e+00   15.4       77
 1920.2 10227.5   3.05     3.4    0.96        59   58.1   2.1555e-01   58.1       64
 2112.8 11253.4   3.20    13.8    1.14      1834    4.7   6.6689e+00    4.7       30
 2243.5 11949.6   3.42     4.5    1.05       217   18.3   7.8847e-01   18.3       33
 2390.8 12734.1   3.58     3.4    0.99        82   37.6   2.9656e-01   37.6       33
 2754.6 14671.8   3.68    13.1    0.88      1319    5.4   4.7954e+00    5.4        5
