
                       be used for evaluation purposes
                                                            20-Mar-2019 16:05
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AI022619_FP09_5cm_131.Chn        
 Sample Title : Sr60-3_p40                                       

 Spectrum saved on 26-Feb-2019 at  8:18    Collected on 26-Feb-2019 at  8:14
 Sample  Taken  on 26-Feb-2019 at  8:14    Decayed      0 Days,     0 mins.

            Detector file number used:     2
            Energy     Calibration Performed on 20-Mar-2019 at 15:12
            Peak Shape Calibration Performed on 20-Mar-2019 at 15:15

 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   67.4   358.8   0.95     7.4    0.72       811   13.9   3.8413e+00   13.9     1010
   72.8   387.5   0.91     7.4    0.64       789   12.7   3.7404e+00   12.7      860
   74.9   398.9   0.91    11.8    0.64      1310    8.3   6.2100e+00    8.3      955
   84.7   451.2   0.97     6.3    1.24       558   19.4   2.6445e+00   19.4      937
  127.1   676.8   1.02     3.5    0.87       266   37.3   1.2594e+00   37.3      956
  138.4   736.9   1.04    15.1    1.41      2598    5.5   1.2314e+01    5.5     1005
  190.2  1012.9   1.09     3.4    0.73       208   52.6   9.8470e-01   52.6     1257
  202.6  1079.1   1.10     6.6    0.62       761   13.8   3.6056e+00   13.8     1048
  336.5  1792.0   1.34    59.5    1.70     35404    1.0   1.6779e+02    1.0      602
  355.7  1894.5   1.28     4.1    1.08       255   27.1   1.2091e+00   27.1      414
  391.9  2087.4   1.37    17.0    1.05      2901    4.0   1.3747e+01    4.0      407
  417.1  2221.7   1.40    31.3    1.36      9598    1.9   4.5489e+01    1.9      344
  438.8  2336.9   1.37     3.4    0.73       140   41.7   6.6216e-01   41.7      301
  463.3  2467.6   1.40     3.8    1.16       199   29.5   9.4533e-01   29.5      254
  479.7  2555.0   1.42     5.2    0.77       364   17.7   1.7231e+00   17.7      306
  511.2  2722.9   2.90     8.6    1.77      8478    2.7   4.0178e+01    2.7      755
  555.9  2960.6   1.50     4.2    0.96       154   37.7   7.2833e-01   37.7      270
  618.0  3291.5   1.57     3.5    1.11       121   49.7   5.7446e-01   49.7      286
  670.0  3568.3   1.63     3.7    0.88       206   30.0   9.7445e-01   30.0      299
  811.2  4320.3   1.89     4.0    1.08       247   26.1   1.1722e+00   26.1      351
  819.0  4362.1   1.90    14.3    1.08      2465    4.5   1.1680e+01    4.5      351
  909.5  4844.3   1.90     8.3    0.82       996    8.7   4.7184e+00    8.7      349
 1097.7  5846.4   2.16    32.0    1.13      9533    2.1   4.5182e+01    2.1      304
 1293.9  6891.9   2.46    34.5    1.02     12028    1.7   5.7005e+01    1.7       64
 1369.0  7291.8   2.44    12.2    1.03      1590    4.8   7.5338e+00    4.8       55
 1377.9  7339.3   2.45     4.6    1.03       255   15.7   1.2077e+00   15.7       55
 1508.0  8032.1   2.62    10.9    0.74      1243    5.6   5.8910e+00    5.6       34
 1732.2  9226.0   2.84     3.6    0.91        79   40.7   3.7521e-01   40.7       52
 1753.0  9337.1   2.86     4.8    0.91       245   17.9   1.1599e+00   17.9       65
 2112.7 11253.0   3.18    11.8    0.77      1414    5.2   6.7016e+00    5.2       28
 2243.7 11950.4   3.42     3.6    0.95       123   26.4   5.8355e-01   26.4       28
 2390.5 12732.4   3.58     3.8    0.62        57   46.1   2.7077e-01   46.1       24
 2754.7 14672.1   4.00     9.8    1.04       891    7.0   4.2244e+00    7.0       -3
