
                       be used for evaluation purposes
                                                            20-Mar-2019 16:11
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AJ022619_FP01_10cm_room131.Chn   
 Sample Title : Sr60-3_p40                                       

 Spectrum saved on 26-Feb-2019 at 14:56    Collected on 26-Feb-2019 at 14:36
 Sample  Taken  on 26-Feb-2019 at 14:36    Decayed      0 Days,     0 mins.

            Detector file number used:     2
            Energy     Calibration Performed on 20-Mar-2019 at 15:12
            Peak Shape Calibration Performed on 20-Mar-2019 at 15:15

 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   67.5   359.1   0.95     3.4    0.87       136   57.9   1.2111e-01   57.9      543
   72.8   387.6   0.95     9.4    1.24       773   12.4   6.8572e-01   12.4      524
   75.0   399.2   0.95    11.2    1.24      1434    7.2   1.2728e+00    7.2      583
   84.9   452.0   0.97     3.8    1.06       527   16.2   4.6803e-01   16.2      551
   87.3   465.0   0.97     3.9    1.06       257   29.6   2.2838e-01   29.6      551
  122.1   650.1   1.01     3.3    1.21       274   24.3   2.4283e-01   24.3      486
  127.3   677.9   1.02     7.4    1.21       668   11.6   5.9317e-01   11.6      486
  171.4   912.9   1.07     3.4    0.83       129   57.6   1.1411e-01   57.6      473
  190.4  1014.2   1.09     5.4    1.28       243   32.8   2.1532e-01   32.8      471
  202.8  1079.8   1.10     6.1    0.91       441   16.2   3.9131e-01   16.2      403
  336.5  1792.3   1.25    29.7    1.11      7322    2.2   6.4971e+00    2.2      245
  352.2  1875.8   1.27     3.3    0.86        73   59.3   6.4500e-02   59.3      162
  388.8  2070.6   1.31     3.6    0.89        73   51.0   6.4866e-02   51.0      124
  392.0  2087.7   1.32     5.0    0.89       238   18.3   2.1162e-01   18.3      124
  438.9  2337.4   1.37     5.3    0.99       195   21.1   1.7286e-01   21.1       97
  479.9  2555.8   1.42     5.8    1.05       245   17.3   2.1704e-01   17.3       93
  511.3  2723.2   2.90     6.8    1.36      5500    2.8   4.8798e+00    2.8      294
  609.7  3247.5   1.56     3.7    0.76        73   46.5   6.4567e-02   46.5       82
  811.2  4320.4   1.79     5.5    1.32       270   15.3   2.3960e-01   15.3       56
  909.5  4844.1   1.91    17.4    0.70      2491    3.8   2.2102e+00    3.8       55
 1293.9  6891.6   2.34     3.4    0.73        60   39.1   5.3083e-02   39.1       21
 1369.1  7292.0   2.38    18.1    1.09      2224    4.4   1.9731e+00    4.4       10
 1377.9  7339.1   2.38     7.6    1.09       527    8.9   4.6803e-01    8.9       10
 1461.2  7782.9   2.53     3.8    0.65       162   17.9   1.4357e-01   17.9       13
 1731.8  9224.2   2.84     3.5    0.77        93   27.8   8.2935e-02   27.8       19
 1919.8 10225.5   3.05     3.5    0.96        90   31.4   8.0034e-02   31.4       15
 2243.3 11948.3   3.42     3.6    0.83       170   19.8   1.5126e-01   19.8       27
 2754.7 14672.1   3.62    12.8    0.70      1222    5.4   1.0842e+00    5.4        5
