
                       be used for evaluation purposes
                                                            20-Mar-2019 16:19
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AK022619_FP02_5cm_room131.Chn    
 Sample Title : Sr60-3_p40                                       

 Spectrum saved on 26-Feb-2019 at 15:09    Collected on 26-Feb-2019 at 14:57
 Sample  Taken  on 26-Feb-2019 at 14:57    Decayed      0 Days,     0 mins.

            Detector file number used:     2
            Energy     Calibration Performed on 20-Mar-2019 at 15:12
            Peak Shape Calibration Performed on 20-Mar-2019 at 15:15

 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   67.6   359.7   0.95     3.4    0.96       167   43.9   2.6207e-01   43.9      426
   72.8   387.8   0.95     6.1    0.71       508   14.5   7.9539e-01   14.5      439
   75.0   399.3   0.96     9.1    0.71       906    9.1   1.4176e+00    9.1      439
   84.8   451.7   0.97     3.7    1.45       277   29.2   4.3298e-01   29.2      510
  122.2   650.6   1.01     5.5    0.83       455   14.9   7.1274e-01   14.9      425
  127.3   677.7   1.02     9.5    0.83       853    9.2   1.3355e+00    9.2      425
  171.6   913.7   1.07     3.3    1.00       233   32.2   3.6492e-01   32.2      506
  184.8   984.2   1.08     3.6    0.80       173   35.7   2.7061e-01   35.7      491
  190.5  1014.4   1.09     5.1    0.80       297   22.4   4.6467e-01   22.4      491
  202.7  1079.7   1.10     6.2    0.67       582   12.5   9.1154e-01   12.5      391
  245.9  1309.5   1.15     3.6    0.65       168   33.9   2.6359e-01   33.9      304
  336.5  1792.3   1.27    35.9    1.40     10542    1.9   1.6497e+01    1.9      228
  388.6  2069.8   1.31     3.7    1.08        80   48.0   1.2441e-01   48.0      126
  392.0  2087.5   1.32     5.6    1.08       273   16.8   4.2773e-01   16.8      126
  416.8  2220.0   1.35     3.5    0.87       103   32.9   1.6111e-01   32.9       88
  439.0  2338.2   1.37     5.3    0.46       257   16.4   4.0160e-01   16.4      105
  479.9  2555.8   1.42     6.1    0.80       291   15.1   4.5609e-01   15.1      102
  511.3  2723.1   2.90     7.6    1.84      7018    2.5   1.0983e+01    2.5      332
  617.8  3290.3   1.57     3.5    1.00        70   51.4   1.0892e-01   51.4       88
  811.1  4320.3   1.79     6.1    0.87       382   11.4   5.9711e-01   11.4       51
  909.5  4844.0   1.97    18.9    0.97      3211    3.5   5.0258e+00    3.5       49
 1097.9  5847.4   2.12     3.4    1.19        81   45.6   1.2644e-01   45.6       75
 1294.1  6892.5   2.34     3.3    0.68        65   34.9   1.0109e-01   34.9       19
 1369.1  7292.1   2.47    16.0    0.92      2828    3.4   4.4254e+00    3.4       16
 1378.0  7339.6   2.48     9.9    0.92       741    7.3   1.1597e+00    7.3       15
 1461.4  7784.0   2.53     3.4    0.78        80   29.7   1.2449e-01   29.7       14
 1731.8  9224.2   2.84     3.7    0.61       141   21.0   2.2055e-01   21.0       29
 1920.2 10227.4   3.05     3.5    0.98        94   30.2   1.4680e-01   30.2       23
 2243.3 11948.6   3.42     3.5    0.95       178   20.7   2.7879e-01   20.7       34
 2754.6 14672.0   3.64    14.1    0.73      1481    5.1   2.3171e+00    5.1       -0
