
                       be used for evaluation purposes
                                                            21-Mar-2019  9:55
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AO022619_FP06_5cm_room131.Chn    
 Sample Title : Sr60-3_p40                                       

 Spectrum saved on 26-Feb-2019 at 16:05    Collected on 26-Feb-2019 at 15:54
 Sample  Taken  on 26-Feb-2019 at 15:54    Decayed      0 Days,     0 mins.

            Detector file number used:     2
            Energy     Calibration Performed on 20-Mar-2019 at 15:12
            Peak Shape Calibration Performed on 20-Mar-2019 at 15:15

 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   72.7   387.3   0.95     4.9    0.79       254   24.8   5.3998e-01   24.8      351
   75.0   399.2   0.96     6.3    0.79       528   12.9   1.1205e+00   12.9      351
   84.8   451.8   0.97     3.4    0.75       248   24.4   5.2652e-01   24.4      319
   87.3   465.0   0.97     3.3    0.75       113   47.9   2.4075e-01   47.9      319
  122.2   650.8   1.01     5.9    1.12       182   32.3   3.8740e-01   32.3      336
  127.3   677.9   1.02     6.5    1.12       428   14.6   9.0929e-01   14.6      336
  171.5   913.5   1.07     3.4    0.70       211   33.9   4.4882e-01   33.9      481
  184.7   983.8   1.08     4.3    1.01       180   35.4   3.8288e-01   35.4      468
  190.5  1014.3   1.09     4.4    1.01       276   22.7   5.8545e-01   22.7      468
  202.7  1079.6   1.10     5.3    1.01       478   14.0   1.0140e+00   14.0      344
  245.5  1307.5   1.15     3.4    1.03       159   34.6   3.3742e-01   34.6      262
  336.5  1792.3   1.25    40.3    1.61     12884    1.8   2.7355e+01    1.8      225
  392.0  2087.9   1.32     3.9    0.93       208   20.7   4.4165e-01   20.7      125
  438.9  2337.6   1.37     4.8    0.75       299   13.6   6.3519e-01   13.6       77
  479.9  2555.7   1.42     6.0    0.72       226   17.4   4.7888e-01   17.4       88
  511.3  2723.0   2.90     6.7    2.03      7502    2.4   1.5928e+01    2.4      290
  617.6  3289.4   1.57     3.4    0.76        56   56.7   1.1795e-01   56.7       77
  811.1  4319.9   1.79     6.2    0.95       408   11.3   8.6634e-01   11.3       49
  909.5  4843.9   1.94    16.2    0.84      2925    3.6   6.2109e+00    3.6       49
 1369.0  7291.8   2.44    15.8    1.09      2542    3.9   5.3974e+00    3.9       11
 1377.9  7339.2   2.45     8.0    1.09       624    7.7   1.3248e+00    7.7       11
 1732.2  9226.0   2.84     3.7    0.76       102   26.8   2.1618e-01   26.8       25
 1758.0  9363.4   2.87     3.6    0.67        46   48.4   9.6828e-02   48.4       15
 1919.8 10225.3   3.05     3.5    0.67        81   32.3   1.7289e-01   32.3       24
 2243.3 11948.5   3.42     3.6    0.82       192   17.8   4.0689e-01   17.8       31
 2754.8 14672.7   3.63    13.2    0.78      1366    5.2   2.8997e+00    5.2        5
