
                       be used for evaluation purposes
                                                            21-Mar-2019 10:05
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AQ022619_FP08_5cm_room131.Chn    
 Sample Title : Sr60-3_p40                                       

 Spectrum saved on 26-Feb-2019 at 16:20    Collected on 26-Feb-2019 at 16:12
 Sample  Taken  on 26-Feb-2019 at 16:12    Decayed      0 Days,     0 mins.

            Detector file number used:     2
            Energy     Calibration Performed on 20-Mar-2019 at 15:12
            Peak Shape Calibration Performed on 20-Mar-2019 at 15:15

 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   72.8   387.8   0.96     5.7    0.73       365   19.7   8.3717e-01   19.7      456
   75.0   399.3   0.96     8.0    0.73       709   11.1   1.6263e+00   11.1      410
   84.8   451.7   0.97     3.3    0.95       291   24.9   6.6733e-01   24.9      437
  122.1   650.0   1.01     3.4    0.91       212   28.4   4.8525e-01   28.4      452
  127.4   678.2   1.02     6.4    0.91       395   17.3   9.0645e-01   17.3      452
  184.7   983.8   1.08     3.6    0.98       235   30.4   5.3998e-01   30.4      641
  190.6  1014.8   1.09     4.0    0.98       254   28.3   5.8163e-01   28.3      641
  202.7  1079.7   1.10     6.1    0.73       494   14.6   1.1325e+00   14.6      441
  245.6  1307.8   1.15     3.4    1.14       128   48.1   2.9350e-01   48.1      352
  336.5  1792.3   1.27    47.2    1.22     20576    1.4   4.7193e+01    1.4      289
  392.0  2087.7   1.32     6.5    1.00       251   19.4   5.7599e-01   19.4      141
  439.0  2338.1   1.37     4.8    0.95       307   14.8   7.0434e-01   14.8      100
  479.7  2554.9   1.42     4.6    1.23       236   17.8   5.4071e-01   17.8       88
  511.3  2723.1   2.90     8.3    1.26      8943    2.2   2.0511e+01    2.2      455
  811.1  4320.1   1.79     6.8    1.15       619    9.0   1.4186e+00    9.0       51
  909.5  4844.0   1.96    17.8    0.75      2901    3.4   6.6532e+00    3.4       47
 1294.1  6892.9   2.34     3.4    0.80        38   56.4   8.7545e-02   56.4       22
 1369.1  7292.0   2.41    18.6    0.83      3184    3.1   7.3026e+00    3.1       12
 1378.1  7339.9   2.42     7.6    0.83       563    8.2   1.2907e+00    8.2       12
 1731.9  9224.6   2.84     3.6    0.85       116   25.1   2.6523e-01   25.1       26
 1920.1 10227.0   3.05     3.4    0.80        74   36.4   1.7001e-01   36.4       19
 2243.3 11948.6   3.42     3.4    0.95       216   17.8   4.9500e-01   17.8       38
 2754.7 14672.6   3.74    12.9    1.09      1576    4.9   3.6150e+00    4.9        2
