
                       be used for evaluation purposes
                                                            21-Mar-2019 10:08
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AR022619_FP09_5cm_room131.Chn    
 Sample Title : Sr60-3_p40                                       

 Spectrum saved on 26-Feb-2019 at 16:26    Collected on 26-Feb-2019 at 16:22
 Sample  Taken  on 26-Feb-2019 at 16:22    Decayed      0 Days,     0 mins.

            Detector file number used:     2
            Energy     Calibration Performed on 20-Mar-2019 at 15:12
            Peak Shape Calibration Performed on 20-Mar-2019 at 15:15

 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   72.8   387.6   0.95     3.6    0.79       201   24.8   8.3286e-01   24.8      188
   75.0   399.4   0.96     5.1    0.79       332   16.1   1.3796e+00   16.1      188
   84.7   451.2   0.97     3.4    1.05       135   36.4   5.6208e-01   36.4      220
  122.2   650.8   1.01     3.3    0.99       101   43.4   4.1944e-01   43.4      215
  127.3   677.9   1.02     3.3    0.99       146   29.9   6.0508e-01   29.9      215
  190.4  1013.9   1.09     3.4    1.60       138   44.9   5.7333e-01   44.9      269
  202.6  1079.1   1.10     5.0    0.97       220   23.4   9.1080e-01   23.4      218
  245.6  1307.8   1.15     3.5    0.86        75   50.6   3.1259e-01   50.6      136
  336.5  1792.2   1.28    36.3    1.37     11123    1.8   4.6152e+01    1.8       92
  392.2  2088.6   1.32     3.8    1.06       114   27.0   4.7438e-01   27.0       50
  439.0  2338.1   1.37     3.7    0.81       130   21.4   5.4040e-01   21.4       33
  479.9  2555.7   1.42     4.6    0.73        90   28.7   3.7234e-01   28.7       37
  511.3  2723.1   2.90     7.5    1.44      3933    3.3   1.6318e+01    3.3      143
  811.1  4320.3   1.79     6.3    0.87       325   11.4   1.3492e+00   11.4       20
  909.5  4844.1   1.90     9.3    0.80      1085    5.7   4.5001e+00    5.7       26
 1369.1  7292.1   2.39    12.7    0.67      1401    4.7   5.8144e+00    4.7        7
 1378.0  7339.3   2.40     4.6    0.67       165   16.3   6.8287e-01   16.3        7
 1732.0  9225.0   2.84     3.6    0.62        55   40.3   2.2988e-01   40.3       12
 2243.6 11949.8   3.42     3.6    0.68        91   30.1   3.7887e-01   30.1       21
 2754.8 14673.0   4.00     9.1    0.60       707    7.8   2.9337e+00    7.8       -5
