#ZVView-data-copy:  23-Mar-2020 08:03:20
#=======================================
#
#name:   13-AL-27(N,A)11-NA-24,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  654
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
           3.5            0    9.097e-14      1.3e-14  # 1992,Y.Uwamino+          ## 22703002  #dY:14.3%  
           4.5            0     1.383e-6       1.8e-7  # 1992,Y.Uwamino+          ## 22703002  #dY:13.0%  
          4.88         0.08         5e-5         3e-5  # 1963,J.P.Butler+         ## 11457005  #dY:60.0%  
          5.45         0.13      0.00015         1e-5  # 1963,J.P.Butler+         ## 11457006  #dY:6.7%   
           5.5            0    0.0006735       8.6e-5  # 1992,Y.Uwamino+          ## 22703002  #dY:12.8%  
           5.7         0.12      0.00054         3e-5  # 1963,J.P.Butler+         ## 11457006  #dY:5.6%   
           5.8         0.18      0.00157      0.00018  # 1976,A.B.M.G.Mostafa     ## 21049003  #dY:11.5%  
         5.869       0.0815     0.001145            0  # 1989,L.P.Geraldo+        ## 13171003             
          5.94         0.11      0.00123         5e-5  # 1963,J.P.Butler+         ## 11457006  #dY:4.1%   
          5.95         0.43       0.0015         9e-5  # 1967,J.A.Grundl          ## 10417008  #dY:6.0%   
          6.06         0.05       0.0021       0.0002  # 1966,H.Liskien+          ## 20387003  #dY:9.5%   
          6.12            0      0.00165            0  # 1961,H.W.Schmitt+        ## 11530002             
          6.13         0.14      0.00224      0.00022  # 1967,H.O.Menlove+        ## 11421004  #dY:9.8%   
          6.19         0.06       0.0025       0.0002  # 1966,H.Liskien+          ## 20387003  #dY:8.0%   
          6.22          0.1      0.00304         9e-5  # 1963,J.P.Butler+         ## 11457006  #dY:3.0%   
          6.26        0.045       0.0034            0  # 1961,H.W.Schmitt+        ## 11530002             
           6.3          0.2       0.0043      0.00036  # 1976,A.B.M.G.Mostafa     ## 21049003  #dY:8.4%   
          6.33         0.07       0.0034       0.0002  # 1966,H.Liskien+          ## 20387003  #dY:5.9%   
          6.36         0.08       0.0042       0.0004  # 1983,W.Enz+              ## 21900002  #dY:9.5%   
         6.399        0.075     0.004837            0  # 1989,L.P.Geraldo+        ## 13171003             
          6.46            0        0.005            0  # 1961,H.W.Schmitt+        ## 11530002             
          6.47         0.07       0.0055       0.0003  # 1966,H.Liskien+          ## 20387003  #dY:5.5%   
           6.5            0      0.01293       0.0017  # 1992,Y.Uwamino+          ## 22703002  #dY:13.1%  
          6.53          0.1      0.00653      0.00021  # 1963,J.P.Butler+         ## 11457006  #dY:3.2%   
          6.56            0        0.007            0  # 1961,H.W.Schmitt+        ## 11530002             
          6.56         0.08       0.0074       0.0008  # 1983,W.Enz+              ## 21900002  #dY:10.8%  
          6.61            0       0.0084            0  # 1961,H.W.Schmitt+        ## 11530002             
          6.63        0.075        0.008       0.0004  # 1966,H.Liskien+          ## 20387003  #dY:5.0%   
         6.659            0       0.0094            0  # 1961,H.W.Schmitt+        ## 11530002             
           6.7          0.1      0.00987       0.0003  # 1963,J.P.Butler+         ## 11457006  #dY:3.0%   
           6.7         0.22        0.012        0.001  # 1976,A.B.M.G.Mostafa     ## 21049003  #dY:8.3%   
         6.705            0       0.0083            0  # 1961,H.W.Schmitt+        ## 11530002             
          6.73          0.3       0.0113            0  # 1958,J.A.Grundl+         ## 11481002             
          6.74         0.08       0.0107       0.0011  # 1983,W.Enz+              ## 21900002  #dY:10.3%  
          6.76            0       0.0086            0  # 1961,H.W.Schmitt+        ## 11530002             
           6.8        0.075       0.0115       0.0006  # 1966,H.Liskien+          ## 20387003  #dY:5.2%   
          6.81            0       0.0135            0  # 1961,H.W.Schmitt+        ## 11530002             
         6.842            0        0.011            0  # 1961,H.W.Schmitt+        ## 11530002             
          6.86            0       0.0124            0  # 1961,H.W.Schmitt+        ## 11530002             
         6.914        0.069      0.01563            0  # 1989,L.P.Geraldo+        ## 13171003             
          6.93         0.08       0.0161       0.0017  # 1983,W.Enz+              ## 21900002  #dY:10.6%  
          6.97         0.33       0.0159     0.000477  # 1967,J.A.Grundl          ## 10417008  #dY:3.0%   
          6.97            0       0.0169            0  # 1961,H.W.Schmitt+        ## 11530002             
          6.97        0.075        0.016       0.0009  # 1966,H.Liskien+          ## 20387003  #dY:5.6%   
             7        0.125       0.0152       0.0011  # 1961,B.P.Bayhurst+       ## 11462002  #dY:7.2%   
          7.01         0.09       0.0162       0.0005  # 1963,J.P.Butler+         ## 11457006  #dY:3.1%   
          7.03        0.035       0.0174            0  # 1961,H.W.Schmitt+        ## 11530002             
          7.07            0       0.0189            0  # 1961,H.W.Schmitt+        ## 11530002             
           7.1            0       0.0191            0  # 1961,H.W.Schmitt+        ## 11530002             
           7.1         0.35        0.022       0.0016  # 1976,A.B.M.G.Mostafa     ## 21049003  #dY:7.3%   
         7.125            0         0.02            0  # 1961,H.W.Schmitt+        ## 11530002             
          7.13        0.075       0.0211       0.0011  # 1966,H.Liskien+          ## 20387003  #dY:5.2%   
          7.13            0       0.0207       0.0011  # 1989,N.V.Kornilov+       ## 41048002  #dY:5.3%   
         7.175            0       0.0208            0  # 1961,H.W.Schmitt+        ## 11530002             
           7.2         0.09       0.0198       0.0006  # 1963,J.P.Butler+         ## 11457006  #dY:3.0%   
          7.22            0       0.0215            0  # 1961,H.W.Schmitt+        ## 11530002             
          7.22            0       0.0233       0.0013  # 1989,N.V.Kornilov+       ## 41048002  #dY:5.6%   
         7.235            0       0.0235            0  # 1961,H.W.Schmitt+        ## 11530002             
         7.242            0       0.0245            0  # 1961,H.W.Schmitt+        ## 11530002             
         7.285            0       0.0236            0  # 1961,H.W.Schmitt+        ## 11530002             
           7.3         0.08       0.0229       0.0012  # 1966,H.Liskien+          ## 20387003  #dY:5.2%   
           7.3            0       0.0208       0.0011  # 1989,N.V.Kornilov+       ## 41048002  #dY:5.3%   
         7.335            0       0.0217            0  # 1961,H.W.Schmitt+        ## 11530002             
          7.35            0       0.0254       0.0006  # 1983,S.Firkin            ## 21941006  #dY:2.4%   
          7.37            0       0.0216       0.0012  # 1989,N.V.Kornilov+       ## 41048002  #dY:5.6%   
         7.395            0       0.0211            0  # 1961,H.W.Schmitt+        ## 11530002             
         7.405            0       0.0214            0  # 1961,H.W.Schmitt+        ## 11530002             
         7.419       0.0725      0.02633            0  # 1989,L.P.Geraldo+        ## 13171003             
         7.445            0       0.0236            0  # 1961,H.W.Schmitt+        ## 11530002             
          7.45          0.2       0.0255            0  # 1958,J.A.Grundl+         ## 11481002             
          7.45            0       0.0262       0.0014  # 1989,N.V.Kornilov+       ## 41048002  #dY:5.3%   
          7.47        0.085       0.0266       0.0014  # 1966,H.Liskien+          ## 20387003  #dY:5.3%   
         7.495            0       0.0249            0  # 1961,H.W.Schmitt+        ## 11530002             
           7.5         0.15       0.0312     0.001248  # 1967,J.A.Grundl          ## 10417008  #dY:4.0%   
           7.5         0.08       0.0256       0.0008  # 1963,J.P.Butler+         ## 11457006  #dY:3.1%   
           7.5            0       0.0254       0.0006  # 1979,M.T.Swinhoe+        ## 20986003  #dY:2.4%   
           7.5            0      0.03269       0.0042  # 1992,Y.Uwamino+          ## 22703002  #dY:12.8%  
          7.54            0       0.0302       0.0007  # 1989,N.V.Kornilov+       ## 41048002  #dY:2.3%   
          7.55          0.3        0.028        0.002  # 1976,A.B.M.G.Mostafa     ## 21049003  #dY:7.1%   
         7.555            0       0.0291            0  # 1961,H.W.Schmitt+        ## 11530002             
         7.565            0       0.0293            0  # 1961,H.W.Schmitt+        ## 11530002             
          7.62         0.09       0.0297       0.0015  # 1966,H.Liskien+          ## 20387003  #dY:5.1%   
          7.62            0       0.0351       0.0009  # 1989,N.V.Kornilov+       ## 41048003  #dY:2.6%   
          7.63            0       0.0379       0.0013  # 1989,N.V.Kornilov+       ## 41048004  #dY:3.4%   
          7.66            0        0.034            0  # 1961,H.W.Schmitt+        ## 11530002             
          7.66            0       0.0349       0.0008  # 1989,N.V.Kornilov+       ## 41048002  #dY:2.3%   
          7.69            0       0.0331       0.0018  # 1989,N.V.Kornilov+       ## 41048002  #dY:5.4%   
        7.6901            0       0.0321       0.0008  # 1989,N.V.Kornilov+       ## 41048002  #dY:2.5%   
           7.7          0.3        0.043        0.005  # 1974,Yu.A.Nemilov+       ## 40135002  #dY:11.6%  
           7.7            0       0.0321       0.0008  # 1989,N.V.Kornilov+       ## 41048003  #dY:2.5%   
          7.71            0       0.0319        0.001  # 1989,N.V.Kornilov+       ## 41048004  #dY:3.1%   
          7.73         0.03       0.0338            0  # 1961,H.W.Schmitt+        ## 11530002             
          7.76        0.095       0.0376       0.0019  # 1966,H.Liskien+          ## 20387003  #dY:5.1%   
         7.775            0       0.0313            0  # 1961,H.W.Schmitt+        ## 11530002             
          7.78            0       0.0333       0.0009  # 1989,N.V.Kornilov+       ## 41048002  #dY:2.7%   
          7.78            0       0.0341       0.0009  # 1989,N.V.Kornilov+       ## 41048003  #dY:2.6%   
          7.79            0       0.0359       0.0011  # 1989,N.V.Kornilov+       ## 41048004  #dY:3.1%   
           7.8         0.08       0.0392       0.0012  # 1963,J.P.Butler+         ## 11457006  #dY:3.1%   
          7.87            0       0.0345       0.0009  # 1989,N.V.Kornilov+       ## 41048003  #dY:2.6%   
          7.88            0       0.0345            0  # 1961,H.W.Schmitt+        ## 11530002             
          7.88            0       0.0359       0.0011  # 1989,N.V.Kornilov+       ## 41048004  #dY:3.1%   
          7.89          0.1       0.0357       0.0018  # 1966,H.Liskien+          ## 20387003  #dY:5.0%   
         7.895            0       0.0352            0  # 1961,H.W.Schmitt+        ## 11530002             
           7.9         0.07       0.0369       0.0042  # 1983,W.Enz+              ## 21900002  #dY:11.4%  
           7.9        0.065       0.0381       0.0047  # 1983,W.Enz+              ## 21900002  #dY:12.3%  
          7.91            0       0.0396        0.001  # 1989,N.V.Kornilov+       ## 41048002  #dY:2.5%   
         7.917         0.08      0.04319            0  # 1989,L.P.Geraldo+        ## 13171003             
         7.925            0        0.033            0  # 1961,H.W.Schmitt+        ## 11530002             
          7.95            0        0.045       0.0011  # 1989,N.V.Kornilov+       ## 41048003  #dY:2.4%   
          7.96            0       0.0436        0.001  # 1989,N.V.Kornilov+       ## 41048002  #dY:2.3%   
          7.96            0       0.0467       0.0014  # 1989,N.V.Kornilov+       ## 41048004  #dY:3.0%   
             8          0.1       0.0407       0.0021  # 1966,H.Liskien+          ## 20387003  #dY:5.2%   
             8         0.25        0.037       0.0027  # 1976,A.B.M.G.Mostafa     ## 21049003  #dY:7.3%   
          8.01         0.07       0.0452       0.0014  # 1963,J.P.Butler+         ## 11457006  #dY:3.1%   
          8.04            0       0.0443       0.0011  # 1989,N.V.Kornilov+       ## 41048002  #dY:2.5%   
          8.04            0       0.0447       0.0011  # 1989,N.V.Kornilov+       ## 41048003  #dY:2.5%   
          8.05            0       0.0444       0.0011  # 1989,N.V.Kornilov+       ## 41048004  #dY:2.5%   
         8.055            0       0.0475            0  # 1961,H.W.Schmitt+        ## 11530002             
          8.06         0.07       0.0382       0.0038  # 1967,H.O.Menlove+        ## 11421004  #dY:9.9%   
          8.07         0.15       0.0418     0.002508  # 1967,J.A.Grundl          ## 10417008  #dY:6.0%   
          8.07        0.105       0.0387        0.002  # 1966,H.Liskien+          ## 20387003  #dY:5.2%   
          8.09        0.125       0.0376            0  # 1958,J.A.Grundl+         ## 11481002             
           8.1         0.07       0.0457       0.0014  # 1963,J.P.Butler+         ## 11457006  #dY:3.1%   
           8.1        0.065       0.0405       0.0046  # 1983,W.Enz+              ## 21900002  #dY:11.4%  
           8.1         0.06       0.0438       0.0054  # 1983,W.Enz+              ## 21900002  #dY:12.3%  
          8.12            0       0.0442       0.0011  # 1989,N.V.Kornilov+       ## 41048002  #dY:2.5%   
          8.12            0       0.0438       0.0012  # 1989,N.V.Kornilov+       ## 41048003  #dY:2.7%   
          8.13            0       0.0442       0.0013  # 1989,N.V.Kornilov+       ## 41048004  #dY:2.9%   
          8.15            0       0.0419            0  # 1961,H.W.Schmitt+        ## 11530002             
          8.15        0.105       0.0433       0.0022  # 1966,H.Liskien+          ## 20387003  #dY:5.1%   
           8.2         0.11       0.0436       0.0023  # 1966,H.Liskien+          ## 20387003  #dY:5.3%   
           8.2            0       0.0453        0.001  # 1989,N.V.Kornilov+       ## 41048002  #dY:2.2%   
          8.21            0       0.0456       0.0012  # 1989,N.V.Kornilov+       ## 41048003  #dY:2.6%   
          8.22            0       0.0448       0.0015  # 1989,N.V.Kornilov+       ## 41048004  #dY:3.3%   
         8.225            0       0.0427            0  # 1961,H.W.Schmitt+        ## 11530002             
          8.25         0.18        0.045        0.003  # 1976,A.B.M.G.Mostafa     ## 21049003  #dY:6.7%   
          8.27         0.07        0.046       0.0014  # 1963,J.P.Butler+         ## 11457006  #dY:3.0%   
          8.28            0       0.0479       0.0011  # 1989,N.V.Kornilov+       ## 41048002  #dY:2.3%   
          8.29        0.065       0.0489       0.0055  # 1983,W.Enz+              ## 21900002  #dY:11.2%  
           8.3         0.03       0.0455            0  # 1961,H.W.Schmitt+        ## 11530002             
           8.3            0       0.0491       0.0014  # 1989,N.V.Kornilov+       ## 41048003  #dY:2.9%   
          8.31            0       0.0497       0.0015  # 1989,N.V.Kornilov+       ## 41048004  #dY:3.0%   
         8.334       0.0775       0.0458    0.0014564  # 2007,W.Mannhart+         ## 22976004  #dY:3.2%   
          8.35         0.12         0.06        0.004  # 1976,A.B.M.G.Mostafa     ## 21049003  #dY:6.7%   
          8.37            0       0.0491       0.0012  # 1989,N.V.Kornilov+       ## 41048002  #dY:2.4%   
          8.38            0       0.0504       0.0014  # 1989,N.V.Kornilov+       ## 41048003  #dY:2.8%   
          8.39            0       0.0511       0.0014  # 1989,N.V.Kornilov+       ## 41048004  #dY:2.7%   
           8.4         0.05       0.0529       0.0016  # 1963,J.P.Butler+         ## 11457006  #dY:3.0%   
           8.4          0.1        0.036       0.0072  # 1960,H.A.Tewes+          ## 11504003  #dY:20.0%  
         8.408        0.089       0.0536            0  # 1989,L.P.Geraldo+        ## 13171003             
          8.45            0        0.054       0.0012  # 1989,N.V.Kornilov+       ## 41048002  #dY:2.2%   
          8.47            0       0.0552       0.0016  # 1989,N.V.Kornilov+       ## 41048003  #dY:2.9%   
          8.48            0       0.0588       0.0019  # 1989,N.V.Kornilov+       ## 41048004  #dY:3.2%   
           8.5            0        0.055        0.006  # 1978,C.Nordborg+         ## 20843009  #dY:10.9%  
           8.5            0       0.0606       0.0072  # 1992,Y.Uwamino+          ## 22703002  #dY:11.9%  
          8.55            0       0.0598       0.0017  # 1989,N.V.Kornilov+       ## 41048003  #dY:2.8%   
         8.556        0.075       0.0575    0.0018458  # 2007,W.Mannhart+         ## 22976004  #dY:3.2%   
          8.56            0       0.0606       0.0019  # 1989,N.V.Kornilov+       ## 41048004  #dY:3.1%   
          8.57            0        0.058       0.0015  # 1989,N.V.Kornilov+       ## 41048002  #dY:2.6%   
          8.58         0.07       0.0397            0  # 1958,J.A.Grundl+         ## 11481002             
           8.6          0.3        0.077        0.008  # 1974,Yu.A.Nemilov+       ## 40135002  #dY:10.4%  
          8.61         0.05       0.0643       0.0019  # 1963,J.P.Butler+         ## 11457006  #dY:3.0%   
          8.64            0       0.0588       0.0016  # 1989,N.V.Kornilov+       ## 41048003  #dY:2.7%   
          8.65            0       0.0586       0.0017  # 1989,N.V.Kornilov+       ## 41048004  #dY:2.9%   
          8.71            0       0.0631       0.0015  # 1989,N.V.Kornilov+       ## 41048002  #dY:2.4%   
          8.73            0       0.0659       0.0018  # 1989,N.V.Kornilov+       ## 41048003  #dY:2.7%   
          8.74            0       0.0689       0.0019  # 1989,N.V.Kornilov+       ## 41048004  #dY:2.8%   
          8.81         0.05       0.0668        0.002  # 1963,J.P.Butler+         ## 11457006  #dY:3.0%   
          8.82            0       0.0687        0.002  # 1989,N.V.Kornilov+       ## 41048003  #dY:2.9%   
          8.83            0       0.0662       0.0017  # 1989,N.V.Kornilov+       ## 41048002  #dY:2.6%   
          8.83            0       0.0708       0.0023  # 1989,N.V.Kornilov+       ## 41048004  #dY:3.2%   
         8.895        0.094      0.06795            0  # 1989,L.P.Geraldo+        ## 13171003             
           8.9         0.04       0.0481            0  # 1958,J.A.Grundl+         ## 11481002             
         8.907        0.072       0.0651    0.0020637  # 2007,W.Mannhart+         ## 22976004  #dY:3.2%   
          8.91            0       0.0668        0.002  # 1989,N.V.Kornilov+       ## 41048003  #dY:3.0%   
          8.92            0       0.0712       0.0022  # 1989,N.V.Kornilov+       ## 41048004  #dY:3.1%   
          8.97            0       0.0649       0.0017  # 1989,N.V.Kornilov+       ## 41048002  #dY:2.6%   
             9            0       0.0689       0.0021  # 1989,N.V.Kornilov+       ## 41048003  #dY:3.0%   
          9.01         0.02       0.0513            0  # 1958,J.A.Grundl+         ## 11481002             
          9.01            0       0.0708       0.0021  # 1989,N.V.Kornilov+       ## 41048004  #dY:3.0%   
          9.02         0.05       0.0744       0.0022  # 1963,J.P.Butler+         ## 11457006  #dY:3.0%   
          9.05          0.3        0.078        0.007  # 1974,Yu.A.Nemilov+       ## 40135002  #dY:9.0%   
          9.09            0       0.0745       0.0022  # 1989,N.V.Kornilov+       ## 41048003  #dY:3.0%   
        9.0901            0       0.0745       0.0022  # 1989,N.V.Kornilov+       ## 41048003  #dY:3.0%   
           9.1          0.1        0.051       0.0102  # 1960,H.A.Tewes+          ## 11504003  #dY:20.0%  
           9.1            0       0.0729        0.002  # 1989,N.V.Kornilov+       ## 41048002  #dY:2.7%   
           9.1            0        0.077       0.0024  # 1989,N.V.Kornilov+       ## 41048004  #dY:3.1%   
        9.1001            0       0.0756       0.0023  # 1989,N.V.Kornilov+       ## 41048004  #dY:3.0%   
         9.111       0.0695        0.071    0.0023004  # 2007,W.Mannhart+         ## 22976004  #dY:3.2%   
         9.265        0.068       0.0728    0.0022786  # 2007,W.Mannhart+         ## 22976004  #dY:3.1%   
           9.3         0.05       0.0791       0.0025  # 1963,J.P.Butler+         ## 11457006  #dY:3.2%   
           9.3          0.3        0.082        0.006  # 1974,Yu.A.Nemilov+       ## 40135002  #dY:7.3%   
          9.35          0.1        0.061       0.0122  # 1960,H.A.Tewes+          ## 11504003  #dY:20.0%  
         9.379        0.099      0.08213            0  # 1989,L.P.Geraldo+        ## 13171003             
         9.379        0.099      0.08188            0  # 1989,L.P.Geraldo+        ## 13171003             
           9.5          0.5       0.0776       0.0039  # 1991,Y.Ikeda+            ## 22209009  #dY:5.0%   
           9.5            0      0.08368       0.0089  # 1992,Y.Uwamino+          ## 22703002  #dY:10.6%  
         9.547       0.0655       0.0796    0.0025313  # 2007,W.Mannhart+         ## 22976004  #dY:3.2%   
          9.63         0.05       0.0863       0.0027  # 1963,J.P.Butler+         ## 11457006  #dY:3.1%   
           9.8          0.1        0.061       0.0122  # 1960,H.A.Tewes+          ## 11504003  #dY:20.0%  
           9.8            0       0.0884       0.0022  # 1979,M.T.Swinhoe+        ## 20986003  #dY:2.5%   
           9.8            0       0.0884       0.0022  # 1983,S.Firkin            ## 21941006  #dY:2.5%   
         9.837        0.063       0.0844    0.0027008  # 2007,W.Mannhart+         ## 22976004  #dY:3.2%   
         9.859       0.1155      0.08574            0  # 1989,L.P.Geraldo+        ## 13171003             
          9.88         0.05       0.0883       0.0028  # 1963,J.P.Butler+         ## 11457006  #dY:3.2%   
            10         0.26        0.077      0.00539  # 1967,J.A.Grundl          ## 10417008  #dY:7.0%   
         10.03         0.05        0.091       0.0029  # 1963,J.P.Butler+         ## 11457006  #dY:3.2%   
