#ZVView-data-copy:  23-Mar-2020 07:39:03
#=======================================
#
#name:   49-IN-113(N,2N)49-IN-112-M,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  67
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          12.7        0.125            1        0.164  # 1988,Li Jianwei+         ## 30782005  #dY:16.4%  
         13.19         0.09        0.985        0.155  # 1988,Li Jianwei+         ## 30782005  #dY:15.7%  
         13.33            0        1.017        0.097  # 1990,C.Konno+            ## 22192006  #dY:9.5%   
         13.34            0        1.017        0.097  # 1993,C.Konno+            ## 22637053  #dY:9.5%   
          13.4         0.05         1.06       0.0795  # 1989,T.Katoh+            ## 22156016  #dY:7.5%   
          13.4         0.05            1         0.08  # 1990,K.Kawade+           ## 22187018  #dY:8.0%   
          13.4         0.05         1.06       0.0795  # 2001,H.Sakane+           ## 22662010  #dY:7.5%   
         13.43            0       1.0054       0.0309  # 1991,Cs.M.Buczko+        ## 30987004  #dY:3.1%   
         13.48            0       1.0115       0.0291  # 1991,Cs.M.Buczko+        ## 30987004  #dY:2.9%   
          13.5          0.2         1.11        0.051  # 2017,Junhua Luo+         ## 32775002  #dY:4.6%   
         13.56            0         1.07          0.1  # 1990,C.Konno+            ## 22192006  #dY:9.3%   
         13.57            0         1.07          0.1  # 1993,C.Konno+            ## 22637053  #dY:9.3%   
         13.64            0        1.025         0.03  # 1991,Cs.M.Buczko+        ## 30987004  #dY:2.9%   
          13.7         0.05         1.32      0.11088  # 1989,T.Katoh+            ## 22156016  #dY:8.4%   
          13.7         0.05         1.24          0.1  # 1990,K.Kawade+           ## 22187018  #dY:8.1%   
          13.7         0.05         1.32      0.11088  # 2001,H.Sakane+           ## 22662010  #dY:8.4%   
         13.72        0.105        0.172        0.179  # 1988,Li Jianwei+         ## 30782005  #dY:104.1% 
         13.74            0       1.0709       0.0316  # 1991,Cs.M.Buczko+        ## 30987004  #dY:3.0%   
         13.79            0       1.0837        0.031  # 1991,Cs.M.Buczko+        ## 30987004  #dY:2.9%   
         13.85            0        1.093       0.0313  # 1991,Cs.M.Buczko+        ## 30987004  #dY:2.9%   
         13.97            0       1.0756         0.03  # 1991,Cs.M.Buczko+        ## 30987004  #dY:2.8%   
            14            0        1.176         0.07  # 2014,S.R.Palvanov        ## 31737002  #dY:6.0%   
         14.01         0.05         1.24       0.1364  # 1989,T.Katoh+            ## 22156016  #dY:11.0%  
         14.01         0.05         1.19         0.09  # 1990,K.Kawade+           ## 22187018  #dY:7.6%   
         14.01         0.05         1.24       0.1364  # 2001,H.Sakane+           ## 22662010  #dY:11.0%  
          14.1         0.25         1.21         0.14  # 1970,J.K.Temperley+      ## 10214011  #dY:11.6%  
          14.1          0.2        1.173        0.062  # 2017,Junhua Luo+         ## 32775002  #dY:5.3%   
         14.16            0       1.0773        0.032  # 1991,Cs.M.Buczko+        ## 30987004  #dY:3.0%   
          14.2            0        1.897          0.2  # 1969,A.Chatterjee+       ## 30612006  #dY:10.5%  
         14.22            0         1.16         0.11  # 1990,C.Konno+            ## 22192006  #dY:9.5%   
         14.23            0         1.16         0.11  # 1993,C.Konno+            ## 22637053  #dY:9.5%   
          14.3          0.1        1.107        0.062  # 1983,T.B.Ryves+          ## 21918003  #dY:5.6%   
          14.3          0.2        1.023        0.043  # 2006,Fei Tuo+            ## 32653005  #dY:4.2%   
         14.35         0.05         1.32      0.10824  # 1989,T.Katoh+            ## 22156016  #dY:8.2%   
         14.35         0.05         1.25          0.1  # 1990,K.Kawade+           ## 22187018  #dY:8.0%   
         14.35         0.05         1.32      0.10824  # 2001,H.Sakane+           ## 22662010  #dY:8.2%   
         14.35            0       1.1243       0.0332  # 1991,Cs.M.Buczko+        ## 30987004  #dY:3.0%   
