#ZVView-data-copy:  23-Mar-2020 07:22:03
#=======================================
#
#name:   39-Y-89(N,G)39-Y-90-M,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  59
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
       2.53e-8            0      0.00107         1e-5  # 2013,F.Farina Arbocco+   ## 23266090  #dY:0.9%   
       2.53e-8            0      0.00107            0  # 2013,F.Farina Arbocco+   ## 23266091             
       2.53e-8            0      0.00106            0  # 2013,F.Farina Arbocco+   ## 23266091             
       2.53e-8            0      0.00104      1.04e-5  # 1988,F.De Corte+         ## 23488032  #dY:1.0%   
         0.143        0.016     0.000268            0  # 1967,H.A.Grench+         ## 11882002             
         0.143        0.016     0.000239            0  # 1967,H.A.Grench+         ## 11882004             
         0.162      0.02145     0.000334       2.3e-5  # 1970,N.D.Dudey+          ## 10030004  #dY:6.9%   
         0.223       0.0175     0.000343            0  # 1967,H.A.Grench+         ## 11882002             
         0.223       0.0175     0.000326            0  # 1967,H.A.Grench+         ## 11882004             
         0.245      0.02025     0.000344       1.8e-5  # 1970,N.D.Dudey+          ## 10030004  #dY:5.2%   
         0.259      0.01665     0.000297       2.1e-5  # 1970,N.D.Dudey+          ## 10030004  #dY:7.1%   
         0.314        0.018     0.000352       2.1e-5  # 1970,N.D.Dudey+          ## 10030004  #dY:6.0%   
         0.318       0.0165      0.00037            0  # 1967,H.A.Grench+         ## 11882002             
         0.318       0.0165     0.000356            0  # 1967,H.A.Grench+         ## 11882004             
         0.354       0.0237     0.000417       2.9e-5  # 1970,N.D.Dudey+          ## 10030004  #dY:7.0%   
         0.426       0.0178     0.000394       2.9e-5  # 1970,N.D.Dudey+          ## 10030004  #dY:7.4%   
         0.426       0.0145     0.000413            0  # 1967,H.A.Grench+         ## 11882002             
         0.426       0.0145     0.000421            0  # 1967,H.A.Grench+         ## 11882004             
         0.472       0.0227     0.000407       3.2e-5  # 1970,N.D.Dudey+          ## 10030004  #dY:7.9%   
         0.509      0.03705     0.000409       3.1e-5  # 1970,N.D.Dudey+          ## 10030004  #dY:7.6%   
         0.525       0.0155     0.000466            0  # 1967,H.A.Grench+         ## 11882002             
         0.525       0.0155     0.000477            0  # 1967,H.A.Grench+         ## 11882004             
         0.577       0.0197     0.000452       2.8e-5  # 1970,N.D.Dudey+          ## 10030004  #dY:6.2%   
         0.609       0.0155     0.000455            0  # 1967,H.A.Grench+         ## 11882002             
         0.609       0.0155     0.000499            0  # 1967,H.A.Grench+         ## 11882004             
         0.636       0.0179     0.000466       3.3e-5  # 1970,N.D.Dudey+          ## 10030004  #dY:7.1%   
         0.649       0.0426     0.000499       3.9e-5  # 1970,N.D.Dudey+          ## 10030004  #dY:7.8%   
         0.723      0.01985     0.000486       2.2e-5  # 1970,N.D.Dudey+          ## 10030004  #dY:4.5%   
         0.724       0.0155     0.000483            0  # 1967,H.A.Grench+         ## 11882002             
         0.724       0.0155     0.000513            0  # 1967,H.A.Grench+         ## 11882004             
         0.783       0.0191     0.000511       3.2e-5  # 1970,N.D.Dudey+          ## 10030004  #dY:6.3%   
         0.824        0.017     0.000523            0  # 1967,H.A.Grench+         ## 11882002             
         0.824        0.017     0.000548            0  # 1967,H.A.Grench+         ## 11882004             
         0.843       0.0189     0.000535       3.2e-5  # 1970,N.D.Dudey+          ## 10030004  #dY:6.0%   
         0.853       0.0459     0.000572       4.5e-5  # 1970,N.D.Dudey+          ## 10030004  #dY:7.9%   
         0.899       0.0156     0.000495       2.6e-5  # 1970,N.D.Dudey+          ## 10030004  #dY:5.3%   
         0.926        0.017     0.000477            0  # 1967,H.A.Grench+         ## 11882002             
         0.926        0.017      0.00049            0  # 1967,H.A.Grench+         ## 11882004             
         0.943      0.02145     0.000401       2.7e-5  # 1970,N.D.Dudey+          ## 10030004  #dY:6.7%   
         0.976       0.0227     0.000417       2.6e-5  # 1970,N.D.Dudey+          ## 10030004  #dY:6.2%   
         1.027        0.015     0.000285            0  # 1967,H.A.Grench+         ## 11882002             
         1.027        0.015     0.000318            0  # 1967,H.A.Grench+         ## 11882004             
         1.043        0.023     0.000385       2.4e-5  # 1970,N.D.Dudey+          ## 10030004  #dY:6.2%   
         1.085        0.016     0.000319            0  # 1967,H.A.Grench+         ## 11882002             
         1.085        0.016     0.000356            0  # 1967,H.A.Grench+         ## 11882004             
         1.106      0.02245     0.000324         2e-5  # 1970,N.D.Dudey+          ## 10030004  #dY:6.2%   
         1.182      0.02495     0.000286       1.8e-5  # 1970,N.D.Dudey+          ## 10030004  #dY:6.3%   
         1.223        0.017     0.000272            0  # 1967,H.A.Grench+         ## 11882002             
         1.223        0.017     0.000305            0  # 1967,H.A.Grench+         ## 11882004             
          1.23       0.0381     0.000264       2.2e-5  # 1970,N.D.Dudey+          ## 10030004  #dY:8.3%   
          1.33      0.03485     0.000284         2e-5  # 1970,N.D.Dudey+          ## 10030004  #dY:7.0%   
         1.449      0.02565     0.000297       1.9e-5  # 1970,N.D.Dudey+          ## 10030004  #dY:6.4%   
          13.5          0.2      0.00039         2e-5  # 2010,Fengqun Zhou+       ## 32678002  #dY:5.1%   
          14.1          0.1      0.00043         2e-5  # 2010,Fengqun Zhou+       ## 32678002  #dY:4.7%   
          14.6          0.2       0.0004         6e-5  # 1976,O.Schwerer+         ## 20670009  #dY:15.0%  
          14.6          0.2      0.00038         2e-5  # 2010,Fengqun Zhou+       ## 32678002  #dY:5.3%   
          14.7          0.1       0.0011       0.0006  # 1963,E.T.Bramlitt+       ## 11590035  #dY:54.5%  
          14.7         0.15      0.00039         4e-5  # 1980,G.Magnusson+        ## 21004007  #dY:10.3%  
          14.8          0.4       0.0005         7e-5  # 1967,H.A.Grench+         ## 11882006  #dY:14.0%  
//
#-------------------------------------------------------------------------------
