#ZVView-data-copy:  23-Feb-2020 10:00:06
#=======================================
#
#name:   30-ZN-66(N,2N)30-ZN-65,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  63
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          12.8          0.1        0.342        0.019  # 1975,A.Paulsen+          ## 20486003  #dY:5.6%   
         12.82         0.45        0.274        0.009  # 1991,Lu Hanlin+          ## 31408002  #dY:3.3%   
          13.2        0.105        0.449        0.025  # 1975,A.Paulsen+          ## 20486003  #dY:5.6%   
         13.35            0        0.442        0.021  # 1993,C.Konno+            ## 22637008  #dY:4.8%   
        13.466        0.115       0.4955       0.0112  # 1989,M.Wagner+           ## 30972002  #dY:2.3%   
        13.466        0.115       0.5039       0.0095  # 1989,M.Wagner+           ## 30972006  #dY:1.9%   
          13.5         0.05        0.479        0.024  # 1992,Kong Xiangzhong+    ## 32747003  #dY:5.0%   
          13.6        0.115        0.527        0.029  # 1975,A.Paulsen+          ## 20486003  #dY:5.5%   
         13.66         0.05        0.523        0.025  # 1992,Kong Xiangzhong+    ## 32747003  #dY:4.8%   
         13.76            0        0.545        0.025  # 1993,C.Konno+            ## 22637008  #dY:4.6%   
        13.922         0.03       0.5898       0.0161  # 1989,M.Wagner+           ## 30972002  #dY:2.7%   
        13.922         0.03       0.5906       0.0103  # 1989,M.Wagner+           ## 30972006  #dY:1.7%   
            14         0.13         0.63        0.034  # 1975,A.Paulsen+          ## 20486003  #dY:5.4%   
         14.09         0.12        0.588        0.013  # 1991,Lu Hanlin+          ## 31408002  #dY:2.2%   
          14.1         0.14        0.758        0.054  # 1969,M.Bormann+          ## 20835008  #dY:7.1%   
         14.21            0         0.55       0.0825  # 1967,J.Csikai+           ## 30033010  #dY:15.0%  
         14.23            0        0.647         0.03  # 1993,C.Konno+            ## 22637008  #dY:4.6%   
        14.283         0.08       0.6634       0.0154  # 1989,M.Wagner+           ## 30972002  #dY:2.3%   
        14.283         0.08        0.652       0.0119  # 1989,M.Wagner+           ## 30972006  #dY:1.8%   
         14.29         0.07        0.617         0.03  # 1992,Kong Xiangzhong+    ## 32747003  #dY:4.9%   
         14.37         0.07        0.632        0.031  # 1992,Kong Xiangzhong+    ## 32747003  #dY:4.9%   
          14.4         0.15         0.65         0.15  # 1968,N.Ranakumar+        ## 11515010  #dY:23.1%  
          14.4         0.22        0.685        0.044  # 1975,A.Paulsen+          ## 20486003  #dY:6.4%   
         14.47         0.17        0.618         0.02  # 1991,Lu Hanlin+          ## 31408002  #dY:3.2%   
         14.58         0.17        0.746        0.016  # 1991,Lu Hanlin+          ## 31408002  #dY:2.1%   
          14.6            0        0.588        0.065  # 1979,K.Kayashima+        ## 21300014  #dY:11.1%  
          14.6          0.1        0.786        0.028  # 1991,A.Ercan+            ## 22338019  #dY:3.6%   
          14.6            0        0.583         0.05  # 1973,J.Araminowicz+      ## 30264017  #dY:8.6%   
         14.68            0         0.72        0.032  # 1993,C.Konno+            ## 22637008  #dY:4.4%   
          14.7         0.15        0.605        0.055  # 1972,S.M.Qaim            ## 20536011  #dY:9.1%   
          14.7         0.11        0.698        0.035  # 1992,Kong Xiangzhong+    ## 32747003  #dY:5.0%   
        14.754         0.19       0.7381       0.0168  # 1989,M.Wagner+           ## 30972002  #dY:2.3%   
        14.754         0.19       0.7345       0.0118  # 1989,M.Wagner+           ## 30972006  #dY:1.6%   
         14.78         0.35        0.739        0.024  # 1991,Lu Hanlin+          ## 31408002  #dY:3.2%   
          14.8         0.17        0.685        0.037  # 1975,A.Paulsen+          ## 20486003  #dY:5.4%   
