#ZVView-data-copy:   6-Feb-2020 08:37:56
#=======================================
#
#name:   30-ZN-66(N,G)30-ZN-67,,SIG,,AV
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  3
#ldata:  31
#data...
#            X         +-dX            Y  # Comments...
#          MeV          MeV        barns  # Year,Author(s)           ## EXFOR-ID
        0.0045       0.0015      0.07045            0  # 1981,J.B.Garg+           ## 12719003             
        0.0075       0.0015      0.03594            0  # 1981,J.B.Garg+           ## 12719003             
        0.0105       0.0015      0.09288            0  # 1981,J.B.Garg+           ## 12719003             
        0.0135       0.0015      0.10886            0  # 1981,J.B.Garg+           ## 12719003             
        0.0175       0.0025       0.0628            0  # 1981,J.B.Garg+           ## 12719003             
         0.025        0.005      0.04107            0  # 1981,J.B.Garg+           ## 12719003             
         0.035        0.005      0.02234            0  # 1981,J.B.Garg+           ## 12719003             
         0.045        0.005      0.04307            0  # 1981,J.B.Garg+           ## 12719003             
         0.055        0.005      0.02614            0  # 1981,J.B.Garg+           ## 12719003             
          0.07         0.01        0.027            0  # 1981,J.B.Garg+           ## 12719003             
          0.09         0.01      0.02234            0  # 1981,J.B.Garg+           ## 12719003             
          0.11         0.01      0.01626            0  # 1981,J.B.Garg+           ## 12719003             
          0.13         0.01      0.02358            0  # 1981,J.B.Garg+           ## 12719003             
          0.15         0.01      0.02263            0  # 1981,J.B.Garg+           ## 12719003             
          0.17         0.01      0.02168            0  # 1981,J.B.Garg+           ## 12719003             
          0.19         0.01      0.02054            0  # 1981,J.B.Garg+           ## 12719003             
          0.21         0.01      0.01977            0  # 1981,J.B.Garg+           ## 12719003             
          0.23         0.01      0.01797            0  # 1981,J.B.Garg+           ## 12719003             
          0.25         0.01       0.0173            0  # 1981,J.B.Garg+           ## 12719003             
          0.27         0.01      0.01626            0  # 1981,J.B.Garg+           ## 12719003             
          0.29         0.01      0.01673            0  # 1981,J.B.Garg+           ## 12719003             
          0.31         0.01      0.01702            0  # 1981,J.B.Garg+           ## 12719003             
          0.33         0.01      0.01692            0  # 1981,J.B.Garg+           ## 12719003             
          0.35         0.01      0.01569            0  # 1981,J.B.Garg+           ## 12719003             
          0.37         0.01      0.01569            0  # 1981,J.B.Garg+           ## 12719003             
          0.39         0.01      0.01673            0  # 1981,J.B.Garg+           ## 12719003             
          0.41         0.01      0.01863            0  # 1981,J.B.Garg+           ## 12719003             
          0.43         0.01      0.01721            0  # 1981,J.B.Garg+           ## 12719003             
          0.45         0.01      0.01816            0  # 1981,J.B.Garg+           ## 12719003             
          0.47         0.01      0.01863            0  # 1981,J.B.Garg+           ## 12719003             
          0.49         0.01      0.01787            0  # 1981,J.B.Garg+           ## 12719003             
//
#-------------------------------------------------------------------------------
