#ZVView-data-copy:  23-Feb-2020 08:02:41
#=======================================
#
#name:   30-ZN-66(N,P)29-CU-66,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  94
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
         4.172       0.1355    0.0008113   0.00021905  # 1980,D.L.Smith+          ## 10902002  #dY:27.0%  
         4.251       0.0565     0.001013   0.00029377  # 1980,D.L.Smith+          ## 10902002  #dY:29.0%  
         4.574         0.04     0.002747   0.00042578  # 1980,D.L.Smith+          ## 10902002  #dY:15.5%  
         4.626        0.132     0.002193   0.00054167  # 1980,D.L.Smith+          ## 10902002  #dY:24.7%  
         5.015        0.111     0.004871   0.00081833  # 1980,D.L.Smith+          ## 10902002  #dY:16.8%  
         5.174        0.041     0.004363   0.00067626  # 1980,D.L.Smith+          ## 10902002  #dY:15.5%  
         5.365        0.099     0.006799    0.0010266  # 1980,D.L.Smith+          ## 10902002  #dY:15.1%  
         5.377       0.0415       0.0055    0.0008525  # 1980,D.L.Smith+          ## 10902002  #dY:15.5%  
         5.499       0.0985     0.008428    0.0012979  # 1980,D.L.Smith+          ## 10902002  #dY:15.4%  
         5.561       0.0775     0.008493    0.0016222  # 1980,D.L.Smith+          ## 10902002  #dY:19.1%  
         5.576       0.0415      0.01011     0.001567  # 1980,D.L.Smith+          ## 10902002  #dY:15.5%  
         5.775        0.042     0.009525    0.0014764  # 1980,D.L.Smith+          ## 10902002  #dY:15.5%  
         6.022       0.0865      0.01298    0.0018691  # 1980,D.L.Smith+          ## 10902002  #dY:14.4%  
         6.078        0.078      0.01202    0.0018992  # 1980,D.L.Smith+          ## 10902002  #dY:15.8%  
         6.414       0.0625      0.01331    0.0021429  # 1980,D.L.Smith+          ## 10902002  #dY:16.1%  
         6.724        0.063      0.01511    0.0023572  # 1980,D.L.Smith+          ## 10902002  #dY:15.6%  
          7.03       0.0635      0.01459    0.0025387  # 1980,D.L.Smith+          ## 10902002  #dY:17.4%  
         7.256        0.102      0.01759    0.0025681  # 1980,D.L.Smith+          ## 10902002  #dY:14.6%  
         7.257        0.101      0.01878    0.0027419  # 1980,D.L.Smith+          ## 10902002  #dY:14.6%  
         7.325       0.0645      0.01773    0.0027836  # 1980,D.L.Smith+          ## 10902002  #dY:15.7%  
         7.558       0.1075      0.01969    0.0029929  # 1980,D.L.Smith+          ## 10902002  #dY:15.2%  
         7.558       0.1065      0.02114    0.0030653  # 1980,D.L.Smith+          ## 10902002  #dY:14.5%  
         7.626       0.0655      0.02052    0.0032627  # 1980,D.L.Smith+          ## 10902002  #dY:15.9%  
         7.854        0.108      0.01984    0.0031942  # 1980,D.L.Smith+          ## 10902002  #dY:16.1%  
         7.854        0.108      0.02058    0.0028606  # 1980,D.L.Smith+          ## 10902002  #dY:13.9%  
         7.922        0.067       0.0213    0.0034293  # 1980,D.L.Smith+          ## 10902002  #dY:16.1%  
         7.924        0.067      0.02309    0.0034866  # 1980,D.L.Smith+          ## 10902002  #dY:15.1%  
         8.218       0.0685      0.02368    0.0036467  # 1980,D.L.Smith+          ## 10902002  #dY:15.4%  
         8.511         0.07      0.02806    0.0042651  # 1980,D.L.Smith+          ## 10902002  #dY:15.2%  
         8.803       0.0715      0.03367    0.0050842  # 1980,D.L.Smith+          ## 10902002  #dY:15.1%  
         9.093       0.0735      0.03363    0.0054817  # 1980,D.L.Smith+          ## 10902002  #dY:16.3%  
         9.383        0.075      0.03784    0.0057517  # 1980,D.L.Smith+          ## 10902002  #dY:15.2%  
         9.672        0.077      0.04532    0.0065714  # 1980,D.L.Smith+          ## 10902002  #dY:14.5%  
         9.864       0.0785      0.04452     0.006767  # 1980,D.L.Smith+          ## 10902002  #dY:15.2%  
         9.965        0.079      0.03892     0.005838  # 1980,D.L.Smith+          ## 10902002  #dY:15.0%  
         13.04          0.4       0.0744       0.0141  # 1995,D.Kielan+           ## 31460003  #dY:19.0%  
          13.2          0.5       0.0744       0.0097  # 1965,M.Bormann+          ## 20887009  #dY:13.0%  
          13.4         0.05        0.074       0.0185  # 1990,K.Kawade+           ## 22187012  #dY:25.0%  
          13.4         0.05       0.0593    0.0037359  # 1998,Y.Kasugai+          ## 22433013  #dY:6.3%   
          13.4          0.2       0.0753       0.0067  # 1995,D.Kielan+           ## 31460003  #dY:8.9%   
          13.7         0.05        0.062       0.0186  # 1990,K.Kawade+           ## 22187012  #dY:30.0%  
          13.7         0.05       0.0497      0.00497  # 1998,Y.Kasugai+          ## 22433013  #dY:10.0%  
         13.77            0        0.069        0.009  # 1982,M.Viennot+          ## 30644019  #dY:13.0%  
         13.77         0.13        0.069        0.009  # 1991,M.Viennot+          ## 30978011  #dY:13.0%  
          13.9          0.3       0.0751       0.0071  # 1995,D.Kielan+           ## 31460003  #dY:9.5%   
            14            0        0.075         0.01  # 1964,V.N.Levkovskii      ## 40016020  #dY:13.3%  
         14.01         0.05        0.072        0.018  # 1990,K.Kawade+           ## 22187012  #dY:25.0%  
         14.01         0.05       0.0577    0.0047891  # 1998,Y.Kasugai+          ## 22433013  #dY:8.3%   
          14.1          0.1       0.0602     0.007224  # 1957,S.Yasumi            ## 20280007  #dY:12.0%  
          14.1            0         0.08        0.008  # 1976,J.L.Casanova+       ## 20748004  #dY:10.0%  
         14.11            0        0.063        0.008  # 1982,M.Viennot+          ## 30644019  #dY:12.7%  
         14.11         0.13        0.063        0.008  # 1991,M.Viennot+          ## 30978011  #dY:12.7%  
          14.2          0.1        0.076        0.005  # 1995,S.K.Ghorai+         ## 13597004  #dY:6.6%   
          14.2          0.1        0.054        0.009  # 1982,C.V.Srinivasa Rao   ## 30642005  #dY:16.7%  
         14.35         0.05       0.0671     0.016775  # 1990,K.Kawade+           ## 22187012  #dY:25.0%  
         14.35         0.05       0.0538    0.0045192  # 1998,Y.Kasugai+          ## 22433013  #dY:8.4%   
          14.4         0.15        0.065        0.006  # 1968,N.Ranakumar+        ## 11515009  #dY:9.2%   
          14.4            0        0.072        0.016  # 1969,I.G.Clator          ## 11536008  #dY:22.2%  
         14.47            0        0.074        0.009  # 1982,M.Viennot+          ## 30644019  #dY:12.2%  
         14.47         0.17        0.074        0.009  # 1991,M.Viennot+          ## 30978011  #dY:12.2%  
          14.5            0        0.101      0.01717  # 1953,E.B.Paul+           ## 11274039  #dY:17.0%  
          14.5          0.3       0.0698       0.0073  # 1995,D.Kielan+           ## 31460003  #dY:10.5%  
          14.6            0       0.0698       0.0091  # 1976,R.A.Sigg            ## 10776007  #dY:13.0%  
          14.6          0.1        0.069         0.01  # 1991,A.Ercan+            ## 22338020  #dY:14.5%  
          14.6            0       0.0881       0.0027  # 1973,J.Dresler+          ## 30263012  #dY:3.1%   
         14.64         0.05       0.0701     0.018226  # 1990,K.Kawade+           ## 22187012  #dY:26.0%  
         14.64         0.05       0.0562     0.005058  # 1998,Y.Kasugai+          ## 22433013  #dY:9.0%   
          14.7          0.3        0.076        0.007  # 1976,M.Valkonen+         ## 20673011  #dY:9.2%   
          14.7         0.15        0.072        0.008  # 1977,N.I.Molla+          ## 20721058  #dY:11.1%  
         14.73            0        0.075        0.009  # 1982,M.Viennot+          ## 30644019  #dY:12.0%  
         14.73         0.23        0.075        0.009  # 1991,M.Viennot+          ## 30978011  #dY:12.0%  
          14.8         0.45        0.077         0.01  # 1960,I.L.Preiss+         ## 11740020  #dY:13.0%  
          14.8          0.6       0.0774       0.0065  # 1965,M.Bormann+          ## 20887009  #dY:8.4%   
          14.8         0.25        0.062        0.005  # 1971,R.Prasad+           ## 30336021  #dY:8.1%   
          14.8          0.5        0.074        0.006  # 1985,J.P.Gupta+          ## 30707016  #dY:8.1%   
          14.8            0        0.067         0.01  # 1967,G.P.Vinitskaya+     ## 40009004  #dY:14.9%  
         14.83            0        0.055        0.007  # 1982,M.Viennot+          ## 30644019  #dY:12.7%  
         14.87         0.05       0.0739     0.019214  # 1990,K.Kawade+           ## 22187012  #dY:26.0%  
         14.87         0.05       0.0592    0.0057424  # 1998,Y.Kasugai+          ## 22433013  #dY:9.7%   
            15          0.3       0.0633       0.0068  # 1995,D.Kielan+           ## 31460003  #dY:10.7%  
          15.2          0.1        0.072        0.006  # 1995,S.K.Ghorai+         ## 13597004  #dY:8.3%   
          15.2          0.6       0.0735       0.0096  # 1965,M.Bormann+          ## 20887009  #dY:13.1%  
          15.4          0.2       0.0648        0.007  # 1995,D.Kielan+           ## 31460003  #dY:10.8%  
          15.7            0         0.06        0.013  # 1969,I.G.Clator          ## 11536008  #dY:21.7%  
          15.9          0.5       0.0626       0.0098  # 1995,D.Kielan+           ## 31460003  #dY:15.7%  
          16.2          0.1        0.071        0.008  # 1995,S.K.Ghorai+         ## 13597004  #dY:11.3%  
          16.6          0.1       0.0658       0.0113  # 1995,D.Kielan+           ## 31460003  #dY:17.2%  
          16.7            0        0.054        0.012  # 1969,I.G.Clator          ## 11536008  #dY:22.2%  
            17          0.6       0.0702       0.0091  # 1965,M.Bormann+          ## 20887009  #dY:13.0%  
          17.2          0.1        0.062        0.007  # 1995,S.K.Ghorai+         ## 13597004  #dY:11.3%  
          17.9          0.6       0.0607       0.0073  # 1965,M.Bormann+          ## 20887009  #dY:12.0%  
          18.2          0.1        0.057        0.007  # 1995,S.K.Ghorai+         ## 13597004  #dY:12.3%  
          18.8          0.4        0.062       0.0071  # 1965,M.Bormann+          ## 20887009  #dY:11.5%  
          19.4          0.2        0.057       0.0068  # 1965,M.Bormann+          ## 20887009  #dY:11.9%  
//
#-------------------------------------------------------------------------------
