#ZVView-data-copy:  18-Feb-2020 06:00:20
#=======================================
#
#name:   30-ZN-70(N,2N)30-ZN-69-M,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  59
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
           9.3        0.055        0.046        0.023  # 1972,D.C.Santry+         ## 10224007  #dY:50.0%  
           9.8        0.055        0.143        0.035  # 1972,D.C.Santry+         ## 10224007  #dY:24.5%  
         9.979       0.0565       0.0142    0.0078356  # 2007,W.Mannhart+         ## 22976030  #dY:55.2%  
         10.03        0.055        0.216        0.032  # 1972,D.C.Santry+         ## 10224007  #dY:14.8%  
         10.32         0.27        0.093        0.011  # 2003,C.D.Nesaraja+       ## 22823005  #dY:11.8%  
        10.569       0.0545       0.1218     0.012631  # 2007,W.Mannhart+         ## 22976030  #dY:10.4%  
         10.75        0.055        0.328        0.049  # 1972,D.C.Santry+         ## 10224007  #dY:14.9%  
        10.929        0.054       0.1974      0.01445  # 2007,W.Mannhart+         ## 22976030  #dY:7.3%   
            11        0.055        0.275        0.035  # 1972,D.C.Santry+         ## 10224007  #dY:12.7%  
         11.42        0.305        0.286         0.03  # 2003,C.D.Nesaraja+       ## 22823005  #dY:10.5%  
        11.495        0.053       0.3177     0.020015  # 2007,W.Mannhart+         ## 22976030  #dY:6.3%   
        11.909       0.0525       0.3875     0.021312  # 2007,W.Mannhart+         ## 22976030  #dY:5.5%   
         11.98        0.255        0.581        0.073  # 2003,C.D.Nesaraja+       ## 22823005  #dY:12.6%  
          12.1        0.055        0.468        0.023  # 1972,D.C.Santry+         ## 10224007  #dY:4.9%   
        12.207       0.0525       0.4422     0.026267  # 2007,W.Mannhart+         ## 22976030  #dY:5.9%   
         12.29        0.335        0.732        0.084  # 2003,C.D.Nesaraja+       ## 22823005  #dY:11.5%  
        12.496       0.0525       0.4582     0.024285  # 2007,W.Mannhart+         ## 22976030  #dY:5.3%   
          12.5          0.2        0.513        0.082  # 1972,D.C.Santry+         ## 10224007  #dY:16.0%  
          12.6         0.06        0.573         0.03  # 1972,D.C.Santry+         ## 10224007  #dY:5.2%   
         12.69        0.052        0.474     0.024695  # 2007,W.Mannhart+         ## 22976030  #dY:5.2%   
         12.82         0.45        0.395        0.013  # 1991,Lu Hanlin+          ## 31408004  #dY:3.3%   
        12.967        0.052       0.4894     0.026819  # 2007,W.Mannhart+         ## 22976030  #dY:5.5%   
            13          0.2        0.502         0.04  # 1980,M.Herman+           ## 30552006  #dY:8.0%   
        13.177        0.052       0.5359     0.028831  # 2007,W.Mannhart+         ## 22976030  #dY:5.4%   
          13.4          0.1         0.46        0.029  # 1980,M.Herman+           ## 30552006  #dY:6.3%   
        13.531        0.052       0.5543     0.030154  # 2007,W.Mannhart+         ## 22976030  #dY:5.4%   
         13.58         0.05        0.508         0.03  # 1972,D.C.Santry+         ## 10224007  #dY:5.9%   
        13.699        0.052       0.5505     0.030167  # 2007,W.Mannhart+         ## 22976030  #dY:5.5%   
         13.89         0.03        0.536        0.032  # 1972,D.C.Santry+         ## 10224007  #dY:6.0%   
          13.9         0.15        0.442        0.028  # 1980,M.Herman+           ## 30552006  #dY:6.3%   
          13.9            0        0.606        0.041  # 1994,N.I.Molla+          ## 31449013  #dY:6.8%   
        13.984        0.052       0.5969     0.033546  # 2007,W.Mannhart+         ## 22976030  #dY:5.6%   
         14.09         0.12        0.564        0.013  # 1991,Lu Hanlin+          ## 31408004  #dY:2.3%   
          14.1            0        0.652        0.052  # 1994,N.I.Molla+          ## 31449013  #dY:8.0%   
         14.24         0.03        0.572        0.025  # 1972,D.C.Santry+         ## 10224007  #dY:4.4%   
        14.327        0.052       0.6003     0.036078  # 2007,W.Mannhart+         ## 22976030  #dY:6.0%   
          14.4         0.15          0.6         0.04  # 1968,N.Ranakumar+        ## 11515013  #dY:6.7%   
          14.5        0.075        0.547        0.022  # 1972,D.C.Santry+         ## 10224007  #dY:4.0%   
          14.5         0.15        0.448        0.029  # 1980,M.Herman+           ## 30552006  #dY:6.5%   
         14.51            0        0.731        0.057  # 1994,N.I.Molla+          ## 31449013  #dY:7.8%   
         14.58         0.17        0.671        0.016  # 1991,Lu Hanlin+          ## 31408004  #dY:2.4%   
          14.6          0.1        0.698        0.048  # 1991,A.Ercan+            ## 22338025  #dY:6.9%   
          14.7         0.15        0.754        0.096  # 1972,S.M.Qaim            ## 20536012  #dY:12.7%  
          14.7            0        0.574         0.06  # 1968,J.Karolyi+          ## 30101018  #dY:10.5%  
          14.7          0.1        0.702        0.046  # 1976,S.Hlavac+           ## 30286002  #dY:6.6%   
         14.71            0        0.758        0.059  # 1994,N.I.Molla+          ## 31449013  #dY:7.8%   
         14.74          0.1        0.548        0.022  # 1972,D.C.Santry+         ## 10224007  #dY:4.0%   
            15         0.15        0.475        0.031  # 1980,M.Herman+           ## 30552006  #dY:6.5%   
          15.4          0.1        0.463         0.03  # 1980,M.Herman+           ## 30552006  #dY:6.5%   
          15.9         0.25        0.565        0.045  # 1980,M.Herman+           ## 30552006  #dY:8.0%   
          16.2          0.3        0.569        0.028  # 1972,D.C.Santry+         ## 10224007  #dY:4.9%   
          16.6         0.05        0.501        0.042  # 1980,M.Herman+           ## 30552006  #dY:8.4%   
         16.86         0.96        0.644        0.023  # 1991,Lu Hanlin+          ## 31408004  #dY:3.6%   
          17.4          0.2        0.583        0.049  # 1980,M.Herman+           ## 30552006  #dY:8.4%   
         17.63         0.21        0.651        0.022  # 1991,Lu Hanlin+          ## 31408004  #dY:3.4%   
          17.8         0.25        0.612         0.03  # 1972,D.C.Santry+         ## 10224007  #dY:4.9%   
          17.9         0.05        0.575        0.047  # 1980,M.Herman+           ## 30552006  #dY:8.2%   
          19.1         0.15        0.569        0.029  # 1972,D.C.Santry+         ## 10224007  #dY:5.1%   
          19.6         0.15        0.508        0.025  # 1972,D.C.Santry+         ## 10224007  #dY:4.9%   
//
#-------------------------------------------------------------------------------
