#ZVView-data-copy:  22-Mar-2020 05:38:40
#=======================================
#
#name:   40-ZR-92(N,P)39-Y-92,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  85
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          5.89            0      0.00046      0.00016  # 1991,P.Raics+            ## 30988005  #dY:34.8%  
             6         0.25      0.00015            0  # 1966,E.E.Carroll+        ## 11856005             
         6.102        0.125      0.00018         4e-5  # 1990,M.Ibn Majah+        ## 22144005  #dY:22.2%  
          6.39            0      0.00053       0.0001  # 1991,P.Raics+            ## 30988005  #dY:18.9%  
          6.48        0.189      0.00022         3e-5  # 1990,M.Ibn Majah+        ## 22144005  #dY:13.6%  
           6.8            0      0.00125      0.00073  # 1991,P.Raics+            ## 30988005  #dY:58.4%  
          7.18        0.127      0.00035         5e-5  # 1990,M.Ibn Majah+        ## 22144005  #dY:14.3%  
         7.704         0.13      0.00055         7e-5  # 1990,M.Ibn Majah+        ## 22144005  #dY:12.7%  
           8.2            0      0.00121      0.00054  # 1991,P.Raics+            ## 30988005  #dY:44.6%  
         8.215        0.128      0.00089         9e-5  # 1990,M.Ibn Majah+        ## 22144011  #dY:10.1%  
          8.43            0       0.0015      0.00017  # 1991,P.Raics+            ## 30988005  #dY:11.3%  
         8.716         0.14      0.00146      0.00015  # 1990,M.Ibn Majah+        ## 22144011  #dY:10.3%  
          8.92            0      0.00173      0.00014  # 1991,P.Raics+            ## 30988005  #dY:8.1%   
         9.187        0.188       0.0021      0.00027  # 1990,M.Ibn Majah+        ## 22144011  #dY:12.9%  
          9.43            0      0.00293      0.00047  # 1991,P.Raics+            ## 30988005  #dY:16.0%  
         9.643        0.214      0.00373      0.00044  # 1990,M.Ibn Majah+        ## 22144011  #dY:11.8%  
        10.127        0.226       0.0042      0.00043  # 1990,M.Ibn Majah+        ## 22144011  #dY:10.2%  
         10.23            0      0.00437      0.00033  # 1991,P.Raics+            ## 30988005  #dY:7.6%   
        10.614        0.221      0.00485       0.0005  # 1990,M.Ibn Majah+        ## 22144011  #dY:10.3%  
         10.95            0      0.00635      0.00038  # 1991,P.Raics+            ## 30988005  #dY:6.0%   
         11.34         0.22       0.0075       0.0004  # 1998,R.Doczi+            ## 31495011  #dY:5.3%   
         11.44         0.21       0.0105       0.0008  # 2001,M.Ibn Majah+        ## 22664007  #dY:7.6%   
         11.56            0      0.00607      0.00056  # 1991,P.Raics+            ## 30988005  #dY:9.2%   
         12.25            0      0.01105      0.00041  # 1991,P.Raics+            ## 30988005  #dY:3.7%   
         12.37          0.2       0.0182       0.0012  # 2001,M.Ibn Majah+        ## 22664007  #dY:6.6%   
         13.34            0       0.0185        0.002  # 1988,Y.Ikeda+            ## 22089058  #dY:10.8%  
          13.4          0.4       0.0143       0.0026  # 1990,A.Marcinkowski+     ## 30940004  #dY:18.2%  
         13.56            0       0.0143       0.0023  # 2007,S.V.Begun+          ## 32220002  #dY:16.1%  
         13.56            0       0.0142        0.002  # 1999,A.A.Filatenkov+     ## 41240034  #dY:14.1%  
         13.56            0       0.0143     0.002145  # 2016,A.A.Filatenkov      ## 41614061  #dY:15.0%  
         13.57            0       0.0197       0.0021  # 1988,Y.Ikeda+            ## 22089058  #dY:10.7%  
          13.6          0.3       0.0184       0.0024  # 1990,A.Marcinkowski+     ## 30940004  #dY:13.0%  
         13.64            0       0.0163       0.0013  # 1991,N.I.Molla+          ## 30985008  #dY:8.0%   
         13.74            0       0.0164       0.0021  # 1999,A.A.Filatenkov+     ## 41240034  #dY:12.8%  
         13.74            0       0.0165    0.0022935  # 2016,A.A.Filatenkov      ## 41614061  #dY:13.9%  
         13.76            0       0.0208       0.0022  # 1988,Y.Ikeda+            ## 22089058  #dY:10.6%  
         13.88            0       0.0166       0.0014  # 1991,N.I.Molla+          ## 30985008  #dY:8.4%   
         13.96            0       0.0196       0.0023  # 1999,A.A.Filatenkov+     ## 41240034  #dY:11.7%  
         13.96            0       0.0197    0.0025413  # 2016,A.A.Filatenkov      ## 41614061  #dY:12.9%  
            14            0        0.025        0.005  # 1964,V.N.Levkovskii      ## 40016013  #dY:20.0%  
          14.1            0       0.0207       0.0009  # 1960,C.H.Reed            ## 11896011  #dY:4.3%   
          14.1            0       0.0182       0.0015  # 1991,N.I.Molla+          ## 30985008  #dY:8.2%   
         14.19            0       0.0187       0.0021  # 1999,A.A.Filatenkov+     ## 41240034  #dY:11.2%  
         14.19            0       0.0187    0.0023188  # 2016,A.A.Filatenkov      ## 41614061  #dY:12.4%  
          14.2          0.3       0.0183       0.0023  # 1990,A.Marcinkowski+     ## 30940004  #dY:12.6%  
         14.23            0        0.022       0.0025  # 1988,Y.Ikeda+            ## 22089058  #dY:11.4%  
          14.4         0.15       0.0185       0.0027  # 1970,W.D.Lu+             ## 10145004  #dY:14.6%  
         14.42            0       0.0196       0.0021  # 1999,A.A.Filatenkov+     ## 41240034  #dY:10.7%  
         14.42            0       0.0196     0.002352  # 2016,A.A.Filatenkov      ## 41614061  #dY:12.0%  
         14.43            0       0.0222       0.0023  # 1988,Y.Ikeda+            ## 22089058  #dY:10.4%  
          14.5            0        0.019            0  # 1963,S.K.Mukherjee+      ## 31330004             
         14.53            0       0.0198       0.0022  # 2007,S.V.Begun+          ## 32220002  #dY:11.1%  
         14.58            0       0.0205        0.001  # 1991,N.I.Molla+          ## 30985008  #dY:4.9%   
          14.6            0       0.0201       0.0015  # 1977,Y.Fujino+           ## 20850004  #dY:7.5%   
          14.6          0.2        0.076        0.016  # 1962,P.Strohal+          ## 30008024  #dY:21.1%  
          14.6         0.12         0.02        0.001  # 1993,A.Grallert+         ## 31496039  #dY:5.0%   
         14.61            0       0.0229       0.0024  # 1999,A.A.Filatenkov+     ## 41240034  #dY:10.5%  
         14.61            0       0.0229    0.0026793  # 2016,A.A.Filatenkov      ## 41614061  #dY:11.7%  
         14.67            0       0.0222       0.0023  # 1988,Y.Ikeda+            ## 22089058  #dY:10.4%  
          14.7          0.1        0.022        0.004  # 1963,E.T.Bramlitt+       ## 11590041  #dY:18.2%  
          14.7         0.15       0.0195       0.0025  # 1974,S.M.Qaim+           ## 20513016  #dY:12.8%  
          14.7          0.3       0.0192       0.0018  # 1985,B.Anders+           ## 21976028  #dY:9.4%   
          14.7         0.15       0.0206       0.0011  # 1972,V.K.Tikku+          ## 30394009  #dY:5.3%   
          14.7            0        0.017       0.0009  # 1996,K.T.Osman+          ## 31464023  #dY:5.3%   
         14.78            0       0.0205       0.0023  # 1999,A.A.Filatenkov+     ## 41240034  #dY:11.2%  
         14.78            0       0.0206    0.0025544  # 2016,A.A.Filatenkov      ## 41614061  #dY:12.4%  
          14.8          0.2        0.022        0.002  # 2010,V.Semkova+          ## 22822006  #dY:9.1%   
          14.8         0.25        0.016        0.003  # 1971,R.Prasad+           ## 30336026  #dY:18.7%  
          14.8          0.3       0.0176       0.0023  # 1990,A.Marcinkowski+     ## 30940004  #dY:13.1%  
          14.8            0         0.02        0.003  # 1970,V.N.Levkovskii+     ## 40226020  #dY:15.0%  
