#ZVView-data-copy:  22-Mar-2020 07:42:13
#=======================================
#
#name:   40-ZR-96(N,2N)40-ZR-95,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  63
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
           8.2            0       0.0692        0.035  # 1991,P.Raics+            ## 30988008  #dY:50.6%  
         8.215        0.128        0.155        0.026  # 1990,M.Ibn Majah+        ## 22144007  #dY:16.8%  
          8.43            0        0.248        0.022  # 1991,P.Raics+            ## 30988008  #dY:8.9%   
         8.716         0.14        0.437        0.046  # 1990,M.Ibn Majah+        ## 22144007  #dY:10.5%  
          8.92            0         0.54         0.02  # 1991,P.Raics+            ## 30988008  #dY:3.7%   
         9.187        0.188        0.795         0.09  # 1990,M.Ibn Majah+        ## 22144007  #dY:11.3%  
          9.43            0        1.103        0.043  # 1991,P.Raics+            ## 30988008  #dY:3.9%   
         9.643        0.214         1.12         0.12  # 1990,M.Ibn Majah+        ## 22144007  #dY:10.7%  
        10.127        0.226        1.327         0.13  # 1990,M.Ibn Majah+        ## 22144007  #dY:9.8%   
         10.23            0        1.233        0.055  # 1991,P.Raics+            ## 30988008  #dY:4.5%   
        10.614        0.221        1.618         0.16  # 1990,M.Ibn Majah+        ## 22144007  #dY:9.9%   
         10.95            0        1.152        0.037  # 1991,P.Raics+            ## 30988008  #dY:3.2%   
         11.44         0.21        1.758         0.11  # 2001,M.Ibn Majah+        ## 22664010  #dY:6.3%   
         11.56            0        1.152        0.052  # 1991,P.Raics+            ## 30988008  #dY:4.5%   
         12.25            0        0.722         0.02  # 1991,P.Raics+            ## 30988008  #dY:2.8%   
         12.37          0.2        1.615        0.101  # 2001,M.Ibn Majah+        ## 22664010  #dY:6.3%   
         12.82         0.45        1.426        0.045  # 1991,Lu Hanlin+          ## 31408005  #dY:3.2%   
         13.33            0        1.462        0.086  # 1988,Y.Ikeda+            ## 22089063  #dY:5.9%   
