#ZVView-data-copy:  30-Jun-2020 19:15:50
#=======================================
#
#name:   IRDFF-II: AL-27(N,X)Na-24G
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  3
#ldata:  96
#data...
#            X            Y         +-dY
#          MeV        barns        barns  #EXFOR-ID
      	   0.0		        0	           0  #
      	   1.0		        0	           0  #
      	   2.0		        0	           0  #
       3.24926            0            0  #
          4.25   5.3073e-13  7.25131e-14  #dY:13.7%
           4.5       2.8e-8   3.36117e-9  #dY:12.0%
        4.6389   1.43925e-6   1.59506e-7  #dY:11.1%
       4.64419   1.52504e-6   1.68479e-7  #dY:11.0%
          4.75   3.73449e-6   3.86351e-7  #dY:10.3%
       4.81644   5.72072e-6   5.66618e-7  #dY:9.9%
             5   1.33886e-5   1.16303e-6  #dY:8.7%
       5.16247   5.23253e-5   3.98133e-6  #dY:7.6%
       5.20328   6.50914e-5   4.77642e-6  #dY:7.3%
          5.25   8.10813e-5   5.69842e-6  #dY:7.0%
           5.5  0.000225028   1.20825e-5  #dY:5.4%
           5.6  0.000373232   1.75637e-5  #dY:4.7%
           5.7  0.000565627   2.28646e-5  #dY:4.0%
           5.8  0.000811067   2.74047e-5  #dY:3.4%
           5.9   0.00112156   3.04544e-5  #dY:2.7%
             6   0.00151393   3.10641e-5  #dY:2.1%
           6.1   0.00201219   4.01704e-5  #dY:2.0%
           6.2    0.0026505   5.14414e-5  #dY:1.9%
           6.3   0.00347537   6.55207e-5  #dY:1.9%
           6.4    0.0045442   8.31477e-5  #dY:1.8%
           6.5     0.005914  0.000104928  #dY:1.8%
           6.6   0.00761568  0.000131526  #dY:1.7%
           6.7   0.00962163   0.00016163  #dY:1.7%
           6.8    0.0118353  0.000191224  #dY:1.6%
             7    0.0163981  0.000238335  #dY:1.5%
           7.1    0.0186093  0.000249188  #dY:1.3%
           7.4    0.0251383  0.000269908  #dY:1.1%
       7.56001    0.0288035  0.000286022  #dY:1.0%
       7.72001    0.0327014  0.000308897  #dY:0.9%
           7.8    0.0347409  0.000321286  #dY:0.9%
           7.9    0.0373707  0.000337595  #dY:0.9%
           8.1     0.042856  0.000374377  #dY:0.9%
           8.7    0.0600347  0.000523568  #dY:0.9%
             9    0.0682831  0.000598478  #dY:0.9%
           9.2    0.0734458   0.00064502  #dY:0.9%
       9.40001    0.0782826  0.000692292  #dY:0.9%
       9.60001    0.0827736  0.000741333  #dY:0.9%
       9.90001    0.0888658  0.000818327  #dY:0.9%
          10.2    0.0942387  0.000892726  #dY:0.9%
          10.5     0.098982  0.000956457  #dY:1.0%
          10.8     0.103192   0.00100493  #dY:1.0%
          11.2     0.108123   0.00105572  #dY:1.0%
          11.7     0.113408   0.00112404  #dY:1.0%
          12.3     0.118762   0.00122511  #dY:1.0%
          12.9     0.123256   0.00104067  #dY:0.8%
          13.2     0.124917  0.000858269  #dY:0.7%
          13.4     0.125458   0.00072616  #dY:0.6%
          13.5     0.125461  0.000658263  #dY:0.5%
          13.7     0.124803  0.000621466  #dY:0.5%
          13.9      0.12325   0.00058415  #dY:0.5%
          14.1     0.120996   0.00052805  #dY:0.4%
          14.5     0.115482  0.000438768  #dY:0.4%
          15.4      0.10202  0.000658937  #dY:0.6%
          16.2    0.0892543  0.000666805  #dY:0.7%
          17.1    0.0747171  0.000628596  #dY:0.8%
          17.6    0.0670383  0.000614248  #dY:0.9%
            18    0.0612535  0.000603235  #dY:1.0%
          18.4    0.0558448   0.00059276  #dY:1.1%
          18.8    0.0508391  0.000581897  #dY:1.1%
          19.1    0.0473542  0.000573635  #dY:1.2%
          19.4    0.0440976  0.000566102  #dY:1.3%
          19.7    0.0410631  0.000604118  #dY:1.5%
            20    0.0382422  0.000656303  #dY:1.7%
          20.3    0.0356243  0.000658657  #dY:1.8%
          20.6    0.0331982  0.000657863  #dY:2.0%
          20.9    0.0309518  0.000654428  #dY:2.1%
          21.2    0.0288732  0.000648801  #dY:2.2%
       21.5001    0.0269506   0.00064138  #dY:2.4%
       21.8001    0.0251723  0.000632469  #dY:2.5%
       22.1001    0.0235274  0.000622366  #dY:2.6%
       22.4001    0.0220056  0.000611317  #dY:2.8%
       22.7001    0.0205971  0.000581292  #dY:2.8%
            23     0.019293  0.000544488  #dY:2.8%
            24    0.0155952  0.000440128  #dY:2.8%
            25    0.0127061    0.0006943  #dY:5.5%
            26    0.0104298  0.000815244  #dY:7.8%
            27   0.00862336  0.000876879  #dY:10.2%
            28   0.00721655  0.000903571  #dY:12.5%
            29   0.00627129   0.00211246  #dY:33.7%
            30    0.0059275   0.00325114  #dY:54.8%
            32    0.0071029   0.00840222  #dY:118.3%
            34   0.00958309     0.014915  #dY:155.6%
            36    0.0125419    0.0226106  #dY:180.3%
            38    0.0154183    0.0290297  #dY:188.3%
            40    0.0179716    0.0342175  #dY:190.4%
            42    0.0198966    0.0370171  #dY:186.0%
            44    0.0217614    0.0383975  #dY:176.4%
            46    0.0231825    0.0380224  #dY:164.0%
            48    0.0244894    0.0368594  #dY:150.5%
            50    0.0258986    0.0355049  #dY:137.1%
            52    0.0271682    0.0340894  #dY:125.5%
            54    0.0278381    0.0321711  #dY:115.6%
            56    0.0286906    0.0305254  #dY:106.4%
            58    0.0282496    0.0276997  #dY:98.1%
            60    0.0283873    0.0278346  #dY:98.1%
//
#-------------------------------------------------------------------------------
