#ZVView-data-copy:  30-Jun-2020 19:16:56
#=======================================
#
#name:   IRDFF-II: Y-89(N,2N)Y-88
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  3
#ldata:  80
#data...
#            X            Y         +-dY
#          MeV        barns        barns  #EXFOR-ID
	   0.0		  0	       0  #
	   1.0		  0	       0  #
 	   2.0		  0	       0  #
 	   3.0		  0	       0  #
 	   4.0		  0	       0  #
 	   5.0		  0	       0  #
 	   6.0		  0	       0  #
 	   7.0		  0	       0  #
 	   8.0		  0	       0  #
 	   9.0		  0	       0  #
 	  10.0		  0	       0  #
       11.6041            0            0  #           
          11.8    0.0406766   0.00407269  #dY:10.0%  
          11.9    0.0652139   0.00466826  #dY:7.2%   
            12    0.0917841   0.00603232  #dY:6.6%   
          12.1     0.120488   0.00721267  #dY:6.0%   
          12.2     0.151403   0.00817596  #dY:5.4%   
          12.3     0.184568   0.00868257  #dY:4.7%   
          12.4     0.219966   0.00881712  #dY:4.0%   
          12.5     0.257505   0.00852995  #dY:3.3%   
          12.6     0.297001   0.00912162  #dY:3.1%   
          12.7     0.338164   0.00956986  #dY:2.8%   
          12.8     0.380604    0.0098525  #dY:2.6%   
          13.1     0.510529   0.00981018  #dY:1.9%   
          13.2     0.552907   0.00960446  #dY:1.7%   
          13.3     0.594019   0.00922272  #dY:1.6%   
          13.4     0.633526   0.00866733  #dY:1.4%   
          13.5       0.6712   0.00794447  #dY:1.2%   
          13.6      0.70693   0.00831247  #dY:1.2%   
          13.7     0.740694   0.00865196  #dY:1.2%   
          13.8     0.772543   0.00896398  #dY:1.2%   
          13.9      0.80257   0.00925006  #dY:1.2%   
          14.1     0.857624    0.0093973  #dY:1.1%   
          14.3      0.90679   0.00922124  #dY:1.0%   
          14.5     0.950843   0.00952302  #dY:1.0%   
          14.7     0.990343    0.0107028  #dY:1.1%   
            15      1.04189    0.0155731  #dY:1.5%   
          15.3      1.08505    0.0190123  #dY:1.8%   
          15.6      1.12067    0.0218453  #dY:1.9%   
          15.9      1.14964    0.0232873  #dY:2.0%   
          16.3      1.17957     0.023579  #dY:2.0%   
          16.7      1.20161    0.0229948  #dY:1.9%   
          17.2      1.22114    0.0221681  #dY:1.8%   
          17.9      1.23918    0.0222799  #dY:1.8%   
          19.1      1.25851    0.0238654  #dY:1.9%   
            20        1.267    0.0241563  #dY:1.9%   
          20.5        1.268     0.024494  #dY:1.9%   
            21      1.26449     0.024744  #dY:2.0%   
          21.5       1.2546    0.0262874  #dY:2.1%   
            22      1.23637    0.0276172  #dY:2.2%   
          22.5      1.20813    0.0314822  #dY:2.6%   
            23      1.16888    0.0348091  #dY:3.0%   
          23.5      1.11862    0.0398754  #dY:3.6%   
            24      1.05851     0.043943  #dY:4.2%   
          24.5     0.990769    0.0466052  #dY:4.7%   
            26     0.771456    0.0450419  #dY:5.8%   
          26.5      0.70216    0.0411316  #dY:5.9%   
            27     0.637913    0.0374913  #dY:5.9%   
          27.5     0.579568    0.0336764  #dY:5.8%   
            28     0.527412    0.0302947  #dY:5.7%   
          28.5     0.481326    0.0279231  #dY:5.8%   
            29     0.440932    0.0258322  #dY:5.9%   
          29.5     0.405714    0.0247346  #dY:6.1%   
            30       0.3751     0.023761  #dY:6.3%   
          30.5     0.348521    0.0232407  #dY:6.7%   
            31     0.325442    0.0227881  #dY:7.0%   
          31.5     0.305378    0.0224043  #dY:7.3%   
            32     0.287899    0.0220846  #dY:7.7%   
          32.5     0.272632    0.0216997  #dY:8.0%   
            33     0.259256    0.0213828  #dY:8.2%   
          33.5     0.247497     0.020993  #dY:8.5%   
            34     0.237123    0.0206688  #dY:8.7%   
          34.5     0.227936    0.0202989  #dY:8.9%   
            35     0.219768    0.0199869  #dY:9.1%   
          35.5     0.212479    0.0196536  #dY:9.2%   
            36     0.205949     0.019369  #dY:9.4%   
          36.5     0.200075    0.0190762  #dY:9.5%   
            37     0.194773    0.0188234  #dY:9.7%   
          37.5     0.189968    0.0185667  #dY:9.8%   
            38     0.185598    0.0183426  #dY:9.9%   
            39     0.177955    0.0179145  #dY:10.1%  
       40.0001       0.1715    0.0248589  #dY:14.5%  
            42     0.161896    0.0234297  #dY:14.5%  
            44     0.153822    0.0219693  #dY:14.3%  
            46     0.146826    0.0206914  #dY:14.1%  
            48     0.139006    0.0193256  #dY:13.9%  
            50     0.130861    0.0179448  #dY:13.7%  
            54     0.119063     0.016327  #dY:13.7%  
            56     0.115756    0.0158735  #dY:13.7%  
            58     0.111736    0.0153222  #dY:13.7%  
            60     0.109078    0.0149577  #dY:13.7%  
//
#-------------------------------------------------------------------------------
