#ZVView-data-copy:  30-Jun-2020 19:10:55
#=======================================
#
#name:   IRDFF-II: ZR-0(N,X)Zr-89G
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  3
#ldata:  63
#data...
#            X            Y         +-dY
#          MeV        barns        barns  #EXFOR-ID
        12.104            0            0  #         
          12.2   0.00529673  0.000347053  #dY:6.6%   
         12.25    0.0080298  0.000470732  #dY:5.9%   
          12.3    0.0116036  0.000600186  #dY:5.2%   
         12.35    0.0159699  0.000715855  #dY:4.5%   
          12.4    0.0210772   0.00079938  #dY:3.8%   
         12.45    0.0268714  0.000973099  #dY:3.6%   
          12.5    0.0332969   0.00114874  #dY:3.4%   
         12.55    0.0402973   0.00132122  #dY:3.3%   
          12.6    0.0478159   0.00148581  #dY:3.1%   
          12.7    0.0641859   0.00179457  #dY:2.8%   
          12.8    0.0819768   0.00203665  #dY:2.5%   
          12.9     0.100793   0.00216721  #dY:2.2%   
            13     0.120279   0.00218415  #dY:1.8%   
          13.3     0.179928   0.00218842  #dY:1.2%   
          13.4     0.199494   0.00218808  #dY:1.1%   
          13.5     0.218646   0.00229747  #dY:1.1%   
          13.6     0.237285   0.00238406  #dY:1.0%   
          13.7      0.25534   0.00250369  #dY:1.0%   
          13.8      0.27276   0.00260853  #dY:1.0%   
          13.9     0.289517   0.00269978  #dY:0.9%   
            14     0.305594   0.00277687  #dY:0.9%   
          14.1      0.32099   0.00283846  #dY:0.9%   
          14.3     0.349768   0.00294233  #dY:0.8%   
         14.51     0.377218   0.00307557  #dY:0.8%   
          14.7     0.399786   0.00326629  #dY:0.8%   
          14.9     0.421413   0.00355978  #dY:0.8%   
          15.1     0.441065   0.00392958  #dY:0.9%   
          15.4     0.467275   0.00457313  #dY:1.0%   
          15.7     0.490102   0.00523529  #dY:1.1%   
            16     0.510071   0.00607428  #dY:1.2%   
          16.4     0.532986   0.00687266  #dY:1.3%   
          16.8     0.552393   0.00766091  #dY:1.4%   
          17.3     0.572639   0.00865986  #dY:1.5%   
          17.8       0.5892   0.00969583  #dY:1.6%   
          18.4     0.604995     0.010995  #dY:1.8%   
            19     0.616891    0.0124047  #dY:2.0%   
          19.7     0.626722    0.0213352  #dY:3.4%   
       20.0001     0.629713    0.0327299  #dY:5.2%   
            21     0.631593    0.0358801  #dY:5.7%   
            22     0.631309    0.0400038  #dY:6.3%   
            23     0.626926    0.0442768  #dY:7.1%   
            24     0.610251    0.0528874  #dY:8.7%   
            25     0.573041    0.0508742  #dY:8.9%   
            26     0.513518    0.0465466  #dY:9.1%   
            27     0.447282    0.0432463  #dY:9.7%   
            28       0.3901     0.063919  #dY:16.4%  
            29     0.345589    0.0594245  #dY:17.2%  
            30     0.313286    0.0570949  #dY:18.2%  
            32      0.27859    0.0563803  #dY:20.2%  
            34     0.265296      0.06098  #dY:23.0%  
            38     0.258913    0.0662424  #dY:25.6%  
            40     0.254906    0.0336366  #dY:13.2%  
            42       0.2492    0.0321022  #dY:12.9%  
            44     0.241057    0.0310356  #dY:12.9%  
            46     0.229059    0.0292999  #dY:12.8%  
            48     0.216333    0.0273346  #dY:12.6%  
            50     0.206098    0.0240205  #dY:11.7%  
            52     0.197871    0.0225901  #dY:11.4%  
            54     0.194087    0.0217745  #dY:11.2%  
            56     0.191801    0.0212806  #dY:11.1%  
            58     0.190404    0.0210028  #dY:11.0%  
            60     0.186071    0.0205249  #dY:11.0%  
//
#-------------------------------------------------------------------------------
