# n +  27Al: Production of  24Na - Total
# Q-value    =-3.13255E+00 mass=  23.990963
# E-threshold= 3.24966E+00
# # energies =   592
#     E          xs
 1.00000E-11 0.00000E+00
 2.53000E-08 0.00000E+00
 1.00000E-05 0.00000E+00
 2.25000E-03 0.00000E+00
 2.50000E-03 0.00000E+00
 9.00000E-03 0.00000E+00
 1.00000E-02 0.00000E+00
 3.00000E-02 0.00000E+00
 4.50000E-02 0.00000E+00
 5.00000E-02 0.00000E+00
 7.00000E-02 0.00000E+00
 1.00000E-01 0.00000E+00
 3.00000E-01 0.00000E+00
 5.00000E-01 0.00000E+00
 7.00000E-01 0.00000E+00
 8.00000E-01 0.00000E+00
 8.45000E-01 0.00000E+00
 8.48000E-01 0.00000E+00
 8.50000E-01 0.00000E+00
 8.52000E-01 0.00000E+00
 8.54000E-01 0.00000E+00
 8.56000E-01 0.00000E+00
 8.59000E-01 0.00000E+00
 8.62000E-01 0.00000E+00
 8.64000E-01 0.00000E+00
 8.68000E-01 0.00000E+00
 8.72000E-01 0.00000E+00
 8.75000E-01 0.00000E+00
 8.78000E-01 0.00000E+00
 8.85000E-01 0.00000E+00
 8.95000E-01 0.00000E+00
 9.05000E-01 0.00000E+00
 9.10000E-01 0.00000E+00
 9.14000E-01 0.00000E+00
 9.16500E-01 0.00000E+00
 9.18000E-01 0.00000E+00
 9.20000E-01 0.00000E+00
 9.22000E-01 0.00000E+00
 9.27000E-01 0.00000E+00
 9.29000E-01 0.00000E+00
 9.33000E-01 0.00000E+00
 9.36000E-01 0.00000E+00
 9.38000E-01 0.00000E+00
 9.40000E-01 0.00000E+00
 9.44000E-01 0.00000E+00
 9.50000E-01 0.00000E+00
 9.64000E-01 0.00000E+00
 9.68000E-01 0.00000E+00
 9.69500E-01 0.00000E+00
 9.70600E-01 0.00000E+00
 9.71500E-01 0.00000E+00
 9.72500E-01 0.00000E+00
 9.74000E-01 0.00000E+00
 9.79000E-01 0.00000E+00
 9.81000E-01 0.00000E+00
 9.86000E-01 0.00000E+00
 9.95000E-01 0.00000E+00
 1.00500E+00 0.00000E+00
 1.01600E+00 0.00000E+00
 1.02000E+00 0.00000E+00
 1.02500E+00 0.00000E+00
 1.02650E+00 0.00000E+00
 1.02900E+00 0.00000E+00
 1.03400E+00 0.00000E+00
 1.03800E+00 0.00000E+00
 1.04000E+00 0.00000E+00
 1.04300E+00 0.00000E+00
 1.05000E+00 0.00000E+00
 1.06000E+00 0.00000E+00
 1.08000E+00 0.00000E+00
 1.08400E+00 0.00000E+00
 1.09000E+00 0.00000E+00
 1.09400E+00 0.00000E+00
 1.10000E+00 0.00000E+00
 1.10400E+00 0.00000E+00
 1.11500E+00 0.00000E+00
 1.14000E+00 0.00000E+00
 1.14700E+00 0.00000E+00
 1.15020E+00 0.00000E+00
 1.15060E+00 0.00000E+00
 1.15150E+00 0.00000E+00
 1.16600E+00 0.00000E+00
 1.17600E+00 0.00000E+00
 1.18400E+00 0.00000E+00
 1.19300E+00 0.00000E+00
 1.21000E+00 0.00000E+00
 1.23800E+00 0.00000E+00
 1.25000E+00 0.00000E+00
 1.25600E+00 0.00000E+00
 1.26200E+00 0.00000E+00
 1.27500E+00 0.00000E+00
 1.28400E+00 0.00000E+00
 1.29100E+00 0.00000E+00
 1.31000E+00 0.00000E+00
 1.32200E+00 0.00000E+00
 1.34000E+00 0.00000E+00
 1.34600E+00 0.00000E+00
 1.35000E+00 0.00000E+00
 1.35500E+00 0.00000E+00
 1.36000E+00 0.00000E+00
 1.36800E+00 0.00000E+00
 1.37500E+00 0.00000E+00
 1.39000E+00 0.00000E+00
 1.40100E+00 0.00000E+00
 1.41400E+00 0.00000E+00
 1.42600E+00 0.00000E+00
 1.43600E+00 0.00000E+00
 1.44400E+00 0.00000E+00
 1.45100E+00 0.00000E+00
 1.46000E+00 0.00000E+00
 1.51000E+00 0.00000E+00
 1.53000E+00 0.00000E+00
 1.54200E+00 0.00000E+00
 1.55200E+00 0.00000E+00
 1.55900E+00 0.00000E+00
 1.56020E+00 0.00000E+00
 1.56200E+00 0.00000E+00
 1.58000E+00 0.00000E+00
 1.59800E+00 0.00000E+00
 1.60200E+00 0.00000E+00
 1.61000E+00 0.00000E+00
 1.62700E+00 0.00000E+00
 1.63100E+00 0.00000E+00
 1.63700E+00 0.00000E+00
 1.64400E+00 0.00000E+00
 1.65800E+00 0.00000E+00
 1.67400E+00 0.00000E+00
 1.70000E+00 0.00000E+00
 1.73000E+00 0.00000E+00
 1.73450E+00 0.00000E+00
 1.73900E+00 0.00000E+00
 1.74800E+00 0.00000E+00
 1.75800E+00 0.00000E+00
 1.78200E+00 0.00000E+00
 1.82800E+00 0.00000E+00
 1.84700E+00 0.00000E+00
 1.85300E+00 0.00000E+00
 1.85750E+00 0.00000E+00
 1.87400E+00 0.00000E+00
 1.89000E+00 0.00000E+00
 1.90000E+00 0.00000E+00
 1.91000E+00 0.00000E+00
 1.93000E+00 0.00000E+00
 1.95000E+00 0.00000E+00
 1.96000E+00 0.00000E+00
 1.97400E+00 0.00000E+00
 1.98400E+00 0.00000E+00
 2.00000E+00 0.00000E+00
 2.00800E+00 0.00000E+00
 2.01200E+00 0.00000E+00
 2.03400E+00 0.00000E+00
 2.04200E+00 0.00000E+00
 2.04950E+00 0.00000E+00
 2.06150E+00 0.00000E+00
 2.06850E+00 0.00000E+00
 2.08600E+00 0.00000E+00
 2.10000E+00 0.00000E+00
 2.11200E+00 0.00000E+00
 2.13600E+00 0.00000E+00
 2.15000E+00 0.00000E+00
 2.16800E+00 0.00000E+00
 2.18800E+00 0.00000E+00
 2.19800E+00 0.00000E+00
 2.20800E+00 0.00000E+00
 2.21800E+00 0.00000E+00
 2.23600E+00 0.00000E+00
 2.25400E+00 0.00000E+00
 2.28000E+00 0.00000E+00
 2.31000E+00 0.00000E+00
 2.33000E+00 0.00000E+00
 2.35000E+00 0.00000E+00
 2.35800E+00 0.00000E+00
 2.37400E+00 0.00000E+00
 2.39200E+00 0.00000E+00
 2.40600E+00 0.00000E+00
 2.42000E+00 0.00000E+00
 2.43200E+00 0.00000E+00
 2.45400E+00 0.00000E+00
