#rp049112.L01         Number of runs:     20
# Q-value    =-9.44831E+00 mass= 111.905538
# E-threshold= 9.53272E+00
# # energies =   121
# E(MeV)      xs(mb)     xslow(mb)      xsupp(mb)
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.60000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.80000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.20000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.40000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.60000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.80000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.20000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.40000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.60000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.80000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.20000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.40000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.60000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.80000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.20000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.40000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.60000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.80000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.20000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.40000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.60000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.80000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.50000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.50000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 4.84537E+01 2.53214E+01 7.15861E+01
 1.05000E+01 2.14366E+02 1.54548E+02 2.74184E+02
 1.10000E+01 4.21780E+02 3.31432E+02 5.12127E+02
 1.15000E+01 6.19854E+02 5.25076E+02 7.14633E+02
 1.20000E+01 7.81732E+02 6.88133E+02 8.75331E+02
 1.25000E+01 9.13599E+02 8.21133E+02 1.00607E+03
 1.30000E+01 1.01322E+03 9.22654E+02 1.10378E+03
 1.35000E+01 1.08708E+03 9.97405E+02 1.17676E+03
 1.40000E+01 1.14075E+03 1.05107E+03 1.23044E+03
 1.45000E+01 1.17948E+03 1.08916E+03 1.26979E+03
 1.50000E+01 1.20670E+03 1.11536E+03 1.29805E+03
 1.60000E+01 1.23447E+03 1.14073E+03 1.32820E+03
 1.70000E+01 1.24194E+03 1.14534E+03 1.33855E+03
 1.80000E+01 1.22819E+03 1.12902E+03 1.32737E+03
 1.90000E+01 1.16871E+03 1.06850E+03 1.26892E+03
 2.00000E+01 1.06355E+03 9.64430E+02 1.16266E+03
 2.10000E+01 9.29831E+02 8.35062E+02 1.02460E+03
 2.20000E+01 7.79395E+02 6.91267E+02 8.67522E+02
 2.30000E+01 6.44576E+02 5.60762E+02 7.28389E+02
 2.40000E+01 5.26344E+02 4.43293E+02 6.09395E+02
 2.50000E+01 4.31571E+02 3.47461E+02 5.15680E+02
 2.60000E+01 3.59180E+02 2.74761E+02 4.43599E+02
 2.70000E+01 3.06913E+02 2.22394E+02 3.91433E+02
 2.80000E+01 2.68062E+02 1.84924E+02 3.51200E+02
 2.90000E+01 2.41586E+02 1.59392E+02 3.23781E+02
 3.00000E+01 2.20156E+02 1.40316E+02 2.99997E+02
 3.20000E+01 1.96978E+02 1.25543E+02 2.68413E+02
 3.40000E+01 1.81545E+02 1.15707E+02 2.47382E+02
 3.60000E+01 1.69553E+02 1.08064E+02 2.31042E+02
 3.80000E+01 1.59406E+02 1.01597E+02 2.17215E+02
 4.00000E+01 1.51565E+02 9.65990E+01 2.06530E+02
 4.20000E+01 1.42487E+02 9.08136E+01 1.94161E+02
 4.40000E+01 1.34391E+02 8.56535E+01 1.83128E+02
 4.60000E+01 1.27032E+02 8.09636E+01 1.73101E+02
 4.80000E+01 1.18826E+02 7.57333E+01 1.61919E+02
