# n + 113In: Production of 112In - Total
# Q-value    =-9.44831E+00 mass= 111.905538
# E-threshold= 9.53272E+00
# # energies =   121
#     E          xs
 1.00000E-11 0.00000E+00
 2.53000E-08 0.00000E+00
 1.00000E-06 0.00000E+00
 2.60000E-06 0.00000E+00
 1.00000E-05 0.00000E+00
 1.30000E-05 0.00000E+00
 1.00000E-04 0.00000E+00
 2.00000E-04 0.00000E+00
 3.00000E-04 0.00000E+00
 6.00000E-04 0.00000E+00
 1.00000E-03 0.00000E+00
 2.00000E-03 0.00000E+00
 3.00000E-03 0.00000E+00
 6.00000E-03 0.00000E+00
 1.00000E-02 0.00000E+00
 2.00000E-02 0.00000E+00
 3.00000E-02 0.00000E+00
 6.00000E-02 0.00000E+00
 1.00000E-01 0.00000E+00
 2.00000E-01 0.00000E+00
 3.00000E-01 0.00000E+00
 4.00000E-01 0.00000E+00
 5.00000E-01 0.00000E+00
 6.00000E-01 0.00000E+00
 7.00000E-01 0.00000E+00
 8.00000E-01 0.00000E+00
 9.00000E-01 0.00000E+00
 1.00000E+00 0.00000E+00
 1.20000E+00 0.00000E+00
 1.40000E+00 0.00000E+00
 1.60000E+00 0.00000E+00
 1.80000E+00 0.00000E+00
 2.00000E+00 0.00000E+00
 2.20000E+00 0.00000E+00
 2.40000E+00 0.00000E+00
 2.60000E+00 0.00000E+00
 2.80000E+00 0.00000E+00
 3.00000E+00 0.00000E+00
 3.20000E+00 0.00000E+00
 3.40000E+00 0.00000E+00
 3.60000E+00 0.00000E+00
 3.80000E+00 0.00000E+00
 4.00000E+00 0.00000E+00
 4.20000E+00 0.00000E+00
 4.40000E+00 0.00000E+00
 4.60000E+00 0.00000E+00
 4.80000E+00 0.00000E+00
 5.00000E+00 0.00000E+00
 5.20000E+00 0.00000E+00
 5.40000E+00 0.00000E+00
 5.60000E+00 0.00000E+00
 5.80000E+00 0.00000E+00
 6.00000E+00 0.00000E+00
 6.20000E+00 0.00000E+00
 6.40000E+00 0.00000E+00
 6.60000E+00 0.00000E+00
 6.80000E+00 0.00000E+00
 7.00000E+00 0.00000E+00
 7.20000E+00 0.00000E+00
 7.40000E+00 0.00000E+00
 7.60000E+00 0.00000E+00
 7.80000E+00 0.00000E+00
 8.00000E+00 0.00000E+00
 8.50000E+00 0.00000E+00
 9.00000E+00 0.00000E+00
 9.50000E+00 0.00000E+00
 1.00000E+01 6.49129E+01
 1.05000E+01 2.83704E+02
 1.10000E+01 5.36778E+02
 1.15000E+01 7.83538E+02
 1.20000E+01 9.78649E+02
 1.25000E+01 1.13342E+03
 1.30000E+01 1.24879E+03
 1.35000E+01 1.33261E+03
 1.40000E+01 1.39239E+03
 1.45000E+01 1.43441E+03
 1.50000E+01 1.46196E+03
 1.60000E+01 1.48613E+03
 1.70000E+01 1.48677E+03
 1.80000E+01 1.46431E+03
 1.90000E+01 1.38513E+03
 2.00000E+01 1.25908E+03
 2.10000E+01 1.11003E+03
 2.20000E+01 9.44113E+02
 2.30000E+01 8.03092E+02
 2.40000E+01 6.77787E+02
 2.50000E+01 5.75614E+02
 2.60000E+01 4.94685E+02
 2.70000E+01 4.34870E+02
 2.80000E+01 3.88808E+02
 2.90000E+01 3.57740E+02
 3.00000E+01 3.31511E+02
 3.20000E+01 2.97753E+02
 3.40000E+01 2.75211E+02
 3.60000E+01 2.57865E+02
 3.80000E+01 2.42723E+02
 4.00000E+01 2.31558E+02
 4.20000E+01 2.18041E+02
 4.40000E+01 2.06199E+02
 4.60000E+01 1.95399E+02
 4.80000E+01 1.83314E+02
 5.00000E+01 1.74114E+02
 5.20000E+01 1.67057E+02
 5.40000E+01 1.61040E+02
 5.60000E+01 1.58484E+02
 5.80000E+01 1.52611E+02
 6.00000E+01 1.46053E+02
 6.50000E+01 1.31983E+02
 7.00000E+01 1.22848E+02
 7.50000E+01 1.12304E+02
 8.00000E+01 1.05380E+02
 9.00000E+01 9.25893E+01
 1.00000E+02 8.30629E+01
 1.10000E+02 7.42033E+01
 1.20000E+02 6.52687E+01
 1.30000E+02 5.72968E+01
 1.40000E+02 5.09942E+01
 1.50000E+02 4.56042E+01
 1.60000E+02 4.04033E+01
 1.80000E+02 3.32343E+01
 2.00000E+02 2.73779E+01
