# n +  89Y : Production of  87Sr - Total
# Q-value    =-9.70023E+00 mass=  86.908877
# E-threshold= 9.81028E+00
# # energies =   121
#     E          xs
 1.00000E-11 0.00000E+00
 2.53000E-08 0.00000E+00
 1.00000E-06 0.00000E+00
 1.00000E-05 0.00000E+00
 1.00000E-04 0.00000E+00
 2.00000E-04 0.00000E+00
 3.00000E-04 0.00000E+00
 6.00000E-04 0.00000E+00
 7.40000E-04 0.00000E+00
 1.00000E-03 0.00000E+00
 2.00000E-03 0.00000E+00
 3.00000E-03 0.00000E+00
 3.70000E-03 0.00000E+00
 6.00000E-03 0.00000E+00
 1.00000E-02 0.00000E+00
 2.00000E-02 0.00000E+00
 3.00000E-02 0.00000E+00
 6.00000E-02 0.00000E+00
 1.00000E-01 0.00000E+00
 2.00000E-01 0.00000E+00
 3.00000E-01 0.00000E+00
 4.00000E-01 0.00000E+00
 5.00000E-01 0.00000E+00
 6.00000E-01 0.00000E+00
 7.00000E-01 0.00000E+00
 8.00000E-01 0.00000E+00
 9.00000E-01 0.00000E+00
 1.00000E+00 0.00000E+00
 1.20000E+00 0.00000E+00
 1.40000E+00 0.00000E+00
 1.60000E+00 0.00000E+00
 1.80000E+00 0.00000E+00
 2.00000E+00 0.00000E+00
 2.20000E+00 0.00000E+00
 2.40000E+00 0.00000E+00
 2.60000E+00 0.00000E+00
 2.80000E+00 0.00000E+00
 3.00000E+00 0.00000E+00
 3.20000E+00 0.00000E+00
 3.40000E+00 0.00000E+00
 3.60000E+00 0.00000E+00
 3.80000E+00 0.00000E+00
 4.00000E+00 0.00000E+00
 4.20000E+00 0.00000E+00
 4.40000E+00 0.00000E+00
 4.60000E+00 0.00000E+00
 4.80000E+00 0.00000E+00
 5.00000E+00 0.00000E+00
 5.20000E+00 0.00000E+00
 5.40000E+00 0.00000E+00
 5.60000E+00 0.00000E+00
 5.80000E+00 0.00000E+00
 6.00000E+00 0.00000E+00
 6.20000E+00 0.00000E+00
 6.40000E+00 0.00000E+00
 6.60000E+00 0.00000E+00
 6.80000E+00 0.00000E+00
 7.00000E+00 0.00000E+00
 7.20000E+00 0.00000E+00
 7.40000E+00 0.00000E+00
 7.60000E+00 0.00000E+00
 7.80000E+00 0.00000E+00
 8.00000E+00 0.00000E+00
 8.50000E+00 0.00000E+00
 9.00000E+00 0.00000E+00
 9.50000E+00 0.00000E+00
 1.00000E+01 0.00000E+00
 1.05000E+01 0.00000E+00
 1.10000E+01 0.00000E+00
 1.15000E+01 7.47872E-11
 1.20000E+01 1.44461E-08
 1.25000E+01 4.93207E-07
 1.30000E+01 1.24257E-05
 1.35000E+01 7.30978E-05
 1.40000E+01 1.12110E-03
 1.45000E+01 4.78678E-03
 1.50000E+01 1.67717E-02
 1.60000E+01 1.50225E-01
 1.70000E+01 6.31046E-01
 1.80000E+01 1.56981E+00
 1.90000E+01 2.91902E+00
 2.00000E+01 4.60384E+00
 2.10000E+01 6.82353E+00
 2.20000E+01 1.20177E+01
 2.30000E+01 1.99069E+01
 2.40000E+01 2.93809E+01
 2.50000E+01 4.14471E+01
 2.60000E+01 5.25799E+01
 2.70000E+01 6.69071E+01
 2.80000E+01 8.17023E+01
 2.90000E+01 9.63616E+01
 3.00000E+01 1.09072E+02
 3.20000E+01 1.34274E+02
 3.40000E+01 1.54161E+02
 3.60000E+01 1.66253E+02
 3.80000E+01 1.68072E+02
 4.00000E+01 1.61029E+02
 4.20000E+01 1.48644E+02
 4.40000E+01 1.39260E+02
 4.60000E+01 1.33522E+02
 4.80000E+01 1.26686E+02
 5.00000E+01 1.23083E+02
 5.20000E+01 1.19736E+02
 5.40000E+01 1.16621E+02
 5.60000E+01 1.14476E+02
 5.80000E+01 1.10760E+02
 6.00000E+01 1.09616E+02
 6.50000E+01 1.02456E+02
 7.00000E+01 9.75913E+01
 7.50000E+01 9.42022E+01
 8.00000E+01 8.88128E+01
 9.00000E+01 7.90632E+01
 1.00000E+02 6.76116E+01
 1.10000E+02 5.88154E+01
 1.20000E+02 5.19084E+01
 1.30000E+02 4.61361E+01
 1.40000E+02 4.12190E+01
 1.50000E+02 3.64569E+01
 1.60000E+02 3.35385E+01
 1.80000E+02 2.70735E+01
 2.00000E+02 2.28371E+01
