# n +  89Y : Production of  88Y  - Total
# Q-value    =-1.14807E+01 mass=  87.909501
# E-threshold= 1.16109E+01
# # energies =   121
#     E          xs
 1.00000E-11 0.00000E+00
 2.53000E-08 0.00000E+00
 1.00000E-06 0.00000E+00
 1.00000E-05 0.00000E+00
 1.00000E-04 0.00000E+00
 2.00000E-04 0.00000E+00
 3.00000E-04 0.00000E+00
 6.00000E-04 0.00000E+00
 7.40000E-04 0.00000E+00
 1.00000E-03 0.00000E+00
 2.00000E-03 0.00000E+00
 3.00000E-03 0.00000E+00
 3.70000E-03 0.00000E+00
 6.00000E-03 0.00000E+00
 1.00000E-02 0.00000E+00
 2.00000E-02 0.00000E+00
 3.00000E-02 0.00000E+00
 6.00000E-02 0.00000E+00
 1.00000E-01 0.00000E+00
 2.00000E-01 0.00000E+00
 3.00000E-01 0.00000E+00
 4.00000E-01 0.00000E+00
 5.00000E-01 0.00000E+00
 6.00000E-01 0.00000E+00
 7.00000E-01 0.00000E+00
 8.00000E-01 0.00000E+00
 9.00000E-01 0.00000E+00
 1.00000E+00 0.00000E+00
 1.20000E+00 0.00000E+00
 1.40000E+00 0.00000E+00
 1.60000E+00 0.00000E+00
 1.80000E+00 0.00000E+00
 2.00000E+00 0.00000E+00
 2.20000E+00 0.00000E+00
 2.40000E+00 0.00000E+00
 2.60000E+00 0.00000E+00
 2.80000E+00 0.00000E+00
 3.00000E+00 0.00000E+00
 3.20000E+00 0.00000E+00
 3.40000E+00 0.00000E+00
 3.60000E+00 0.00000E+00
 3.80000E+00 0.00000E+00
 4.00000E+00 0.00000E+00
 4.20000E+00 0.00000E+00
 4.40000E+00 0.00000E+00
 4.60000E+00 0.00000E+00
 4.80000E+00 0.00000E+00
 5.00000E+00 0.00000E+00
 5.20000E+00 0.00000E+00
 5.40000E+00 0.00000E+00
 5.60000E+00 0.00000E+00
 5.80000E+00 0.00000E+00
 6.00000E+00 0.00000E+00
 6.20000E+00 0.00000E+00
 6.40000E+00 0.00000E+00
 6.60000E+00 0.00000E+00
 6.80000E+00 0.00000E+00
 7.00000E+00 0.00000E+00
 7.20000E+00 0.00000E+00
 7.40000E+00 0.00000E+00
 7.60000E+00 0.00000E+00
 7.80000E+00 0.00000E+00
 8.00000E+00 0.00000E+00
 8.50000E+00 0.00000E+00
 9.00000E+00 0.00000E+00
 9.50000E+00 0.00000E+00
 1.00000E+01 0.00000E+00
 1.05000E+01 0.00000E+00
 1.10000E+01 0.00000E+00
 1.15000E+01 0.00000E+00
 1.20000E+01 7.79089E+01
 1.25000E+01 2.76437E+02
 1.30000E+01 4.90146E+02
 1.35000E+01 6.68736E+02
 1.40000E+01 8.10073E+02
 1.45000E+01 9.28264E+02
 1.50000E+01 1.02944E+03
 1.60000E+01 1.13540E+03
 1.70000E+01 1.18516E+03
 1.80000E+01 1.20203E+03
 1.90000E+01 1.20785E+03
 2.00000E+01 1.19908E+03
 2.10000E+01 1.18398E+03
 2.20000E+01 1.15063E+03
 2.30000E+01 1.06468E+03
 2.40000E+01 9.36013E+02
 2.50000E+01 8.03304E+02
 2.60000E+01 6.61945E+02
 2.70000E+01 5.52862E+02
 2.80000E+01 4.70439E+02
 2.90000E+01 4.09002E+02
 3.00000E+01 3.61568E+02
 3.20000E+01 3.01463E+02
 3.40000E+01 2.68914E+02
 3.60000E+01 2.48629E+02
 3.80000E+01 2.32479E+02
 4.00000E+01 2.19226E+02
 4.20000E+01 2.05847E+02
 4.40000E+01 1.95037E+02
 4.60000E+01 1.85401E+02
 4.80000E+01 1.75318E+02
 5.00000E+01 1.64905E+02
 5.20000E+01 1.57451E+02
 5.40000E+01 1.49191E+02
 5.60000E+01 1.46354E+02
 5.80000E+01 1.42147E+02
 6.00000E+01 1.36307E+02
 6.50000E+01 1.23822E+02
 7.00000E+01 1.12822E+02
 7.50000E+01 1.05181E+02
 8.00000E+01 9.70970E+01
 9.00000E+01 8.45192E+01
 1.00000E+02 7.15900E+01
 1.10000E+02 6.26897E+01
 1.20000E+02 5.44501E+01
 1.30000E+02 4.79337E+01
 1.40000E+02 4.25884E+01
 1.50000E+02 3.77001E+01
 1.60000E+02 3.40683E+01
 1.80000E+02 2.74492E+01
 2.00000E+02 2.30150E+01
