# n +  89Y : Production of  90Y  - Total
# Q-value    = 6.85703E+00 mass=  89.907144
# E-threshold= 0.00000E+00
# # energies =   121
#     E          xs
 1.00000E-11 6.44332E+04
 2.53000E-08 1.28100E+03
 1.00000E-06 2.03756E+02
 1.00000E-05 6.44332E+01
 1.00000E-04 2.03756E+01
 2.00000E-04 1.44077E+01
 3.00000E-04 1.17638E+01
 6.00000E-04 8.31828E+00
 7.40000E-04 7.49020E+00
 1.00000E-03 1.20953E+01
 2.00000E-03 3.64519E+01
 3.00000E-03 6.94989E+01
 3.70000E-03 9.70369E+01
 6.00000E-03 6.68608E+01
 1.00000E-02 4.39882E+01
 2.00000E-02 2.46745E+01
 3.00000E-02 1.79879E+01
 6.00000E-02 1.16148E+01
 1.00000E-01 9.25860E+00
 2.00000E-01 7.76714E+00
 3.00000E-01 7.26551E+00
 4.00000E-01 6.93646E+00
 5.00000E-01 6.75631E+00
 6.00000E-01 6.71681E+00
 7.00000E-01 6.79256E+00
 8.00000E-01 6.97864E+00
 9.00000E-01 7.24245E+00
 1.00000E+00 5.43523E+00
 1.20000E+00 5.26733E+00
 1.40000E+00 5.46962E+00
 1.60000E+00 5.03233E+00
 1.80000E+00 4.32477E+00
 2.00000E+00 3.62500E+00
 2.20000E+00 3.63507E+00
 2.40000E+00 3.51584E+00
 2.60000E+00 3.52255E+00
 2.80000E+00 3.48263E+00
 3.00000E+00 3.35109E+00
 3.20000E+00 3.16284E+00
 3.40000E+00 2.70946E+00
 3.60000E+00 2.51087E+00
 3.80000E+00 2.24771E+00
 4.00000E+00 2.08469E+00
 4.20000E+00 1.82342E+00
 4.40000E+00 1.59073E+00
 4.60000E+00 1.40620E+00
 4.80000E+00 1.24646E+00
 5.00000E+00 1.12323E+00
 5.20000E+00 1.00850E+00
 5.40000E+00 9.17539E-01
 5.60000E+00 8.57171E-01
 5.80000E+00 7.84927E-01
 6.00000E+00 7.44822E-01
 6.20000E+00 7.01633E-01
 6.40000E+00 6.44241E-01
 6.60000E+00 6.32471E-01
 6.80000E+00 6.06482E-01
 7.00000E+00 5.65741E-01
 7.20000E+00 5.72993E-01
 7.40000E+00 5.41850E-01
 7.60000E+00 5.58225E-01
 7.80000E+00 5.45992E-01
 8.00000E+00 5.25172E-01
 8.50000E+00 5.47024E-01
 9.00000E+00 5.96874E-01
 9.50000E+00 6.60262E-01
 1.00000E+01 7.46102E-01
 1.05000E+01 8.27282E-01
 1.10000E+01 9.07365E-01
 1.15000E+01 9.74634E-01
 1.20000E+01 1.01967E+00
 1.25000E+01 1.05475E+00
 1.30000E+01 1.06989E+00
 1.35000E+01 1.07981E+00
 1.40000E+01 1.11218E+00
 1.45000E+01 1.06365E+00
 1.50000E+01 1.05081E+00
 1.60000E+01 9.54849E-01
 1.70000E+01 8.39348E-01
 1.80000E+01 7.05741E-01
 1.90000E+01 6.08163E-01
 2.00000E+01 5.20742E-01
 2.10000E+01 4.61280E-01
 2.20000E+01 4.10359E-01
 2.30000E+01 3.67283E-01
 2.40000E+01 3.35449E-01
 2.50000E+01 3.05963E-01
 2.60000E+01 2.86157E-01
 2.70000E+01 2.69084E-01
 2.80000E+01 2.54357E-01
 2.90000E+01 2.40352E-01
 3.00000E+01 2.30510E-01
 3.20000E+01 2.10079E-01
 3.40000E+01 1.95931E-01
 3.60000E+01 1.84459E-01
 3.80000E+01 1.73084E-01
 4.00000E+01 1.65256E-01
 4.20000E+01 1.56056E-01
 4.40000E+01 1.49846E-01
 4.60000E+01 1.44423E-01
 4.80000E+01 1.39316E-01
 5.00000E+01 1.28256E-01
 5.20000E+01 1.23831E-01
 5.40000E+01 1.20338E-01
 5.60000E+01 1.17353E-01
 5.80000E+01 1.12225E-01
 6.00000E+01 1.08730E-01
 6.50000E+01 1.03253E-01
 7.00000E+01 9.70845E-02
 7.50000E+01 8.98432E-02
 8.00000E+01 8.15240E-02
 9.00000E+01 7.35434E-02
 1.00000E+02 5.93144E-02
 1.10000E+02 4.62886E-02
 1.20000E+02 3.91748E-02
 1.30000E+02 3.54511E-02
 1.40000E+02 3.18747E-02
 1.50000E+02 2.72636E-02
 1.60000E+02 2.30960E-02
 1.80000E+02 1.55344E-02
 2.00000E+02 9.65266E-03
