# n +  64Zn: Production of  63Zn - Total
# Q-value    =-1.18619E+01 mass=  62.933211
# E-threshold= 1.20491E+01
# # energies =   121
#     E          xs
 1.00000E-11 0.00000E+00
 2.53000E-08 0.00000E+00
 1.00000E-06 0.00000E+00
 1.00000E-05 0.00000E+00
 1.00000E-04 0.00000E+00
 2.00000E-04 0.00000E+00
 3.00000E-04 0.00000E+00
 6.00000E-04 0.00000E+00
 7.18000E-04 0.00000E+00
 1.00000E-03 0.00000E+00
 2.00000E-03 0.00000E+00
 3.00000E-03 0.00000E+00
 3.59000E-03 0.00000E+00
 6.00000E-03 0.00000E+00
 1.00000E-02 0.00000E+00
 2.00000E-02 0.00000E+00
 3.00000E-02 0.00000E+00
 6.00000E-02 0.00000E+00
 1.00000E-01 0.00000E+00
 2.00000E-01 0.00000E+00
 3.00000E-01 0.00000E+00
 4.00000E-01 0.00000E+00
 5.00000E-01 0.00000E+00
 6.00000E-01 0.00000E+00
 7.00000E-01 0.00000E+00
 8.00000E-01 0.00000E+00
 9.00000E-01 0.00000E+00
 1.00000E+00 0.00000E+00
 1.20000E+00 0.00000E+00
 1.40000E+00 0.00000E+00
 1.60000E+00 0.00000E+00
 1.80000E+00 0.00000E+00
 2.00000E+00 0.00000E+00
 2.20000E+00 0.00000E+00
 2.40000E+00 0.00000E+00
 2.60000E+00 0.00000E+00
 2.80000E+00 0.00000E+00
 3.00000E+00 0.00000E+00
 3.20000E+00 0.00000E+00
 3.40000E+00 0.00000E+00
 3.60000E+00 0.00000E+00
 3.80000E+00 0.00000E+00
 4.00000E+00 0.00000E+00
 4.20000E+00 0.00000E+00
 4.40000E+00 0.00000E+00
 4.60000E+00 0.00000E+00
 4.80000E+00 0.00000E+00
 5.00000E+00 0.00000E+00
 5.20000E+00 0.00000E+00
 5.40000E+00 0.00000E+00
 5.60000E+00 0.00000E+00
 5.80000E+00 0.00000E+00
 6.00000E+00 0.00000E+00
 6.20000E+00 0.00000E+00
 6.40000E+00 0.00000E+00
 6.60000E+00 0.00000E+00
 6.80000E+00 0.00000E+00
 7.00000E+00 0.00000E+00
 7.20000E+00 0.00000E+00
 7.40000E+00 0.00000E+00
 7.60000E+00 0.00000E+00
 7.80000E+00 0.00000E+00
 8.00000E+00 0.00000E+00
 8.50000E+00 0.00000E+00
 9.00000E+00 0.00000E+00
 9.50000E+00 0.00000E+00
 1.00000E+01 0.00000E+00
 1.05000E+01 0.00000E+00
 1.10000E+01 0.00000E+00
 1.15000E+01 0.00000E+00
 1.20000E+01 0.00000E+00
 1.25000E+01 5.11009E+00
 1.30000E+01 2.44891E+01
 1.35000E+01 5.32944E+01
 1.40000E+01 8.78828E+01
 1.45000E+01 1.23530E+02
 1.50000E+01 1.57371E+02
 1.60000E+01 2.10807E+02
 1.70000E+01 2.45534E+02
 1.80000E+01 2.66501E+02
 1.90000E+01 2.78871E+02
 2.00000E+01 2.86846E+02
 2.10000E+01 2.91350E+02
 2.20000E+01 2.91666E+02
 2.30000E+01 2.85312E+02
 2.40000E+01 2.72910E+02
 2.50000E+01 2.56441E+02
 2.60000E+01 2.40355E+02
 2.70000E+01 2.25336E+02
 2.80000E+01 2.12118E+02
 2.90000E+01 2.00853E+02
 3.00000E+01 1.91382E+02
 3.20000E+01 1.76136E+02
 3.40000E+01 1.64519E+02
 3.60000E+01 1.55147E+02
 3.80000E+01 1.47558E+02
 4.00000E+01 1.39030E+02
 4.20000E+01 1.29633E+02
 4.40000E+01 1.21296E+02
 4.60000E+01 1.13853E+02
 4.80000E+01 1.07307E+02
 5.00000E+01 1.00613E+02
 5.20000E+01 9.43824E+01
 5.40000E+01 8.96406E+01
 5.60000E+01 8.55446E+01
 5.80000E+01 8.25713E+01
 6.00000E+01 8.01934E+01
 6.50000E+01 7.27578E+01
 7.00000E+01 6.52987E+01
 7.50000E+01 5.90392E+01
 8.00000E+01 5.37582E+01
 9.00000E+01 4.54783E+01
 1.00000E+02 3.88620E+01
 1.10000E+02 3.40236E+01
 1.20000E+02 2.98713E+01
 1.30000E+02 2.63781E+01
 1.40000E+02 2.33402E+01
 1.50000E+02 2.07597E+01
 1.60000E+02 1.84650E+01
 1.80000E+02 1.62268E+01
 2.00000E+02 1.46463E+01
