# n +  64Zn: Production of  64Cu - Total
# Q-value    = 2.02884E-01 mass=  63.929763
# E-threshold= 0.00000E+00
# # energies =   121
#     E          xs
 1.00000E-11 2.15815E-18
 2.53000E-08 4.29063E-20
 1.00000E-06 6.82466E-21
 1.00000E-05 2.15815E-21
 1.00000E-04 6.82466E-22
 2.00000E-04 4.82576E-22
 3.00000E-04 3.94022E-22
 6.00000E-04 2.78615E-22
 7.18000E-04 2.54694E-22
 1.00000E-03 5.42154E-22
 2.00000E-03 2.63399E-21
 3.00000E-03 6.64026E-21
 3.59000E-03 1.00000E-20
 6.00000E-03 1.00000E-20
 1.00000E-02 1.00000E-20
 2.00000E-02 1.00000E-20
 3.00000E-02 1.00000E-20
 6.00000E-02 1.00000E-20
 1.00000E-01 1.00000E-20
 2.00000E-01 5.87849E-10
 3.00000E-01 5.67807E-08
 4.00000E-01 1.49795E-06
 5.00000E-01 1.90362E-05
 6.00000E-01 1.48551E-04
 7.00000E-01 8.22509E-04
 8.00000E-01 3.54071E-03
 9.00000E-01 1.25921E-02
 1.00000E+00 3.85641E-02
 1.20000E+00 1.40003E-01
 1.40000E+00 5.64072E-01
 1.60000E+00 1.82363E+00
 1.80000E+00 4.96834E+00
 2.00000E+00 9.37592E+00
 2.20000E+00 1.84175E+01
 2.40000E+00 3.27206E+01
 2.60000E+00 5.40096E+01
 2.80000E+00 8.14263E+01
 3.00000E+00 1.10087E+02
 3.20000E+00 1.29075E+02
 3.40000E+00 1.39431E+02
 3.60000E+00 1.45141E+02
 3.80000E+00 1.49859E+02
 4.00000E+00 1.54089E+02
 4.20000E+00 1.58262E+02
 4.40000E+00 1.62762E+02
 4.60000E+00 1.67501E+02
 4.80000E+00 1.72363E+02
 5.00000E+00 1.77694E+02
 5.20000E+00 1.82439E+02
 5.40000E+00 1.87739E+02
 5.60000E+00 1.92655E+02
 5.80000E+00 1.97004E+02
 6.00000E+00 2.02402E+02
 6.20000E+00 2.06675E+02
 6.40000E+00 2.11264E+02
 6.60000E+00 2.15805E+02
 6.80000E+00 2.19349E+02
 7.00000E+00 2.24314E+02
 7.20000E+00 2.28221E+02
 7.40000E+00 2.32255E+02
 7.60000E+00 2.36352E+02
 7.80000E+00 2.39353E+02
 8.00000E+00 2.43475E+02
 8.50000E+00 2.51510E+02
 9.00000E+00 2.58840E+02
 9.50000E+00 2.65449E+02
 1.00000E+01 2.70954E+02
 1.05000E+01 2.73835E+02
 1.10000E+01 2.71523E+02
 1.15000E+01 2.61965E+02
 1.20000E+01 2.46166E+02
 1.25000E+01 2.26567E+02
 1.30000E+01 2.07181E+02
 1.35000E+01 1.85070E+02
 1.40000E+01 1.63453E+02
 1.45000E+01 1.46156E+02
 1.50000E+01 1.28342E+02
 1.60000E+01 1.03417E+02
 1.70000E+01 8.61349E+01
 1.80000E+01 7.44526E+01
 1.90000E+01 6.69222E+01
 2.00000E+01 6.09432E+01
 2.10000E+01 5.66584E+01
 2.20000E+01 5.38152E+01
 2.30000E+01 5.06441E+01
 2.40000E+01 4.85882E+01
 2.50000E+01 4.69995E+01
 2.60000E+01 4.54863E+01
 2.70000E+01 4.31451E+01
 2.80000E+01 4.15698E+01
 2.90000E+01 3.97223E+01
 3.00000E+01 3.79414E+01
 3.20000E+01 3.47814E+01
 3.40000E+01 3.17906E+01
 3.60000E+01 2.87518E+01
 3.80000E+01 2.64974E+01
 4.00000E+01 2.34242E+01
 4.20000E+01 2.12254E+01
 4.40000E+01 1.86729E+01
 4.60000E+01 1.66147E+01
 4.80000E+01 1.56627E+01
 5.00000E+01 1.38324E+01
 5.20000E+01 1.25744E+01
 5.40000E+01 1.15236E+01
 5.60000E+01 1.03524E+01
 5.80000E+01 9.38075E+00
 6.00000E+01 8.61812E+00
 6.50000E+01 7.20379E+00
 7.00000E+01 5.78503E+00
 7.50000E+01 4.94999E+00
 8.00000E+01 4.02085E+00
 9.00000E+01 3.00612E+00
 1.00000E+02 2.35110E+00
 1.10000E+02 1.88779E+00
 1.20000E+02 1.55374E+00
 1.30000E+02 1.29358E+00
 1.40000E+02 1.09684E+00
 1.50000E+02 9.06237E-01
 1.60000E+02 7.69556E-01
 1.80000E+02 6.29968E-01
 2.00000E+02 5.29673E-01
