# n +  64Zn: Production of  62Zn - Total
# Q-value    =-2.09787E+01 mass=  61.934333
# E-threshold= 2.13097E+01
# # energies =   121
#     E          xs
 1.00000E-11 0.00000E+00
 2.53000E-08 0.00000E+00
 1.00000E-06 0.00000E+00
 1.00000E-05 0.00000E+00
 1.00000E-04 0.00000E+00
 2.00000E-04 0.00000E+00
 3.00000E-04 0.00000E+00
 6.00000E-04 0.00000E+00
 7.18000E-04 0.00000E+00
 1.00000E-03 0.00000E+00
 2.00000E-03 0.00000E+00
 3.00000E-03 0.00000E+00
 3.59000E-03 0.00000E+00
 6.00000E-03 0.00000E+00
 1.00000E-02 0.00000E+00
 2.00000E-02 0.00000E+00
 3.00000E-02 0.00000E+00
 6.00000E-02 0.00000E+00
 1.00000E-01 0.00000E+00
 2.00000E-01 0.00000E+00
 3.00000E-01 0.00000E+00
 4.00000E-01 0.00000E+00
 5.00000E-01 0.00000E+00
 6.00000E-01 0.00000E+00
 7.00000E-01 0.00000E+00
 8.00000E-01 0.00000E+00
 9.00000E-01 0.00000E+00
 1.00000E+00 0.00000E+00
 1.20000E+00 0.00000E+00
 1.40000E+00 0.00000E+00
 1.60000E+00 0.00000E+00
 1.80000E+00 0.00000E+00
 2.00000E+00 0.00000E+00
 2.20000E+00 0.00000E+00
 2.40000E+00 0.00000E+00
 2.60000E+00 0.00000E+00
 2.80000E+00 0.00000E+00
 3.00000E+00 0.00000E+00
 3.20000E+00 0.00000E+00
 3.40000E+00 0.00000E+00
 3.60000E+00 0.00000E+00
 3.80000E+00 0.00000E+00
 4.00000E+00 0.00000E+00
 4.20000E+00 0.00000E+00
 4.40000E+00 0.00000E+00
 4.60000E+00 0.00000E+00
 4.80000E+00 0.00000E+00
 5.00000E+00 0.00000E+00
 5.20000E+00 0.00000E+00
 5.40000E+00 0.00000E+00
 5.60000E+00 0.00000E+00
 5.80000E+00 0.00000E+00
 6.00000E+00 0.00000E+00
 6.20000E+00 0.00000E+00
 6.40000E+00 0.00000E+00
 6.60000E+00 0.00000E+00
 6.80000E+00 0.00000E+00
 7.00000E+00 0.00000E+00
 7.20000E+00 0.00000E+00
 7.40000E+00 0.00000E+00
 7.60000E+00 0.00000E+00
 7.80000E+00 0.00000E+00
 8.00000E+00 0.00000E+00
 8.50000E+00 0.00000E+00
 9.00000E+00 0.00000E+00
 9.50000E+00 0.00000E+00
 1.00000E+01 0.00000E+00
 1.05000E+01 0.00000E+00
 1.10000E+01 0.00000E+00
 1.15000E+01 0.00000E+00
 1.20000E+01 0.00000E+00
 1.25000E+01 0.00000E+00
 1.30000E+01 0.00000E+00
 1.35000E+01 0.00000E+00
 1.40000E+01 0.00000E+00
 1.45000E+01 0.00000E+00
 1.50000E+01 0.00000E+00
 1.60000E+01 0.00000E+00
 1.70000E+01 0.00000E+00
 1.80000E+01 0.00000E+00
 1.90000E+01 0.00000E+00
 2.00000E+01 0.00000E+00
 2.10000E+01 0.00000E+00
 2.20000E+01 5.37353E-02
 2.30000E+01 5.06598E-01
 2.40000E+01 1.58833E+00
 2.50000E+01 3.31894E+00
 2.60000E+01 5.61401E+00
 2.70000E+01 8.04311E+00
 2.80000E+01 1.05207E+01
 2.90000E+01 1.29613E+01
 3.00000E+01 1.52806E+01
 3.20000E+01 1.94057E+01
 3.40000E+01 2.24385E+01
 3.60000E+01 2.39760E+01
 3.80000E+01 2.43266E+01
 4.00000E+01 2.41559E+01
 4.20000E+01 2.34858E+01
 4.40000E+01 2.25580E+01
 4.60000E+01 2.15102E+01
 4.80000E+01 2.01586E+01
 5.00000E+01 1.92008E+01
 5.20000E+01 1.83340E+01
 5.40000E+01 1.75288E+01
 5.60000E+01 1.68650E+01
 5.80000E+01 1.60969E+01
 6.00000E+01 1.55243E+01
 6.50000E+01 1.42240E+01
 7.00000E+01 1.32487E+01
 7.50000E+01 1.25232E+01
 8.00000E+01 1.17340E+01
 9.00000E+01 1.02861E+01
 1.00000E+02 8.92881E+00
 1.10000E+02 7.95645E+00
 1.20000E+02 7.14332E+00
 1.30000E+02 6.40593E+00
 1.40000E+02 5.77390E+00
 1.50000E+02 5.19463E+00
 1.60000E+02 4.66465E+00
 1.80000E+02 4.18653E+00
 2.00000E+02 3.85404E+00
