# n +  66Zn: Production of  64Cu - Total
# Q-value    =-1.03531E+01 mass=  63.929763
# E-threshold= 1.05115E+01
# # energies =   121
#     E          xs
 1.00000E-11 0.00000E+00
 2.53000E-08 0.00000E+00
 1.00000E-06 0.00000E+00
 1.00000E-05 0.00000E+00
 1.00000E-04 0.00000E+00
 2.00000E-04 0.00000E+00
 3.00000E-04 0.00000E+00
 6.00000E-04 0.00000E+00
 9.24000E-04 0.00000E+00
 1.00000E-03 0.00000E+00
 2.00000E-03 0.00000E+00
 3.00000E-03 0.00000E+00
 4.62000E-03 0.00000E+00
 6.00000E-03 0.00000E+00
 1.00000E-02 0.00000E+00
 2.00000E-02 0.00000E+00
 3.00000E-02 0.00000E+00
 6.00000E-02 0.00000E+00
 1.00000E-01 0.00000E+00
 2.00000E-01 0.00000E+00
 3.00000E-01 0.00000E+00
 4.00000E-01 0.00000E+00
 5.00000E-01 0.00000E+00
 6.00000E-01 0.00000E+00
 7.00000E-01 0.00000E+00
 8.00000E-01 0.00000E+00
 9.00000E-01 0.00000E+00
 1.00000E+00 0.00000E+00
 1.20000E+00 0.00000E+00
 1.40000E+00 0.00000E+00
 1.60000E+00 0.00000E+00
 1.80000E+00 0.00000E+00
 2.00000E+00 0.00000E+00
 2.20000E+00 0.00000E+00
 2.40000E+00 0.00000E+00
 2.60000E+00 0.00000E+00
 2.80000E+00 0.00000E+00
 3.00000E+00 0.00000E+00
 3.20000E+00 0.00000E+00
 3.40000E+00 0.00000E+00
 3.60000E+00 0.00000E+00
 3.80000E+00 0.00000E+00
 4.00000E+00 0.00000E+00
 4.20000E+00 0.00000E+00
 4.40000E+00 0.00000E+00
 4.60000E+00 0.00000E+00
 4.80000E+00 0.00000E+00
 5.00000E+00 0.00000E+00
 5.20000E+00 0.00000E+00
 5.40000E+00 0.00000E+00
 5.60000E+00 0.00000E+00
 5.80000E+00 0.00000E+00
 6.00000E+00 0.00000E+00
 6.20000E+00 0.00000E+00
 6.40000E+00 0.00000E+00
 6.60000E+00 0.00000E+00
 6.80000E+00 0.00000E+00
 7.00000E+00 0.00000E+00
 7.20000E+00 0.00000E+00
 7.40000E+00 0.00000E+00
 7.60000E+00 0.00000E+00
 7.80000E+00 0.00000E+00
 8.00000E+00 0.00000E+00
 8.50000E+00 0.00000E+00
 9.00000E+00 0.00000E+00
 9.50000E+00 0.00000E+00
 1.00000E+01 0.00000E+00
 1.05000E+01 0.00000E+00
 1.10000E+01 0.00000E+00
 1.15000E+01 1.64852E-12
 1.20000E+01 6.91089E-09
 1.25000E+01 9.36466E-07
 1.30000E+01 2.71446E-05
 1.35000E+01 2.89005E-04
 1.40000E+01 1.72669E-03
 1.45000E+01 7.63910E-03
 1.50000E+01 2.68898E-02
 1.60000E+01 1.34622E-01
 1.70000E+01 4.56313E-01
 1.80000E+01 1.01020E+00
 1.90000E+01 1.76543E+00
 2.00000E+01 2.71936E+00
 2.10000E+01 3.94660E+00
 2.20000E+01 5.97494E+00
 2.30000E+01 9.89795E+00
 2.40000E+01 1.69269E+01
 2.50000E+01 2.75596E+01
 2.60000E+01 4.14926E+01
 2.70000E+01 5.74754E+01
 2.80000E+01 7.39622E+01
 2.90000E+01 9.13189E+01
 3.00000E+01 1.06919E+02
 3.20000E+01 1.35109E+02
 3.40000E+01 1.54552E+02
 3.60000E+01 1.65998E+02
 3.80000E+01 1.69954E+02
 4.00000E+01 1.68607E+02
 4.20000E+01 1.64418E+02
 4.40000E+01 1.60251E+02
 4.60000E+01 1.55570E+02
 4.80000E+01 1.49224E+02
 5.00000E+01 1.43587E+02
 5.20000E+01 1.37711E+02
 5.40000E+01 1.31440E+02
 5.60000E+01 1.26983E+02
 5.80000E+01 1.20492E+02
 6.00000E+01 1.15807E+02
 6.50000E+01 1.05172E+02
 7.00000E+01 9.78983E+01
 7.50000E+01 8.99695E+01
 8.00000E+01 8.35213E+01
 9.00000E+01 7.18963E+01
 1.00000E+02 6.17732E+01
 1.10000E+02 5.40819E+01
 1.20000E+02 4.86000E+01
 1.30000E+02 4.29243E+01
 1.40000E+02 3.87104E+01
 1.50000E+02 3.43208E+01
 1.60000E+02 3.10007E+01
 1.80000E+02 2.52270E+01
 2.00000E+02 2.17860E+01
