# n +  67Zn: Production of  67Cu - Total
# Q-value    = 2.21553E-01 mass=  66.927729
# E-threshold= 0.00000E+00
# # energies =   121
#     E          xs
 1.00000E-11 6.18679E+01
 2.53000E-08 1.23000E+00
 1.00000E-06 1.95643E-01
 1.00000E-05 6.18679E-02
 8.00000E-05 2.18736E-02
 1.00000E-04 6.26827E-05
 2.00000E-04 7.91715E-13
 3.00000E-04 1.89758E-17
 4.00000E-04 1.00000E-20
 6.00000E-04 1.00000E-20
 1.00000E-03 1.00000E-20
 2.00000E-03 1.00000E-20
 3.00000E-03 1.00000E-20
 6.00000E-03 1.00000E-20
 1.00000E-02 1.00000E-20
 2.00000E-02 1.00000E-20
 3.00000E-02 1.00000E-20
 6.00000E-02 1.00000E-20
 1.00000E-01 1.00000E-20
 2.00000E-01 8.62193E-10
 3.00000E-01 1.81303E-08
 4.00000E-01 2.36380E-07
 5.00000E-01 1.76426E-06
 6.00000E-01 1.04305E-05
 7.00000E-01 4.67131E-05
 8.00000E-01 1.69351E-04
 9.00000E-01 4.84689E-04
 1.00000E+00 1.14789E-03
 1.20000E+00 5.03842E-03
 1.40000E+00 1.67812E-02
 1.60000E+00 4.29114E-02
 1.80000E+00 9.21277E-02
 2.00000E+00 1.64229E-01
 2.20000E+00 2.58402E-01
 2.40000E+00 3.68499E-01
 2.60000E+00 4.87779E-01
 2.80000E+00 6.10507E-01
 3.00000E+00 7.31604E-01
 3.20000E+00 8.46819E-01
 3.40000E+00 9.48946E-01
 3.60000E+00 1.04591E+00
 3.80000E+00 1.13651E+00
 4.00000E+00 1.22431E+00
 4.20000E+00 1.31551E+00
 4.40000E+00 1.41632E+00
 4.60000E+00 1.53263E+00
 4.80000E+00 1.80898E+00
 5.00000E+00 1.85685E+00
 5.20000E+00 2.08161E+00
 5.40000E+00 2.60146E+00
 5.60000E+00 2.72103E+00
 5.80000E+00 3.44054E+00
 6.00000E+00 3.64840E+00
 6.20000E+00 4.25805E+00
 6.40000E+00 5.30028E+00
 6.60000E+00 5.59170E+00
 6.80000E+00 6.83864E+00
 7.00000E+00 7.32319E+00
 7.20000E+00 8.22010E+00
 7.40000E+00 9.70041E+00
 7.60000E+00 1.00843E+01
 7.80000E+00 1.16990E+01
 8.00000E+00 1.22645E+01
 8.50000E+00 1.49514E+01
 9.00000E+00 1.77107E+01
 9.50000E+00 2.05300E+01
 1.00000E+01 2.34020E+01
 1.05000E+01 2.63229E+01
 1.10000E+01 2.99688E+01
 1.15000E+01 3.29192E+01
 1.20000E+01 3.57514E+01
 1.25000E+01 3.82318E+01
 1.30000E+01 4.01411E+01
 1.35000E+01 4.13931E+01
 1.40000E+01 4.20242E+01
 1.45000E+01 4.21974E+01
 1.50000E+01 4.21141E+01
 1.60000E+01 4.17905E+01
 1.70000E+01 4.10174E+01
 1.80000E+01 4.02620E+01
 1.90000E+01 3.95623E+01
 2.00000E+01 3.86248E+01
 2.10000E+01 3.76530E+01
 2.20000E+01 3.70581E+01
 2.30000E+01 3.54635E+01
 2.40000E+01 3.42372E+01
 2.50000E+01 3.37561E+01
 2.60000E+01 3.27833E+01
 2.70000E+01 3.14739E+01
 2.80000E+01 3.06080E+01
 2.90000E+01 2.93926E+01
 3.00000E+01 2.84073E+01
 3.20000E+01 2.61281E+01
 3.40000E+01 2.39216E+01
 3.60000E+01 2.18397E+01
 3.80000E+01 2.01682E+01
 4.00000E+01 1.82670E+01
 4.20000E+01 1.71771E+01
 4.40000E+01 1.59398E+01
 4.60000E+01 1.45249E+01
 4.80000E+01 1.33499E+01
 5.00000E+01 1.21101E+01
 5.20000E+01 1.11298E+01
 5.40000E+01 1.02070E+01
 5.60000E+01 9.31069E+00
 5.80000E+01 8.60211E+00
 6.00000E+01 7.86127E+00
 6.50000E+01 6.58421E+00
 7.00000E+01 5.38799E+00
 7.50000E+01 4.73452E+00
 8.00000E+01 4.01603E+00
 9.00000E+01 3.11403E+00
 1.00000E+02 2.39458E+00
 1.10000E+02 1.98183E+00
 1.20000E+02 1.61241E+00
 1.30000E+02 1.35401E+00
 1.40000E+02 1.14210E+00
 1.50000E+02 9.68330E-01
 1.60000E+02 8.44303E-01
 1.80000E+02 6.15491E-01
 2.00000E+02 4.77978E-01
