# n +  68Zn: Production of  65Ni - Total
# Q-value    = 7.65004E-01 mass=  64.930084
# E-threshold= 0.00000E+00
# # energies =   121
#     E          xs
 1.00000E-11 1.00598E+00
 2.53000E-08 2.00000E-02
 1.00000E-06 3.18119E-03
 1.00000E-05 1.00598E-03
 1.00000E-04 3.18119E-04
 2.00000E-04 2.24944E-04
 3.00000E-04 1.83666E-04
 6.00000E-04 1.29872E-04
 1.00000E-03 1.00598E-04
 1.11200E-03 9.53977E-05
 2.00000E-03 1.41760E-10
 3.00000E-03 1.33609E-14
 5.56000E-03 1.00000E-20
 6.00000E-03 1.00000E-20
 1.00000E-02 1.00000E-20
 2.00000E-02 1.00000E-20
 3.00000E-02 1.00000E-20
 6.00000E-02 1.00000E-20
 1.00000E-01 1.00000E-20
 2.00000E-01 1.00000E-20
 3.00000E-01 1.00000E-20
 4.00000E-01 1.00000E-20
 5.00000E-01 1.00000E-20
 6.00000E-01 1.00000E-20
 7.00000E-01 1.00000E-20
 8.00000E-01 1.00000E-20
 9.00000E-01 1.00000E-20
 1.00000E+00 1.00000E-20
 1.20000E+00 1.11151E-12
 1.40000E+00 3.28506E-11
 1.60000E+00 5.47377E-10
 1.80000E+00 6.40372E-09
 2.00000E+00 5.44974E-08
 2.20000E+00 3.76661E-07
 2.40000E+00 2.29081E-06
 2.60000E+00 9.57469E-06
 2.80000E+00 4.00508E-05
 3.00000E+00 1.52298E-04
 3.20000E+00 5.32692E-04
 3.40000E+00 2.10424E-03
 3.60000E+00 5.35040E-03
 3.80000E+00 9.97617E-03
 4.00000E+00 2.44861E-02
 4.20000E+00 4.26644E-02
 4.40000E+00 6.99003E-02
 4.60000E+00 1.09384E-01
 4.80000E+00 1.55758E-01
 5.00000E+00 2.41244E-01
 5.20000E+00 3.46197E-01
 5.40000E+00 4.89118E-01
 5.60000E+00 7.04961E-01
 5.80000E+00 9.56452E-01
 6.00000E+00 1.31918E+00
 6.20000E+00 1.74830E+00
 6.40000E+00 2.23303E+00
 6.60000E+00 2.79594E+00
 6.80000E+00 3.41431E+00
 7.00000E+00 4.01283E+00
 7.20000E+00 4.60830E+00
 7.40000E+00 5.21208E+00
 7.60000E+00 5.69129E+00
 7.80000E+00 6.22612E+00
 8.00000E+00 6.64196E+00
 8.50000E+00 7.52481E+00
 9.00000E+00 8.22727E+00
 9.50000E+00 8.93341E+00
 1.00000E+01 9.79958E+00
 1.05000E+01 1.09070E+01
 1.10000E+01 1.22517E+01
 1.15000E+01 1.37615E+01
 1.20000E+01 1.53240E+01
 1.25000E+01 1.67928E+01
 1.30000E+01 1.78686E+01
 1.35000E+01 1.84649E+01
 1.40000E+01 1.85613E+01
 1.45000E+01 1.80683E+01
 1.50000E+01 1.74858E+01
 1.60000E+01 1.54638E+01
 1.70000E+01 1.30540E+01
 1.80000E+01 1.07414E+01
 1.90000E+01 8.79286E+00
 2.00000E+01 7.23538E+00
 2.10000E+01 6.05490E+00
 2.20000E+01 5.20801E+00
 2.30000E+01 4.46963E+00
 2.40000E+01 3.90491E+00
 2.50000E+01 3.42243E+00
 2.60000E+01 3.00818E+00
 2.70000E+01 2.67527E+00
 2.80000E+01 2.39130E+00
 2.90000E+01 2.19343E+00
 3.00000E+01 2.17209E+00
 3.20000E+01 2.82727E+00
 3.40000E+01 4.46432E+00
 3.60000E+01 6.92750E+00
 3.80000E+01 9.80500E+00
 4.00000E+01 1.26582E+01
 4.20000E+01 1.51962E+01
 4.40000E+01 1.71387E+01
 4.60000E+01 1.84773E+01
 4.80000E+01 1.94626E+01
 5.00000E+01 1.98059E+01
 5.20000E+01 1.98069E+01
 5.40000E+01 1.91258E+01
 5.60000E+01 1.83606E+01
 5.80000E+01 1.74106E+01
 6.00000E+01 1.63957E+01
 6.50000E+01 1.39205E+01
 7.00000E+01 1.20227E+01
 7.50000E+01 1.05131E+01
 8.00000E+01 9.30255E+00
 9.00000E+01 7.38505E+00
 1.00000E+02 6.03885E+00
 1.10000E+02 4.57634E+00
 1.20000E+02 3.53003E+00
 1.30000E+02 2.75323E+00
 1.40000E+02 2.23884E+00
 1.50000E+02 1.81415E+00
 1.60000E+02 1.53801E+00
 1.80000E+02 1.27932E+00
 2.00000E+02 1.09452E+00
