#rp030069.L01         Number of runs:    200
# Q-value    =-1.49353E+01 mass=  64.930084
# E-threshold= 1.51507E+01
# # energies =   121
# E(MeV)      xs(mb)     xslow(mb)      xsupp(mb)
 1.00000E-11 5.50522E+03 4.99322E+03 6.01721E+03
 2.53000E-08 1.09450E+02 9.92705E+01 1.19629E+02
 1.00000E-06 1.74090E+01 1.57899E+01 1.90281E+01
 1.00000E-05 5.50522E+00 4.99322E+00 6.01721E+00
 1.00000E-04 1.74090E+00 1.57899E+00 1.90281E+00
 2.00000E-04 1.23100E+00 1.11652E+00 1.34549E+00
 3.00000E-04 1.00511E+00 9.11632E-01 1.09859E+00
 6.00000E-04 7.10721E-01 6.44622E-01 7.76819E-01
 1.00000E-03 5.50522E-01 4.99322E-01 6.01721E-01
 1.11200E-03 5.22062E-01 4.73509E-01 5.70615E-01
 2.00000E-03 1.19721E+00 1.06400E+00 1.33042E+00
 3.00000E-03 2.13012E+00 1.82307E+00 2.43718E+00
 5.56000E-03 5.14122E+00 4.11550E+00 6.16693E+00
 6.00000E-03 4.95360E+00 3.96355E+00 5.94365E+00
 1.00000E-02 3.87144E+00 3.08735E+00 4.65552E+00
 2.00000E-02 2.97744E+00 2.34758E+00 3.60730E+00
 3.00000E-02 2.70548E+00 2.10019E+00 3.31078E+00
 6.00000E-02 2.29814E+00 1.75331E+00 2.84297E+00
 1.00000E-01 1.92222E+00 1.47321E+00 2.37122E+00
 2.00000E-01 1.53484E+00 1.21873E+00 1.85094E+00
 3.00000E-01 1.50099E+00 1.21872E+00 1.78326E+00
 4.00000E-01 1.57284E+00 1.28396E+00 1.86172E+00
 5.00000E-01 1.68488E+00 1.37537E+00 1.99440E+00
 6.00000E-01 1.82419E+00 1.48727E+00 2.16111E+00
 7.00000E-01 1.98652E+00 1.61760E+00 2.35544E+00
 8.00000E-01 2.17244E+00 1.76679E+00 2.57810E+00
 9.00000E-01 2.37925E+00 1.93292E+00 2.82559E+00
 1.00000E+00 2.60831E+00 2.11697E+00 3.09965E+00
 1.20000E+00 1.74649E+00 1.40025E+00 2.09274E+00
 1.40000E+00 1.43196E+00 1.14321E+00 1.72071E+00
 1.60000E+00 1.45083E+00 1.15507E+00 1.74658E+00
 1.80000E+00 1.56591E+00 1.24175E+00 1.89007E+00
 2.00000E+00 1.62604E+00 1.28300E+00 1.96908E+00
 2.20000E+00 1.66897E+00 1.30955E+00 2.02839E+00
 2.40000E+00 1.78347E+00 1.39052E+00 2.17642E+00
 2.60000E+00 1.25851E+00 9.40414E-01 1.57660E+00
 2.80000E+00 1.09412E+00 8.08174E-01 1.38006E+00
 3.00000E+00 1.01214E+00 7.43672E-01 1.28061E+00
 3.20000E+00 9.00503E-01 6.53921E-01 1.14708E+00
 3.40000E+00 7.91005E-01 5.68816E-01 1.01319E+00
 3.60000E+00 7.37528E-01 5.28286E-01 9.46769E-01
 3.80000E+00 6.73838E-01 4.81004E-01 8.66671E-01
 4.00000E+00 6.32114E-01 4.48819E-01 8.15409E-01
 4.20000E+00 5.96111E-01 4.20093E-01 7.72129E-01
 4.40000E+00 5.61450E-01 3.91334E-01 7.31565E-01
 4.60000E+00 5.40886E-01 3.73035E-01 7.08737E-01
 4.80000E+00 5.15695E-01 3.51576E-01 6.79814E-01
 5.00000E+00 4.93666E-01 3.32259E-01 6.55072E-01
 5.20000E+00 4.74414E-01 3.15431E-01 6.33396E-01
 5.40000E+00 4.47505E-01 2.95253E-01 5.99757E-01
 5.60000E+00 4.42468E-01 2.85906E-01 5.99030E-01
 5.80000E+00 4.24039E-01 2.70626E-01 5.77451E-01
 6.00000E+00 4.11240E-01 2.57245E-01 5.65235E-01
 6.20000E+00 4.02441E-01 2.46507E-01 5.58374E-01
 6.40000E+00 3.79196E-01 2.32930E-01 5.25462E-01
 6.60000E+00 3.86433E-01 2.21907E-01 5.50959E-01
 6.80000E+00 3.76950E-01 2.10612E-01 5.43287E-01
 7.00000E+00 3.70057E-01 1.96291E-01 5.43822E-01
 7.20000E+00 3.68270E-01 1.83428E-01 5.53111E-01
 7.40000E+00 3.48157E-01 1.77152E-01 5.19161E-01
 7.60000E+00 3.63121E-01 1.56441E-01 5.69801E-01
 7.80000E+00 3.59555E-01 1.41152E-01 5.77957E-01
 8.00000E+00 3.55135E-01 1.27183E-01 5.83087E-01
 8.50000E+00 3.52331E-01 9.10506E-02 6.13611E-01
 9.00000E+00 3.52425E-01 4.33470E-02 6.61503E-01
 9.50000E+00 3.54455E-01 5.96815E-03 7.02942E-01
 1.00000E+01 3.56901E-01 0.00000E+00 7.13802E-01
 1.05000E+01 3.59593E-01 0.00000E+00 7.19185E-01
 1.10000E+01 3.61916E-01 0.00000E+00 7.23833E-01
 1.15000E+01 3.63527E-01 0.00000E+00 7.27053E-01
 1.20000E+01 3.60176E-01 0.00000E+00 7.20352E-01
 1.25000E+01 3.60988E-01 0.00000E+00 7.21977E-01
 1.30000E+01 3.60900E-01 2.24382E-04 7.21575E-01
 1.35000E+01 3.59030E-01 1.38911E-02 7.04169E-01
 1.40000E+01 3.56999E-01 2.79478E-02 6.86051E-01
 1.45000E+01 3.63449E-01 4.47405E-02 6.82158E-01
 1.50000E+01 3.48151E-01 5.44961E-02 6.41806E-01
 1.60000E+01 3.33560E-01 7.45687E-02 5.92551E-01
 1.70000E+01 3.19163E-01 8.51582E-02 5.53168E-01
 1.80000E+01 3.12131E-01 7.99273E-02 5.44334E-01
 1.90000E+01 2.95977E-01 5.46851E-02 5.37270E-01
 2.00000E+01 2.80469E-01 9.36207E-03 5.51575E-01
 2.10000E+01 2.61578E-01 0.00000E+00 5.23157E-01
 2.20000E+01 2.44247E-01 0.00000E+00 4.88494E-01
 2.30000E+01 2.26004E-01 0.00000E+00 4.52008E-01
 2.40000E+01 2.06658E-01 0.00000E+00 4.13317E-01
 2.50000E+01 1.88982E-01 0.00000E+00 3.77964E-01
 2.60000E+01 1.71692E-01 0.00000E+00 3.43384E-01
 2.70000E+01 1.57674E-01 0.00000E+00 3.15349E-01
 2.80000E+01 1.45058E-01 0.00000E+00 2.90115E-01
 2.90000E+01 1.33598E-01 0.00000E+00 2.67196E-01
 3.00000E+01 1.24556E-01 0.00000E+00 2.49113E-01
 3.20000E+01 1.11810E-01 0.00000E+00 2.23620E-01
 3.40000E+01 1.02104E-01 0.00000E+00 2.04208E-01
