# n +  68Zn: Production of  69Zn - Total
# Q-value    = 6.48208E+00 mass=  68.926550
# E-threshold= 0.00000E+00
# # energies =   121
#     E          xs
 1.00000E-11 5.39206E+04
 2.53000E-08 1.07200E+03
 1.00000E-06 1.70512E+02
 1.00000E-05 5.39206E+01
 1.00000E-04 1.70512E+01
 2.00000E-04 1.20570E+01
 3.00000E-04 9.84452E+00
 6.00000E-04 6.96112E+00
 1.00000E-03 5.39206E+00
 1.11200E-03 5.11332E+00
 2.00000E-03 1.22484E+01
 3.00000E-03 2.23944E+01
 5.56000E-03 5.60927E+01
 6.00000E-03 5.36911E+01
 1.00000E-02 3.99450E+01
 2.00000E-02 2.77480E+01
 3.00000E-02 2.33771E+01
 6.00000E-02 1.77188E+01
 1.00000E-01 1.38873E+01
 2.00000E-01 9.90588E+00
 3.00000E-01 8.72506E+00
 4.00000E-01 8.42104E+00
 5.00000E-01 8.46936E+00
 6.00000E-01 8.71524E+00
 7.00000E-01 9.08643E+00
 8.00000E-01 9.57247E+00
 9.00000E-01 1.01323E+01
 1.00000E+00 1.07820E+01
 1.20000E+00 6.92405E+00
 1.40000E+00 5.68246E+00
 1.60000E+00 5.57370E+00
 1.80000E+00 5.69171E+00
 2.00000E+00 5.55109E+00
 2.20000E+00 5.50100E+00
 2.40000E+00 5.63083E+00
 2.60000E+00 4.39512E+00
 2.80000E+00 3.97050E+00
 3.00000E+00 3.68779E+00
 3.20000E+00 3.39178E+00
 3.40000E+00 2.96188E+00
 3.60000E+00 2.60454E+00
 3.80000E+00 2.36784E+00
 4.00000E+00 2.17566E+00
 4.20000E+00 2.04497E+00
 4.40000E+00 1.92738E+00
 4.60000E+00 1.82716E+00
 4.80000E+00 1.74496E+00
 5.00000E+00 1.64807E+00
 5.20000E+00 1.56008E+00
 5.40000E+00 1.48136E+00
 5.60000E+00 1.39824E+00
 5.80000E+00 1.31741E+00
 6.00000E+00 1.25299E+00
 6.20000E+00 1.17976E+00
 6.40000E+00 1.10827E+00
 6.60000E+00 1.05775E+00
 6.80000E+00 1.00265E+00
 7.00000E+00 9.50526E-01
 7.20000E+00 9.00845E-01
 7.40000E+00 8.57972E-01
 7.60000E+00 8.27718E-01
 7.80000E+00 7.85212E-01
 8.00000E+00 7.56219E-01
 8.50000E+00 6.96328E-01
 9.00000E+00 6.29336E-01
 9.50000E+00 5.97718E-01
 1.00000E+01 5.79396E-01
 1.05000E+01 5.79119E-01
 1.10000E+01 5.86478E-01
 1.15000E+01 6.04941E-01
 1.20000E+01 6.23282E-01
 1.25000E+01 6.40891E-01
 1.30000E+01 6.56147E-01
 1.35000E+01 6.64581E-01
 1.40000E+01 6.68583E-01
 1.45000E+01 6.92062E-01
 1.50000E+01 6.61046E-01
 1.60000E+01 6.25391E-01
 1.70000E+01 5.72719E-01
 1.80000E+01 5.10915E-01
 1.90000E+01 4.35577E-01
 2.00000E+01 3.63846E-01
 2.10000E+01 3.05077E-01
 2.20000E+01 2.58698E-01
 2.30000E+01 2.23496E-01
 2.40000E+01 1.97829E-01
 2.50000E+01 1.77283E-01
 2.60000E+01 1.60625E-01
 2.70000E+01 1.48390E-01
 2.80000E+01 1.37526E-01
 2.90000E+01 1.27981E-01
 3.00000E+01 1.20733E-01
 3.20000E+01 1.08401E-01
 3.40000E+01 1.00027E-01
 3.60000E+01 9.10642E-02
 3.80000E+01 8.42923E-02
 4.00000E+01 7.92568E-02
 4.20000E+01 7.47351E-02
 4.40000E+01 7.09281E-02
 4.60000E+01 6.75107E-02
 4.80000E+01 6.45683E-02
 5.00000E+01 6.20755E-02
 5.20000E+01 5.94132E-02
 5.40000E+01 5.69290E-02
 5.60000E+01 5.49057E-02
 5.80000E+01 5.32167E-02
 6.00000E+01 5.14228E-02
 6.50000E+01 4.77563E-02
 7.00000E+01 4.35618E-02
 7.50000E+01 3.98401E-02
 8.00000E+01 3.69783E-02
 9.00000E+01 3.24425E-02
 1.00000E+02 2.92628E-02
 1.10000E+02 2.21848E-02
 1.20000E+02 1.71239E-02
 1.30000E+02 1.47712E-02
 1.40000E+02 1.22497E-02
 1.50000E+02 1.04614E-02
 1.60000E+02 8.98412E-03
 1.80000E+02 6.56125E-03
 2.00000E+02 4.33233E-03
