# n +  70Zn: Production of  66Ni - Total
# Q-value    =-5.98336E+00 mass=  65.929139
# E-threshold= 6.06967E+00
# # energies =   121
#     E          xs
 1.00000E-11 0.00000E+00
 2.53000E-08 0.00000E+00
 1.00000E-06 0.00000E+00
 1.00000E-05 0.00000E+00
 1.00000E-04 0.00000E+00
 2.00000E-04 0.00000E+00
 3.00000E-04 0.00000E+00
 6.00000E-04 0.00000E+00
 1.00000E-03 0.00000E+00
 1.44000E-03 0.00000E+00
 2.00000E-03 0.00000E+00
 3.00000E-03 0.00000E+00
 6.00000E-03 0.00000E+00
 7.20000E-03 0.00000E+00
 1.00000E-02 0.00000E+00
 2.00000E-02 0.00000E+00
 3.00000E-02 0.00000E+00
 6.00000E-02 0.00000E+00
 1.00000E-01 0.00000E+00
 2.00000E-01 0.00000E+00
 3.00000E-01 0.00000E+00
 4.00000E-01 0.00000E+00
 5.00000E-01 0.00000E+00
 6.00000E-01 0.00000E+00
 7.00000E-01 0.00000E+00
 8.00000E-01 0.00000E+00
 9.00000E-01 0.00000E+00
 1.00000E+00 0.00000E+00
 1.20000E+00 0.00000E+00
 1.40000E+00 0.00000E+00
 1.60000E+00 0.00000E+00
 1.80000E+00 0.00000E+00
 2.00000E+00 0.00000E+00
 2.20000E+00 0.00000E+00
 2.40000E+00 0.00000E+00
 2.60000E+00 0.00000E+00
 2.80000E+00 0.00000E+00
 3.00000E+00 0.00000E+00
 3.20000E+00 0.00000E+00
 3.40000E+00 0.00000E+00
 3.60000E+00 0.00000E+00
 3.80000E+00 0.00000E+00
 4.00000E+00 0.00000E+00
 4.20000E+00 0.00000E+00
 4.40000E+00 0.00000E+00
 4.60000E+00 0.00000E+00
 4.80000E+00 0.00000E+00
 5.00000E+00 0.00000E+00
 5.20000E+00 0.00000E+00
 5.40000E+00 0.00000E+00
 5.60000E+00 0.00000E+00
 5.80000E+00 0.00000E+00
 6.00000E+00 0.00000E+00
 6.20000E+00 0.00000E+00
 6.40000E+00 0.00000E+00
 6.60000E+00 0.00000E+00
 6.80000E+00 0.00000E+00
 7.00000E+00 0.00000E+00
 7.20000E+00 0.00000E+00
 7.40000E+00 0.00000E+00
 7.60000E+00 0.00000E+00
 7.80000E+00 0.00000E+00
 8.00000E+00 0.00000E+00
 8.50000E+00 3.07519E-10
 9.00000E+00 6.80888E-08
 9.50000E+00 2.29008E-06
 1.00000E+01 7.04217E-06
 1.05000E+01 2.28311E-05
 1.10000E+01 1.02336E-04
 1.15000E+01 5.04476E-04
 1.20000E+01 2.42410E-03
 1.25000E+01 9.71310E-03
 1.30000E+01 3.08286E-02
 1.35000E+01 8.96538E-02
 1.40000E+01 2.16503E-01
 1.45000E+01 4.54628E-01
 1.50000E+01 8.79168E-01
 1.60000E+01 2.38867E+00
 1.70000E+01 4.75459E+00
 1.80000E+01 7.97627E+00
 1.90000E+01 1.12874E+01
 2.00000E+01 1.43725E+01
 2.10000E+01 1.78149E+01
 2.20000E+01 2.12033E+01
 2.30000E+01 2.44113E+01
 2.40000E+01 2.73078E+01
 2.50000E+01 2.95434E+01
 2.60000E+01 3.10960E+01
 2.70000E+01 3.19456E+01
 2.80000E+01 3.18472E+01
 2.90000E+01 3.11997E+01
 3.00000E+01 3.04238E+01
 3.20000E+01 2.76542E+01
 3.40000E+01 2.46210E+01
 3.60000E+01 2.14082E+01
 3.80000E+01 1.84039E+01
 4.00000E+01 1.59782E+01
 4.20000E+01 1.39910E+01
 4.40000E+01 1.25668E+01
 4.60000E+01 1.16455E+01
 4.80000E+01 1.11861E+01
 5.00000E+01 1.08595E+01
 5.20000E+01 1.07552E+01
 5.40000E+01 1.06932E+01
 5.60000E+01 1.05355E+01
 5.80000E+01 1.04986E+01
 6.00000E+01 1.05119E+01
 6.50000E+01 1.01201E+01
 7.00000E+01 9.86172E+00
 7.50000E+01 9.33257E+00
 8.00000E+01 8.89181E+00
 9.00000E+01 7.58774E+00
 1.00000E+02 6.49781E+00
 1.10000E+02 5.64601E+00
 1.20000E+02 5.01190E+00
 1.30000E+02 4.39077E+00
 1.40000E+02 3.99083E+00
 1.50000E+02 3.67120E+00
 1.60000E+02 3.28057E+00
 1.80000E+02 2.82946E+00
 2.00000E+02 2.54160E+00
