# n +  91Zr: Production of  90Y  - Total
# Q-value    =-6.46590E+00 mass=  89.907144
# E-threshold= 6.53765E+00
# # energies =   121
#     E          xs
 1.00000E-11 0.00000E+00
 2.53000E-08 0.00000E+00
 1.00000E-06 0.00000E+00
 1.00000E-05 0.00000E+00
 1.00000E-04 0.00000E+00
 1.10000E-04 0.00000E+00
 2.00000E-04 0.00000E+00
 3.00000E-04 0.00000E+00
 5.50000E-04 0.00000E+00
 6.00000E-04 0.00000E+00
 1.00000E-03 0.00000E+00
 2.00000E-03 0.00000E+00
 3.00000E-03 0.00000E+00
 6.00000E-03 0.00000E+00
 1.00000E-02 0.00000E+00
 2.00000E-02 0.00000E+00
 3.00000E-02 0.00000E+00
 6.00000E-02 0.00000E+00
 1.00000E-01 0.00000E+00
 2.00000E-01 0.00000E+00
 3.00000E-01 0.00000E+00
 4.00000E-01 0.00000E+00
 5.00000E-01 0.00000E+00
 6.00000E-01 0.00000E+00
 7.00000E-01 0.00000E+00
 8.00000E-01 0.00000E+00
 9.00000E-01 0.00000E+00
 1.00000E+00 0.00000E+00
 1.20000E+00 0.00000E+00
 1.40000E+00 0.00000E+00
 1.60000E+00 0.00000E+00
 1.80000E+00 0.00000E+00
 2.00000E+00 0.00000E+00
 2.20000E+00 0.00000E+00
 2.40000E+00 0.00000E+00
 2.60000E+00 0.00000E+00
 2.80000E+00 0.00000E+00
 3.00000E+00 0.00000E+00
 3.20000E+00 0.00000E+00
 3.40000E+00 0.00000E+00
 3.60000E+00 0.00000E+00
 3.80000E+00 0.00000E+00
 4.00000E+00 0.00000E+00
 4.20000E+00 0.00000E+00
 4.40000E+00 0.00000E+00
 4.60000E+00 0.00000E+00
 4.80000E+00 0.00000E+00
 5.00000E+00 0.00000E+00
 5.20000E+00 0.00000E+00
 5.40000E+00 0.00000E+00
 5.60000E+00 0.00000E+00
 5.80000E+00 0.00000E+00
 6.00000E+00 0.00000E+00
 6.20000E+00 0.00000E+00
 6.40000E+00 0.00000E+00
 6.60000E+00 0.00000E+00
 6.80000E+00 0.00000E+00
 7.00000E+00 0.00000E+00
 7.20000E+00 0.00000E+00
 7.40000E+00 0.00000E+00
 7.60000E+00 0.00000E+00
 7.80000E+00 1.92898E-11
 8.00000E+00 4.19556E-10
 8.50000E+00 9.94745E-08
 9.00000E+00 4.07469E-06
 9.50000E+00 6.58671E-05
 1.00000E+01 5.04508E-04
 1.05000E+01 4.48841E-03
 1.10000E+01 3.72227E-02
 1.15000E+01 1.42796E-01
 1.20000E+01 4.79746E-01
 1.25000E+01 1.34091E+00
 1.30000E+01 3.04370E+00
 1.35000E+01 5.74905E+00
 1.40000E+01 8.88323E+00
 1.45000E+01 1.29782E+01
 1.50000E+01 1.79653E+01
 1.60000E+01 2.90995E+01
 1.70000E+01 4.19235E+01
 1.80000E+01 5.54807E+01
 1.90000E+01 6.96764E+01
 2.00000E+01 8.43470E+01
 2.10000E+01 9.62611E+01
 2.20000E+01 1.06616E+02
 2.30000E+01 1.13965E+02
 2.40000E+01 1.17668E+02
 2.50000E+01 1.21370E+02
 2.60000E+01 1.22405E+02
 2.70000E+01 1.22564E+02
 2.80000E+01 1.22536E+02
 2.90000E+01 1.21779E+02
 3.00000E+01 1.20422E+02
 3.20000E+01 1.18633E+02
 3.40000E+01 1.16904E+02
 3.60000E+01 1.14783E+02
 3.80000E+01 1.11331E+02
 4.00000E+01 1.08185E+02
 4.20000E+01 1.05466E+02
 4.40000E+01 1.02370E+02
 4.60000E+01 9.92948E+01
 4.80000E+01 9.46023E+01
 5.00000E+01 9.16520E+01
 5.20000E+01 8.89895E+01
 5.40000E+01 8.48751E+01
 5.60000E+01 8.31664E+01
 5.80000E+01 8.03254E+01
 6.00000E+01 7.72959E+01
 6.50000E+01 7.26528E+01
 7.00000E+01 6.73660E+01
 7.50000E+01 6.26247E+01
 8.00000E+01 5.80392E+01
 9.00000E+01 4.96281E+01
 1.00000E+02 4.29321E+01
 1.10000E+02 3.85499E+01
 1.20000E+02 3.42446E+01
 1.30000E+02 3.10111E+01
 1.40000E+02 2.76839E+01
 1.50000E+02 2.52054E+01
 1.60000E+02 2.30089E+01
 1.80000E+02 1.90450E+01
 2.00000E+02 1.62249E+01
