# n +  91Zr: Production of  89Zr - Total
# Q-value    =-1.91626E+01 mass=  88.908882
# E-threshold= 1.93753E+01
# # energies =   121
#     E          xs
 1.00000E-01 0.00000E+00
 2.00000E-01 0.00000E+00
 3.00000E-01 0.00000E+00
 4.00000E-01 0.00000E+00
 5.00000E-01 0.00000E+00
 6.00000E-01 0.00000E+00
 7.00000E-01 0.00000E+00
 8.00000E-01 0.00000E+00
 9.00000E-01 0.00000E+00
 1.00000E+00 0.00000E+00
 1.20000E+00 0.00000E+00
 1.40000E+00 0.00000E+00
 1.60000E+00 0.00000E+00
 1.80000E+00 0.00000E+00
 2.00000E+00 0.00000E+00
 2.20000E+00 0.00000E+00
 2.40000E+00 0.00000E+00
 2.60000E+00 0.00000E+00
 2.80000E+00 0.00000E+00
 3.00000E+00 0.00000E+00
 3.20000E+00 0.00000E+00
 3.40000E+00 0.00000E+00
 3.60000E+00 0.00000E+00
 3.80000E+00 0.00000E+00
 4.00000E+00 0.00000E+00
 4.20000E+00 0.00000E+00
 4.40000E+00 0.00000E+00
 4.60000E+00 0.00000E+00
 4.80000E+00 0.00000E+00
 5.00000E+00 0.00000E+00
 5.20000E+00 0.00000E+00
 5.40000E+00 0.00000E+00
 5.60000E+00 0.00000E+00
 5.80000E+00 0.00000E+00
 6.00000E+00 0.00000E+00
 6.20000E+00 0.00000E+00
 6.40000E+00 0.00000E+00
 6.60000E+00 0.00000E+00
 6.80000E+00 0.00000E+00
 7.00000E+00 0.00000E+00
 7.20000E+00 0.00000E+00
 7.40000E+00 0.00000E+00
 7.60000E+00 0.00000E+00
 7.80000E+00 0.00000E+00
 8.00000E+00 0.00000E+00
 8.50000E+00 0.00000E+00
 9.00000E+00 0.00000E+00
 9.50000E+00 0.00000E+00
 1.00000E+01 0.00000E+00
 1.05000E+01 0.00000E+00
 1.10000E+01 0.00000E+00
 1.15000E+01 0.00000E+00
 1.20000E+01 0.00000E+00
 1.25000E+01 0.00000E+00
 1.30000E+01 0.00000E+00
 1.35000E+01 0.00000E+00
 1.40000E+01 0.00000E+00
 1.45000E+01 0.00000E+00
 1.50000E+01 0.00000E+00
 1.60000E+01 0.00000E+00
 1.70000E+01 0.00000E+00
 1.80000E+01 0.00000E+00
 1.90000E+01 0.00000E+00
 2.00000E+01 8.84660E+00
 2.10000E+01 5.65906E+01
 2.20000E+01 1.39655E+02
 2.30000E+01 2.28195E+02
 2.40000E+01 3.16132E+02
 2.50000E+01 3.91294E+02
 2.60000E+01 4.42907E+02
 2.70000E+01 4.87739E+02
 2.80000E+01 5.13809E+02
 2.90000E+01 5.30428E+02
 3.00000E+01 5.40272E+02
 3.20000E+01 5.41017E+02
 3.40000E+01 5.03174E+02
 3.60000E+01 4.36633E+02
 3.80000E+01 3.69784E+02
 4.00000E+01 3.14558E+02
 4.20000E+01 2.73327E+02
 4.40000E+01 2.46328E+02
 4.60000E+01 2.27765E+02
 4.80000E+01 2.12301E+02
 5.00000E+01 1.99691E+02
 5.20000E+01 1.90806E+02
 5.40000E+01 1.81623E+02
 5.60000E+01 1.73932E+02
 5.80000E+01 1.66162E+02
 6.00000E+01 1.59024E+02
 6.50000E+01 1.47862E+02
 7.00000E+01 1.40030E+02
 7.50000E+01 1.31409E+02
 8.00000E+01 1.19402E+02
 9.00000E+01 1.03002E+02
 1.00000E+02 8.97592E+01
 1.10000E+02 7.98545E+01
 1.20000E+02 7.00282E+01
 1.30000E+02 6.33816E+01
 1.40000E+02 5.61936E+01
 1.50000E+02 5.13125E+01
 1.60000E+02 4.60432E+01
 1.80000E+02 3.83457E+01
 2.00000E+02 3.17295E+01
