#rp039090.L02         Number of runs:    200
#
#
#
# E(MeV)      xs(mb)     xslow(mb)      xsupp(mb)
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.60000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.80000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.20000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.40000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.60000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.80000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.20000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.40000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.60000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.80000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.20000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.40000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.60000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.80000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.20000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.40000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.60000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.80000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.20000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.40000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.60000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.80000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.50000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.50000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.05000E+01 9.88401E-17 9.88401E-17 9.88401E-17
 1.10000E+01 9.43177E-12 9.43177E-12 9.43177E-12
 1.15000E+01 8.27333E-09 8.27333E-09 8.27333E-09
 1.20000E+01 3.81213E-07 1.13687E-13 7.62427E-07
 1.25000E+01 1.60013E-05 0.00000E+00 3.20026E-05
 1.30000E+01 1.60978E-04 0.00000E+00 3.21957E-04
 1.35000E+01 1.29827E-03 0.00000E+00 2.59653E-03
 1.40000E+01 5.59154E-03 0.00000E+00 1.11831E-02
 1.45000E+01 1.75147E-02 0.00000E+00 3.50294E-02
 1.50000E+01 4.46652E-02 0.00000E+00 8.93303E-02
 1.60000E+01 1.69400E-01 0.00000E+00 3.38800E-01
 1.70000E+01 4.14695E-01 0.00000E+00 8.29391E-01
 1.80000E+01 7.82354E-01 0.00000E+00 1.56471E+00
 1.90000E+01 1.28574E+00 0.00000E+00 2.57148E+00
 2.00000E+01 1.98167E+00 0.00000E+00 3.96334E+00
 2.10000E+01 2.83637E+00 0.00000E+00 5.67275E+00
 2.20000E+01 4.13461E+00 0.00000E+00 8.26922E+00
 2.30000E+01 6.28781E+00 0.00000E+00 1.25756E+01
 2.40000E+01 9.93768E+00 2.39109E+00 1.74843E+01
 2.50000E+01 1.56567E+01 7.59771E+00 2.37157E+01
 2.60000E+01 2.33751E+01 1.34715E+01 3.32787E+01
 2.70000E+01 3.22707E+01 1.92955E+01 4.52459E+01
 2.80000E+01 4.05934E+01 2.40170E+01 5.71699E+01
 2.90000E+01 5.08122E+01 2.98626E+01 7.17617E+01
 3.00000E+01 6.04336E+01 3.51962E+01 8.56711E+01
 3.20000E+01 7.49460E+01 4.36481E+01 1.06244E+02
 3.40000E+01 8.20916E+01 4.78097E+01 1.16374E+02
 3.60000E+01 8.11096E+01 4.72377E+01 1.14981E+02
 3.80000E+01 7.47685E+01 4.35447E+01 1.05992E+02
 4.00000E+01 6.79060E+01 3.95480E+01 9.62640E+01
 4.20000E+01 6.30747E+01 3.67343E+01 8.94151E+01
 4.40000E+01 5.85701E+01 3.41109E+01 8.30294E+01
 4.60000E+01 5.65593E+01 3.29398E+01 8.01788E+01
 4.80000E+01 5.42996E+01 3.16237E+01 7.69754E+01
 5.00000E+01 5.36240E+01 3.12303E+01 7.60178E+01
