# n +  94Zr: Production of  91Sr - Total
# Q-value    = 2.02902E+00 mass=  90.910195
# E-threshold= 0.00000E+00
# # energies =   121
#     E          xs
 1.00000E-11 2.00331E-19
 2.53000E-08 3.98280E-21
 1.00000E-06 6.33504E-22
 1.00000E-05 2.00331E-22
 1.00000E-04 6.33504E-23
 2.00000E-04 4.47955E-23
 3.00000E-04 3.65753E-23
 6.00000E-04 2.58627E-23
 6.40000E-04 2.50414E-23
 1.00000E-03 1.31824E-22
 2.00000E-03 1.73913E-21
 3.00000E-03 7.86478E-21
 3.20000E-03 1.00000E-20
 6.00000E-03 1.00000E-20
 1.00000E-02 1.00000E-20
 2.00000E-02 1.00000E-20
 3.00000E-02 1.00000E-20
 6.00000E-02 1.00000E-20
 1.00000E-01 1.00000E-20
 2.00000E-01 1.00000E-20
 3.00000E-01 1.00000E-20
 4.00000E-01 1.00000E-20
 5.00000E-01 1.00000E-20
 6.00000E-01 1.00000E-20
 7.00000E-01 1.00000E-20
 8.00000E-01 1.00000E-20
 9.00000E-01 1.13216E-12
 1.00000E+00 1.84198E-12
 1.20000E+00 1.28481E-11
 1.40000E+00 9.20365E-11
 1.60000E+00 5.06232E-10
 1.80000E+00 2.36485E-09
 2.00000E+00 1.18819E-08
 2.20000E+00 8.41165E-08
 2.40000E+00 1.82731E-07
 2.60000E+00 6.00415E-07
 2.80000E+00 1.80593E-06
 3.00000E+00 2.75546E-06
 3.20000E+00 9.71598E-06
 3.40000E+00 1.86013E-05
 3.60000E+00 3.78222E-05
 3.80000E+00 8.10977E-05
 4.00000E+00 1.15681E-04
 4.20000E+00 2.47366E-04
 4.40000E+00 3.85886E-04
 4.60000E+00 5.97111E-04
 4.80000E+00 1.01915E-03
 5.00000E+00 1.37183E-03
 5.20000E+00 2.12728E-03
 5.40000E+00 2.94937E-03
 5.60000E+00 3.86848E-03
 5.80000E+00 5.31064E-03
 6.00000E+00 6.67858E-03
 6.20000E+00 8.92417E-03
 6.40000E+00 1.17305E-02
 6.60000E+00 1.45502E-02
 6.80000E+00 1.92181E-02
 7.00000E+00 2.39385E-02
 7.20000E+00 2.88851E-02
 7.40000E+00 3.67188E-02
 7.60000E+00 4.31072E-02
 7.80000E+00 5.38674E-02
 8.00000E+00 6.64101E-02
 8.50000E+00 1.05583E-01
 9.00000E+00 1.66141E-01
 9.50000E+00 2.57763E-01
 1.00000E+01 3.90835E-01
 1.05000E+01 5.82508E-01
 1.10000E+01 8.37669E-01
 1.15000E+01 1.15750E+00
 1.20000E+01 1.54001E+00
 1.25000E+01 1.97987E+00
 1.30000E+01 2.47213E+00
 1.35000E+01 2.96442E+00
 1.40000E+01 3.52982E+00
 1.45000E+01 4.10144E+00
 1.50000E+01 4.68501E+00
 1.60000E+01 5.83463E+00
 1.70000E+01 7.02977E+00
 1.80000E+01 7.85811E+00
 1.90000E+01 8.24547E+00
 2.00000E+01 8.00001E+00
 2.10000E+01 7.16266E+00
 2.20000E+01 6.53531E+00
 2.30000E+01 5.94781E+00
 2.40000E+01 5.45018E+00
 2.50000E+01 4.95321E+00
 2.60000E+01 4.52897E+00
 2.70000E+01 4.11853E+00
 2.80000E+01 3.73743E+00
 2.90000E+01 3.38945E+00
 3.00000E+01 3.09899E+00
 3.20000E+01 2.73087E+00
 3.40000E+01 2.72502E+00
 3.60000E+01 2.98610E+00
 3.80000E+01 3.39919E+00
 4.00000E+01 3.83995E+00
 4.20000E+01 4.18063E+00
 4.40000E+01 4.40296E+00
 4.60000E+01 4.50245E+00
 4.80000E+01 4.59918E+00
 5.00000E+01 4.60947E+00
 5.20000E+01 4.64622E+00
 5.40000E+01 4.61209E+00
 5.60000E+01 4.57950E+00
 5.80000E+01 4.51289E+00
 6.00000E+01 4.44763E+00
 6.50000E+01 4.30388E+00
 7.00000E+01 4.10643E+00
 7.50000E+01 3.90617E+00
 8.00000E+01 3.72891E+00
 9.00000E+01 3.36280E+00
 1.00000E+02 2.98798E+00
 1.10000E+02 2.62741E+00
 1.20000E+02 2.32621E+00
 1.30000E+02 2.10034E+00
 1.40000E+02 1.90974E+00
 1.50000E+02 1.74801E+00
 1.60000E+02 1.61641E+00
 1.80000E+02 1.39282E+00
 2.00000E+02 1.23331E+00
