# n +  94Zr: Production of  95Zr - Total
# Q-value    = 6.46194E+00 mass=  94.908040
# E-threshold= 0.00000E+00
# # energies =   121
#     E          xs
 1.00000E-11 2.48478E+03
 2.53000E-08 4.94000E+01
 1.00000E-06 7.85755E+00
 1.00000E-05 2.48478E+00
 1.00000E-04 7.85755E-01
 2.00000E-04 5.55613E-01
 3.00000E-04 4.53656E-01
 6.00000E-04 3.20783E-01
 6.40000E-04 3.10597E-01
 1.00000E-03 1.63506E+00
 2.00000E-03 2.15710E+01
 3.00000E-03 9.75494E+01
 3.20000E-03 1.24033E+02
 6.00000E-03 7.69734E+01
 1.00000E-02 5.06786E+01
 2.00000E-02 2.83963E+01
 3.00000E-02 2.06600E+01
 6.00000E-02 1.34754E+01
 1.00000E-01 1.11737E+01
 2.00000E-01 1.01606E+01
 3.00000E-01 9.91912E+00
 4.00000E-01 9.81014E+00
 5.00000E-01 9.87807E+00
 6.00000E-01 1.01206E+01
 7.00000E-01 1.05133E+01
 8.00000E-01 1.10504E+01
 9.00000E-01 1.17380E+01
 1.00000E+00 6.70352E+00
 1.20000E+00 5.29641E+00
 1.40000E+00 5.41025E+00
 1.60000E+00 4.49262E+00
 1.80000E+00 4.02511E+00
 2.00000E+00 4.05253E+00
 2.20000E+00 3.60676E+00
 2.40000E+00 3.30216E+00
 2.60000E+00 2.86850E+00
 2.80000E+00 2.68428E+00
 3.00000E+00 2.37984E+00
 3.20000E+00 2.13352E+00
 3.40000E+00 2.08117E+00
 3.60000E+00 1.91516E+00
 3.80000E+00 1.67752E+00
 4.00000E+00 1.46490E+00
 4.20000E+00 1.26812E+00
 4.40000E+00 1.11079E+00
 4.60000E+00 9.67065E-01
 4.80000E+00 8.53481E-01
 5.00000E+00 7.54353E-01
 5.20000E+00 6.68415E-01
 5.40000E+00 6.00334E-01
 5.60000E+00 5.33013E-01
 5.80000E+00 4.82629E-01
 6.00000E+00 4.43776E-01
 6.20000E+00 4.04830E-01
 6.40000E+00 3.83315E-01
 6.60000E+00 3.62771E-01
 6.80000E+00 3.32855E-01
 7.00000E+00 3.27123E-01
 7.20000E+00 3.11640E-01
 7.40000E+00 3.19172E-01
 7.60000E+00 3.20160E-01
 7.80000E+00 2.99719E-01
 8.00000E+00 3.20602E-01
 8.50000E+00 3.55139E-01
 9.00000E+00 4.16889E-01
 9.50000E+00 4.99326E-01
 1.00000E+01 5.96939E-01
 1.05000E+01 6.95968E-01
 1.10000E+01 7.86280E-01
 1.15000E+01 8.59781E-01
 1.20000E+01 9.19779E-01
 1.25000E+01 9.65530E-01
 1.30000E+01 9.97205E-01
 1.35000E+01 1.01828E+00
 1.40000E+01 1.02910E+00
 1.45000E+01 1.02993E+00
 1.50000E+01 1.02186E+00
 1.60000E+01 9.64571E-01
 1.70000E+01 8.64883E-01
 1.80000E+01 7.32210E-01
 1.90000E+01 6.22478E-01
 2.00000E+01 5.31827E-01
 2.10000E+01 4.57116E-01
 2.20000E+01 4.04604E-01
 2.30000E+01 3.60172E-01
 2.40000E+01 3.27855E-01
 2.50000E+01 3.00130E-01
 2.60000E+01 2.79268E-01
 2.70000E+01 2.61918E-01
 2.80000E+01 2.46359E-01
 2.90000E+01 2.34297E-01
 3.00000E+01 2.22671E-01
 3.20000E+01 2.03438E-01
 3.40000E+01 1.88517E-01
 3.60000E+01 1.72277E-01
 3.80000E+01 1.60209E-01
 4.00000E+01 1.52043E-01
 4.20000E+01 1.44698E-01
 4.40000E+01 1.43109E-01
 4.60000E+01 1.37519E-01
 4.80000E+01 1.31931E-01
 5.00000E+01 1.27167E-01
 5.20000E+01 1.23157E-01
 5.40000E+01 1.18790E-01
 5.60000E+01 1.14852E-01
 5.80000E+01 1.11179E-01
 6.00000E+01 1.08299E-01
 6.50000E+01 1.02712E-01
 7.00000E+01 9.24882E-02
 7.50000E+01 8.90042E-02
 8.00000E+01 8.02262E-02
 9.00000E+01 6.94932E-02
 1.00000E+02 6.32503E-02
 1.10000E+02 5.09429E-02
 1.20000E+02 4.14244E-02
 1.30000E+02 3.73252E-02
 1.40000E+02 3.38738E-02
 1.50000E+02 2.96818E-02
 1.60000E+02 2.55980E-02
 1.80000E+02 1.80498E-02
 2.00000E+02 1.16127E-02
