# n +  96Zr: Production of  91Sr - Total
# Q-value    =-1.22832E+01 mass=  90.910195
# E-threshold= 1.24123E+01
# # energies =   121
#     E          xs
 1.00000E-11 0.00000E+00
 2.53000E-08 0.00000E+00
 1.00000E-06 0.00000E+00
 1.00000E-05 0.00000E+00
 1.00000E-04 0.00000E+00
 2.00000E-04 0.00000E+00
 3.00000E-04 0.00000E+00
 6.00000E-04 0.00000E+00
 1.00000E-03 0.00000E+00
 2.00000E-03 0.00000E+00
 2.60000E-03 0.00000E+00
 3.00000E-03 0.00000E+00
 6.00000E-03 0.00000E+00
 1.00000E-02 0.00000E+00
 1.30000E-02 0.00000E+00
 2.00000E-02 0.00000E+00
 3.00000E-02 0.00000E+00
 6.00000E-02 0.00000E+00
 1.00000E-01 0.00000E+00
 2.00000E-01 0.00000E+00
 3.00000E-01 0.00000E+00
 4.00000E-01 0.00000E+00
 5.00000E-01 0.00000E+00
 6.00000E-01 0.00000E+00
 7.00000E-01 0.00000E+00
 8.00000E-01 0.00000E+00
 9.00000E-01 0.00000E+00
 1.00000E+00 0.00000E+00
 1.20000E+00 0.00000E+00
 1.40000E+00 0.00000E+00
 1.60000E+00 0.00000E+00
 1.80000E+00 0.00000E+00
 2.00000E+00 0.00000E+00
 2.20000E+00 0.00000E+00
 2.40000E+00 0.00000E+00
 2.60000E+00 0.00000E+00
 2.80000E+00 0.00000E+00
 3.00000E+00 0.00000E+00
 3.20000E+00 0.00000E+00
 3.40000E+00 0.00000E+00
 3.60000E+00 0.00000E+00
 3.80000E+00 0.00000E+00
 4.00000E+00 0.00000E+00
 4.20000E+00 0.00000E+00
 4.40000E+00 0.00000E+00
 4.60000E+00 0.00000E+00
 4.80000E+00 0.00000E+00
 5.00000E+00 0.00000E+00
 5.20000E+00 0.00000E+00
 5.40000E+00 0.00000E+00
 5.60000E+00 0.00000E+00
 5.80000E+00 0.00000E+00
 6.00000E+00 0.00000E+00
 6.20000E+00 0.00000E+00
 6.40000E+00 0.00000E+00
 6.60000E+00 0.00000E+00
 6.80000E+00 0.00000E+00
 7.00000E+00 0.00000E+00
 7.20000E+00 0.00000E+00
 7.40000E+00 0.00000E+00
 7.60000E+00 0.00000E+00
 7.80000E+00 0.00000E+00
 8.00000E+00 0.00000E+00
 8.50000E+00 0.00000E+00
 9.00000E+00 0.00000E+00
 9.50000E+00 0.00000E+00
 1.00000E+01 0.00000E+00
 1.05000E+01 0.00000E+00
 1.10000E+01 0.00000E+00
 1.15000E+01 0.00000E+00
 1.20000E+01 0.00000E+00
 1.25000E+01 0.00000E+00
 1.30000E+01 0.00000E+00
 1.35000E+01 0.00000E+00
 1.40000E+01 0.00000E+00
 1.45000E+01 0.00000E+00
 1.50000E+01 0.00000E+00
 1.60000E+01 5.77056E-12
 1.70000E+01 2.06697E-09
 1.80000E+01 1.88409E-07
 1.90000E+01 8.27912E-06
 2.00000E+01 1.27885E-04
 2.10000E+01 1.41885E-03
 2.20000E+01 1.19800E-02
 2.30000E+01 6.38042E-02
 2.40000E+01 2.27407E-01
 2.50000E+01 5.86604E-01
 2.60000E+01 1.16142E+00
 2.70000E+01 1.96996E+00
 2.80000E+01 2.99667E+00
 2.90000E+01 4.10993E+00
 3.00000E+01 5.36694E+00
 3.20000E+01 7.60433E+00
 3.40000E+01 9.28897E+00
 3.60000E+01 1.01007E+01
 3.80000E+01 1.01607E+01
 4.00000E+01 9.74798E+00
 4.20000E+01 8.99472E+00
 4.40000E+01 8.25972E+00
 4.60000E+01 7.57259E+00
 4.80000E+01 7.19867E+00
 5.00000E+01 7.30872E+00
 5.20000E+01 7.70827E+00
 5.40000E+01 8.49477E+00
 5.60000E+01 9.34453E+00
 5.80000E+01 1.04002E+01
 6.00000E+01 1.14118E+01
 6.50000E+01 1.34650E+01
 7.00000E+01 1.42889E+01
 7.50000E+01 1.35085E+01
 8.00000E+01 1.27390E+01
 9.00000E+01 1.08073E+01
 1.00000E+02 9.77261E+00
 1.10000E+02 8.49719E+00
 1.20000E+02 7.64936E+00
 1.30000E+02 7.02312E+00
 1.40000E+02 6.40960E+00
 1.50000E+02 5.70734E+00
 1.60000E+02 5.13907E+00
 1.80000E+02 4.36214E+00
 2.00000E+02 3.75205E+00
