E (MeV),Flux (arb.)
0.95625,2070000000
0.980139,1280000000
1.00493,1760000000
1.03068,1760000000
1.05744,2230000000
1.08524,1930000000
1.11416,1650000000
1.14426,1680000000
1.17559,3190000000
1.20822,4010000000
1.24223,3250000000
1.27771,3370000000
1.31472,2020000000
1.35337,3150000000
1.39375,3500000000
1.43596,3130000000
1.48012,2630000000
1.52636,3640000000
1.5748,2980000000
1.62558,2900000000
1.67886,2770000000
1.7348,2820000000
1.7936,2600000000
1.85544,2370000000
1.92053,2790000000
1.98912,3320000000
2.06145,2690000000
2.1378,2540000000
2.21848,2650000000
2.30382,2650000000
2.3942,2600000000
2.49,2610000000
2.59168,3140000000
2.69972,2670000000
2.81468,2970000000
2.93715,3430000000
3.06781,2910000000
3.2074,2380000000
3.35676,2530000000
3.51682,2620000000
3.68864,2720000000
3.87339,2480000000
4.07241,2820000000
4.28721,2790000000
4.51951,2620000000
4.77127,3060000000
5.04474,3000000000
5.34248,2770000000
5.66747,2950000000
6.02315,2720000000
6.41353,2980000000
6.84329,2520000000
7.31793,2360000000
7.84395,2330000000
8.42909,2170000000
9.08261,2030000000
9.81564,1680000000
10.6417,1460000000
11.5774,1170000000
12.6431,915000000
13.8643,481000000
15.2731,347000000
16.9103,101000000
18.8289,110000000
