
                       be used for evaluation purposes
                                                            19-Apr-2019 11:14
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AA011118_18cm_In01.Chn           
 Sample Title : Cs137                                            

 Spectrum saved on 25-Oct-2018 at  8:15    Collected on 12-Aug-2018 at 12:08
 Sample  Taken  on 12-Aug-2018 at 12:08    Decayed      0 Days,     0 mins.

            Detector file number used:     4
            Energy     Calibration Performed on 17-Apr-2019 at 17:04
            Peak Shape Calibration Performed on 17-Apr-2019 at 17:06


   Datetime:  12-Aug-2018 12:08
   Live:      262.00 
   Mass:      149
   Shelf:     18

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   72.8   388.5   0.97    10.6    0.90      1464    8.0   5.5873e+00    8.0      668
   74.9   399.9   0.97    15.0    0.90      2646    4.8   1.0101e+01    4.8      742
   84.8   452.7   0.96     6.7    1.28       960    9.9   3.6656e+00    9.9      705
   87.4   466.4   0.96     3.5    1.28       303   27.3   1.1562e+00   27.3      634
  138.3   738.5   1.01    11.3    1.06      1553    7.5   5.9278e+00    7.5      874
  336.4  1795.4   1.29    37.3    1.12     13263    1.7   5.0624e+01    1.7      247
  355.5  1897.7   1.28     3.7    1.11       176   29.6   6.7149e-01   29.6      207
  391.8  2091.5   1.32     8.0    1.01       598   10.0   2.2840e+00   10.0      161
  417.0  2225.7   1.35    27.4    0.71      5978    2.4   2.2819e+01    2.4      162
  463.2  2472.2   1.40     3.4    0.99       154   28.3   5.8728e-01   28.3      148
  511.2  2728.7   2.92     3.3    0.80       341   22.1   1.3005e+00   22.1      269
  818.7  4369.7   1.80    14.3    1.24      1567    5.8   5.9816e+00    5.8      172
 1097.3  5856.5   2.13    28.3    1.38      5857    2.6   2.2354e+01    2.6      122
 1293.5  6903.7   2.40    29.5    1.15      7419    2.3   2.8317e+01    2.3       26
 1507.4  8045.6   2.64     8.3    0.69       709    7.2   2.7069e+00    7.2       18
 1752.1  9351.5   2.93     4.7    0.84       155   19.6   5.9228e-01   19.6       17
 2111.9 11271.8   3.20    10.7    0.88       916    6.5   3.4976e+00    6.5        9
