
                       be used for evaluation purposes
                                                            14-Mar-2019 14:27
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: Sum_Spec.dat                     
 Sample Title : Cs137                                            

 Spectrum saved on 25-Oct-2018 at 16:15    Collected on 12-Aug-2018 at 14:06
 Sample  Taken  on 08-Dec-2018 at 14:00    Decayed      0 Days,     0 mins.

            Detector file number used:     1
            Energy     Calibration Performed on 13-Mar-2019 at 17:27
            Peak Shape Calibration Performed on 13-Mar-2019 at 17:31

 
   Datetime:   12-Aug-2018 13:54
   Live:       741.00
   Mass:       149
   Shelf:      10


   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   72.7   388.4   0.93    11.0    1.07      1788   13.2   2.4134e+00   13.2     1424
   74.8   400.1   0.93    19.6    1.07      3330    7.4   4.4941e+00    7.4     1583
   84.7   452.6   0.96     8.3    1.14      1338    9.7   1.8058e+00    9.7     1180
   87.3   466.3   0.96     4.1    1.14       423   26.1   5.7100e-01   26.1     1311
  138.3   738.5   1.03    16.9    1.20      2876    5.6   3.8818e+00    5.6     1578
  336.3  1795.3   1.27    90.6    1.53     72206    0.7   9.7445e+01    0.7      458
  355.4  1897.7   1.26     4.2    0.70       283   20.8   3.8246e-01   20.8      306
  391.7  2091.1   1.35    14.5    1.23      2091    4.8   2.8215e+00    4.8      256
  416.9  2225.7   1.36    32.8    1.03     10602    1.8   1.4308e+01    1.8      209
  463.2  2473.1   1.39     5.9    1.37       258   22.3   3.4871e-01   22.3      210
  511.1  2728.5   2.88     3.4    0.89       229   36.8   3.0842e-01   36.8      396
  818.6  4369.5   1.84    16.1    1.17      2611    4.5   3.5241e+00    4.5      298
 1097.1  5856.3   2.15    33.3    1.12     10055    2.0   1.3570e+01    2.0      215
 1293.4  6903.6   2.36    38.4    1.51     12657    1.7   1.7080e+01    1.7       47
 1507.3  8045.5   2.59    12.1    0.98      1315    5.3   1.7750e+00    5.3       28
 1600.7  8544.0   2.67     3.4    0.83        73   36.9   9.8718e-02   36.9       34
 1752.3  9353.1   2.84     6.2    0.90       256   15.6   3.4542e-01   15.6       39
 2111.8 11271.8   3.23    13.3    1.10      1577    5.1   2.1282e+00    5.1        5
