
                       be used for evaluation purposes
                                                            14-Mar-2019 11:27
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AK081818_10cm_Zn01.Chn           
 Sample Title : Cs137                                            

 Spectrum saved on 25-Oct-2018 at 16:16    Collected on 18-Aug-2018 at 10:33
 Sample  Taken  on 18-Aug-2018 at 10:33    Decayed      0 Days,     0 mins.

            Detector file number used:     1
            Energy     Calibration Performed on 13-Mar-2019 at 17:27
            Peak Shape Calibration Performed on 13-Mar-2019 at 17:31

 
   Datetime:   18-Aug-2018 10:33
   Live:       172341.00 
   Mass:       130
   Shelf:      10

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   46.4   248.3   0.85    10.0    0.95      1178   12.3   6.8369e-03   12.3     1468
   53.2   284.6   0.92     6.6    0.92       695   20.5   4.0349e-03   20.5     1557
   59.3   317.2   0.93     3.9    1.31       266   55.7   1.5463e-03   55.7     1904
   63.1   337.7   0.89    19.0    0.83      3852    4.8   2.2351e-02    4.8     1792
   72.7   388.7   0.95    14.0    0.89      2659    6.3   1.5428e-02    6.3     1983
   74.8   400.1   0.95    22.4    0.89      4938    4.0   2.8654e-02    4.0     1983
   76.9   411.2   0.95     3.6    0.89       362   39.6   2.0993e-03   39.6     1983
   84.5   451.6   1.10     7.0    4.18      2546    7.7   1.4771e-02    7.7     1820
   87.2   466.1   1.11     5.2    4.18       603   23.6   3.4972e-03   23.6     1820
   91.5   489.2   1.11     3.4    4.18       829   20.5   4.8078e-03   20.5     1820
   92.7   495.4   1.11    15.8    4.18      6569    3.7   3.8114e-02    3.7     1820
  112.6   601.8   0.99     3.9    1.16       232   53.4   1.3447e-03   53.4     1380
  140.0   747.8   1.02     4.3    0.85       421   24.1   2.4430e-03   24.1     1156
  143.8   767.9   1.03     7.7    0.85       934   11.8   5.4214e-03   11.8     1156
  163.3   872.5   1.05     4.7    0.72       426   26.2   2.4729e-03   26.2     1238
  184.5   985.6   1.04    11.5    1.30      3598    4.3   2.0875e-02    4.3     1178
  185.7   991.9   1.04    13.7    1.30      4155    4.2   2.4107e-02    4.2     1071
  198.4  1059.5   1.09     6.1    0.72       415   26.5   2.4100e-03   26.5     1106
  205.2  1095.7   1.09     4.2    1.96       348   33.3   2.0176e-03   33.3     1107
  238.7  1274.4   1.13     8.4    1.22       617   18.0   3.5775e-03   18.0     1027
  338.0  1804.8   1.24     3.4    0.95       157   57.2   9.0848e-04   57.2      790
  351.9  1878.8   1.26     4.2    1.11       374   25.4   2.1726e-03   25.4      764
  510.9  2727.2   2.88     6.1    1.32      4729    4.3   2.7438e-02    4.3     1147
  583.1  3112.7   1.52     3.4    0.86       223   35.3   1.2959e-03   35.3      553
  609.1  3251.7   1.55     5.2    0.70       354   24.3   2.0522e-03   24.3      603
  802.9  4285.7   1.77     3.4    0.88       141   51.1   8.1868e-04   51.1      427
  911.0  4862.8   1.89     3.5    1.09       177   40.8   1.0250e-03   40.8      374
 1000.9  5342.6   1.99     3.3    0.74       168   39.8   9.7351e-04   39.8      334
 1115.4  5953.5   2.17    15.0    0.74      2113    5.1   1.2262e-02    5.1      333
 1460.5  7795.8   2.51     7.0    0.74       437   15.1   2.5340e-03   15.1      205
 1764.4  9417.4   2.85     4.8    1.08       118   40.2   6.8548e-04   40.2      110
 2613.7 13950.2   3.81     6.9    1.14       274   16.5   1.5912e-03   16.5       49

   indicates the Iterative Peak Width fitting reached a limiting value.
