
                       be used for evaluation purposes
                                                            19-Apr-2019 13:12
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: Sum_Spec.dat                     
 Sample Title : Cs137                                            

 Spectrum saved on 25-Oct-2018 at  8:21    Collected on 14-Aug-2018 at 21:36
 Sample  Taken  on 14-Aug-2018 at 20:28    Decayed      0 Days,     0 mins.

            Detector file number used:     1
            Energy     Calibration Performed on 13-Mar-2019 at 17:27
            Peak Shape Calibration Performed on 13-Mar-2019 at 17:31


   Datetime:  14-Aug-2018 20:28
   Live:      4080.00 
   Mass:      349
   Shelf:     22

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   72.6   388.1   0.98    54.8    1.71     38656    3.5   9.4745e+00    3.5    29401
   74.8   399.6   0.99    76.4    1.71     70368    2.0   1.7247e+01    2.0    29401
   84.6   452.2   1.10    33.1    2.41     30945    3.9   7.5845e+00    3.9    24936
   87.2   466.0   1.11    16.7    2.41      8733   12.5   2.1405e+00   12.5    24936
  138.2   738.1   1.08    78.5    1.52     70973    1.1   1.7395e+01    1.1    21751
  156.4   835.5   1.10    11.9    1.24      5222   10.1   1.2798e+00   10.1    24639
  171.2   914.1   1.06     3.7    1.34      1411   36.8   3.4584e-01   36.8    22374
  190.1  1015.4   1.08     6.5    1.24      1942   25.6   4.7595e-01   25.6    23035
  245.1  1308.8   1.14     3.7    0.91      1918   23.5   4.7008e-01   23.5    21784
  263.0  1404.2   1.16     5.9    0.68      1698   24.1   4.1626e-01   24.1    20030
  271.7  1450.8   1.17     3.8    1.01       886   46.2   2.1718e-01   46.2    18595
  278.6  1487.3   1.18     5.0    0.91      1695   23.0   4.1544e-01   23.0    16261
  303.7  1621.4   1.21     4.1    0.75      1436   25.5   3.5192e-01   25.5    14981
  336.2  1794.9   1.33   149.5    5.90    215722    0.7   5.2873e+01    0.7    14614
  355.4  1897.4   1.34    18.9    0.76      7891    4.7   1.9340e+00    4.7    11791
  391.6  2090.7   1.38    63.1    1.38     43215    1.4   1.0592e+01    1.4    10058
  416.8  2225.2   1.43   163.1    5.99    260458    0.6   6.3838e+01    0.6    10680
  463.1  2472.4   1.49    17.2    0.98      6401    5.3   1.5688e+00    5.3     8874
  510.9  2727.2   2.76    29.4    1.95     82830    1.0   2.0301e+01    1.0    14967
  606.6  3238.4   1.55     3.3    0.88       508   55.8   1.2458e-01   55.8     7574
  617.4  3295.7   1.70    12.6    1.03      3804    8.6   9.3232e-01    8.6     8345
  655.2  3497.3   1.60     5.1    0.94       675   40.4   1.6548e-01   40.4     6616
  688.7  3676.1   1.64     4.9    1.14      1023   27.9   2.5062e-01   27.9     6824
  705.8  3767.6   1.66     4.6    0.77       965   28.5   2.3646e-01   28.5     6727
  779.8  4162.8   1.74     6.1    1.19      1303   24.2   3.1940e-01   24.2     8127
  818.5  4369.0   1.87    81.8    1.82     67730    1.0   1.6600e+01    1.0     9141
  972.3  5189.7   1.96     9.0    0.99      2466   12.9   6.0441e-01   12.9     7870
 1089.7  5816.4   2.16     4.3    4.61      1444   26.9   3.5380e-01   26.9     7109
 1097.0  5855.5   2.17   166.5    4.61    259312    0.6   6.3557e+01    0.6     7109
 1293.2  6902.8   2.38   190.8    8.47    328964    0.5   8.0628e+01    0.5     1729
 1368.2  7302.8   2.40     4.4    0.64       299   40.5   7.3185e-02   40.5     1127
 1460.5  7795.7   2.51     5.2    0.81       473   25.3   1.1587e-01   25.3      936
 1507.2  8044.8   2.59    59.3    1.55     34369    1.1   8.4238e+00    1.1      907
 1600.5  8542.6   2.67     8.9    2.24      2063    8.1   5.0553e-01    8.1      991
 1752.0  9351.1   2.91    25.8    1.06      7256    2.9   1.7785e+00    2.9     1067
 2111.6 11270.8   3.23    68.1    2.33     40174    1.1   9.8466e+00    1.1      108
 2225.0 11876.1   3.37     4.5    1.06       118   31.4   2.8871e-02   31.4       57
 2390.0 12756.4   3.56     4.6    0.90       193   19.1   4.7375e-02   19.1       34
 2528.1 13493.4   3.71     4.1    0.94        66   42.7   1.6106e-02   42.7       23
 2614.1 13952.5   3.81     3.6    0.67        79   35.5   1.9383e-02   35.5       22
 2753.4 14695.8   3.97     3.9    0.75        80   35.3   1.9690e-02   35.3       13

   indicates the Iterative Peak Width fitting reached a limiting value.
