
                       be used for evaluation purposes
                                                            18-Mar-2019 10:11
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AC081418_5cm_Zn02_000.Chn        
 Sample Title : Cs137                                            

 Spectrum saved on 25-Oct-2018 at 16:24    Collected on 14-Aug-2018 at 22:52
 Sample  Taken  on 14-Aug-2018 at 22:52    Decayed      0 Days,     0 mins.

            Detector file number used:     1
            Energy     Calibration Performed on 13-Mar-2019 at 17:27
            Peak Shape Calibration Performed on 13-Mar-2019 at 17:31

 
   Datetime:   14-Aug-2018 22:52
   Live:       1200.00
   Mass:       230 
   Shelf:      5

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   40.7   217.7   0.91     5.9    0.94       805   25.7   6.7111e-01   25.7     3529
   72.6   388.2   1.01    12.3    0.77      3283    6.9   2.7355e+00    6.9     4499
   74.8   399.8   1.01    20.0    0.77      5643    4.5   4.7022e+00    4.5     4499
   84.7   452.5   0.99     8.4    1.09      2136    9.6   1.7797e+00    9.6     4103
   87.3   466.7   0.99     4.7    1.09       609   28.4   5.0779e-01   28.4     4103
   91.2   487.4   1.00     6.5    1.09      1182   14.7   9.8478e-01   14.7     4103
   93.2   497.9   1.00    13.7    1.09      2700    7.4   2.2504e+00    7.4     4103
  184.5   985.3   1.11    19.6    1.32      6526    4.8   5.4380e+00    4.8     6228
  366.2  1955.2   1.28     5.2    0.96       671   25.6   5.5926e-01   25.6     2775
  438.5  2341.2   1.40    35.5    0.91     12546    1.9   1.0455e+01    1.9     1201
  450.0  2402.3   1.37     3.5    1.58       241   47.4   2.0109e-01   47.4     1078
  510.9  2727.3   3.06    52.1   57.62    340932    0.9   2.8411e+02    0.9     8608
  548.4  2927.3   1.48     5.9    0.99       471   18.3   3.9285e-01   18.3      571
  596.6  3184.9   1.54     8.1    0.94       730   12.2   6.0827e-01   12.2      521
  669.6  3574.3   1.72    25.6    0.79      6960    2.5   5.8000e+00    2.5      492
  961.9  5134.5   2.01    19.5    1.21      3962    3.3   3.3019e+00    3.3      334
 1115.2  5952.5   2.17    11.6    1.40      1426    7.2   1.1886e+00    7.2      320
 1180.0  6298.6   2.19     3.5    1.06       143   44.6   1.1905e-01   44.6      284
 1345.5  7181.7   2.38     8.9    0.86       950    8.1   7.9199e-01    8.1      192
 1368.2  7303.0   2.51    12.1    0.81      1505    5.8   1.2545e+00    5.8      154
 1411.7  7535.3   2.45     4.7    0.92       253   21.2   2.1110e-01   21.2      154
 1481.4  7907.3   2.74    10.8    1.00      1104    7.0   9.2028e-01    7.0      132
 1730.9  9238.9   2.81     3.6    0.94        98   36.4   8.1780e-02   36.4       58
 2241.5 11963.9   3.39     3.5    0.92       100   31.3   8.3211e-02   31.3       32
 2753.0 14694.1   3.96     9.1    0.78       827    7.2   6.8935e-01    7.2        1
