
                       be used for evaluation purposes
                                                            18-Mar-2019 10:20
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: Sum_Spec.dat                     
 Sample Title : Cs137                                            

 Spectrum saved on 25-Oct-2018 at 16:25    Collected on 14-Aug-2018 at 23:33
 Sample  Taken  on 14-Aug-2018 at 22:52    Decayed      0 Days,     0 mins.

            Detector file number used:     1
            Energy     Calibration Performed on 13-Mar-2019 at 17:27
            Peak Shape Calibration Performed on 13-Mar-2019 at 17:31


   Datetime:   14-Aug-2018 23:12
   Live:       2400.00 
   Mass:       230 
   Shelf:      5

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   40.7   217.7   0.91     8.1    0.89      1541   16.6   6.4193e-01   16.6     5356
   72.6   388.4   0.95    15.6    0.80      4578    6.6   1.9075e+00    6.6     6291
   74.8   399.9   0.95    23.8    0.80      8289    3.8   3.4539e+00    3.8     6990
   84.6   452.2   1.03     8.5    1.54      3325    8.1   1.3856e+00    8.1     6167
   87.2   466.1   1.03     3.8    1.54       978   25.2   4.0760e-01   25.2     6167
   91.1   487.0   1.04    10.6    1.54      2375   10.4   9.8956e-01   10.4     6167
   93.2   497.9   1.04    16.6    1.54      5643    4.7   2.3513e+00    4.7     6167
  184.5   985.3   1.10    31.7    0.61     13252    2.9   5.5217e+00    2.9     9633
  366.2  1955.2   1.28     7.3    1.31      1166   18.9   4.8602e-01   18.9     4149
  438.6  2341.3   1.40    49.7    1.05     24882    1.3   1.0367e+01    1.3     1708
  449.9  2402.0   1.37     3.4    0.77       333   38.4   1.3871e-01   38.4     1670
  510.9  2727.3   3.07    67.1   86.16    515959    0.7   2.1498e+02    0.7    13960
  548.4  2927.3   1.48     9.5    0.98       936   11.2   3.9002e-01   11.2      703
  596.5  3184.3   1.54     9.9    1.08      1449    7.6   6.0392e-01    7.6      682
  669.6  3574.3   1.67    28.6    0.95      7969    2.3   3.3205e+00    2.3      654
  961.9  5134.4   2.09    20.1    1.09      4661    3.3   1.9420e+00    3.3      434
 1115.2  5952.8   2.14    15.0    1.06      2415    5.1   1.0061e+00    5.1      444
 1180.6  6301.8   2.19     3.7    0.91       147   51.0   6.1107e-02   51.0      388
 1345.5  7181.7   2.47    13.2    0.78      1828    5.5   7.6174e-01    5.5      216
 1368.3  7303.3   2.46    17.1    0.77      2935    3.9   1.2227e+00    3.9      195
 1411.9  7535.9   2.45     6.4    0.89       424   14.7   1.7687e-01   14.7      187
 1481.4  7907.0   2.69    14.8    0.91      1935    5.2   8.0620e-01    5.2      188
 1731.2  9240.3   2.81     3.7    1.01       139   32.0   5.7870e-02   32.0       95
 2242.0 11966.5   3.39     3.5    0.92       236   17.6   9.8507e-02   17.6       49
 2753.2 14695.1   3.99    11.7    0.90      1625    4.8   6.7727e-01    4.8        8
