
                       be used for evaluation purposes
                                                             2-Jun-2019 15:26
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: Sum_Spec.dat                     
 Sample Title : Cs137                                            

 Spectrum saved on 25-Oct-2018 at 17:25    Collected on 15-Aug-2018 at  0:13
 Sample  Taken  on 14-Aug-2018 at 22:52    Decayed      0 Days,     0 mins.

            Detector file number used:     2
            Energy     Calibration Performed on 20-Mar-2019 at 15:12
            Peak Shape Calibration Performed on 20-Mar-2019 at 15:15


   Datetime:  14-Aug-2018 23:53
   Live:      2400.00 
   Mass:       230
   Shelf:      5

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   40.9   217.8   0.92     8.1    0.59      1433   14.8   5.9717e-01   14.8     4037
   72.9   388.3   0.93    14.0    0.99      3203   13.3   1.3348e+00   13.3     5183
   75.1   399.9   0.93    23.1    0.99      6144    7.2   2.5601e+00    7.2     5759
   84.9   452.3   0.99     9.7    0.81      2500    8.2   1.0417e+00    8.2     4734
   87.6   466.2   1.00     3.6    0.81       770   25.0   3.2070e-01   25.0     4734
   91.5   487.1   1.00     9.6    0.81      2191    9.2   9.1282e-01    9.2     4734
   93.5   498.0   1.00    20.4    0.81      5648    4.0   2.3531e+00    4.0     4734
  185.0   985.3   1.07    35.4    1.46     13150    2.8   5.4792e+00    2.8     7216
  367.1  1955.3   1.29     5.3    0.99       960   19.0   3.9981e-01   19.0     3313
  439.6  2341.4   1.41    51.9    1.44     24075    1.4   1.0031e+01    1.4     1210
  512.1  2727.3   2.96    58.1   68.24    386023    0.8   1.6084e+02    0.8    12783
  549.7  2927.5   1.50     7.4    1.07       854   10.8   3.5578e-01   10.8      465
  597.9  3184.3   1.67    11.7    0.91      1504    6.6   6.2686e-01    6.6      402
  671.1  3574.5   1.62    20.9    1.14      3727    3.8   1.5529e+00    3.8      419
  848.6  4519.8   1.83     3.3    1.28       157   42.2   6.5209e-02   42.2      313
  964.0  5134.5   2.03    14.7    0.65      2179    4.7   9.0794e-01    4.7      288
 1117.7  5953.2   2.21    14.9    1.20      2291    4.8   9.5454e-01    4.8      305
 1348.4  7182.1   2.44    14.7    0.98      1685    5.4   7.0189e-01    5.4      137
 1371.3  7303.6   2.48    16.0    0.89      2875    3.7   1.1981e+00    3.7      103
 1414.9  7536.0   2.48     3.7    0.88       164   27.5   6.8441e-02   27.5      106
 1484.6  7907.5   2.61    12.0    1.10      1622    5.5   6.7584e-01    5.5       96
 1735.0  9241.3   2.84     3.8    0.97       126   29.9   5.2580e-02   29.9       66
 2246.6 11965.8   3.42     3.8    0.82       240   17.5   1.0007e-01   17.5       48
 2759.0 14695.4   3.74    12.1    0.80      1573    4.8   6.5560e-01    4.8        2
