
                       be used for evaluation purposes
                                                            18-Mar-2019 10:22
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: Sum_Spec.dat                     
 Sample Title : Cs137                                            

 Spectrum saved on 25-Oct-2018 at 16:24    Collected on 15-Aug-2018 at  0:37
 Sample  Taken  on 14-Aug-2018 at 22:52    Decayed      0 Days,     0 mins.

            Detector file number used:     1
            Energy     Calibration Performed on 13-Mar-2019 at 17:27
            Peak Shape Calibration Performed on 13-Mar-2019 at 17:31

 
   Datetime:   14-Aug-2018 23:53
   Live:       2400.00 
   Mass:       230
   Shelf:      5

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   40.7   217.9   0.91     5.7    0.58       644   23.4   4.8807e-01   23.4     2228
   72.6   388.2   0.98    10.3    0.80      1824    9.5   1.3819e+00    9.5     2545
   74.8   399.8   0.98    15.8    0.80      3277    5.6   2.4825e+00    5.6     2545
   84.6   452.2   0.97     6.6    0.70      1208   11.1   9.1491e-01   11.1     2312
   87.2   465.9   0.97     3.5    0.70       382   32.0   2.8910e-01   32.0     2312
   91.1   487.1   0.97     6.5    0.70       985   13.3   7.4656e-01   13.3     2312
   93.2   498.0   0.98    15.7    0.70      2865    5.4   2.1701e+00    5.4     2312
  184.5   985.4   1.04    25.1    1.29      6540    3.8   4.9544e+00    3.8     3488
  366.2  1955.1   1.28     3.9    0.94       498   25.0   3.7752e-01   25.0     1425
  380.8  2033.0   1.26    17.8    0.94      3438    4.4   2.6042e+00    4.4     1114
  388.4  2073.6   1.30     4.3    1.12       474   23.9   3.5882e-01   23.9     1096
  438.6  2341.4   1.39    36.9    1.04     11853    2.0   8.9798e+00    2.0      553
  484.8  2588.2   1.41     4.2    1.13       384   20.8   2.9089e-01   20.8      485
  510.9  2727.3   3.12    39.0   36.60    186439    1.0   1.4124e+02    1.0     3610
  548.4  2927.5   1.48     6.0    0.88       428   14.4   3.2446e-01   14.4      203
  596.5  3184.4   1.54     8.4    0.82       731    8.8   5.5411e-01    8.8      180
  669.6  3574.5   1.63    13.3    1.08      1532    5.9   1.1606e+00    5.9      180
  846.5  4518.7   1.82     3.5    1.53       105   42.5   7.9792e-02   42.5      121
  897.8  4792.4   1.87     5.2    0.93       369   14.9   2.7955e-01   14.9      141
  961.9  5134.3   1.95     8.3    0.82       876    7.6   6.6358e-01    7.6      141
 1115.3  5953.3   2.32    11.4    0.91      1154    6.8   8.7443e-01    6.8      138
 1345.6  7182.1   2.38     8.9    0.90       806    7.4   6.1070e-01    7.4       64
 1368.3  7303.6   2.60    11.4    0.92      1447    5.0   1.0963e+00    5.0       46
 1411.9  7536.4   2.45     3.5    0.88        68   44.5   5.1783e-02   44.5       45
 1481.4  7907.3   2.53     8.8    1.14       749    8.1   5.6753e-01    8.1       44
 1731.4  9241.6   2.81     3.4    0.98        80   33.8   6.0732e-02   33.8       27
 1835.6  9797.3   2.93     4.7    0.68       199   17.9   1.5073e-01   17.9       28
 2241.7 11964.9   3.39     3.6    0.75       107   29.9   8.0740e-02   29.9       32
 2753.2 14694.8   3.96     8.7    0.61       804    7.1   6.0923e-01    7.1        4
