
                       be used for evaluation purposes
                                                            18-Mar-2019 10:02
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AM090418_10cm_Al02.Chn
 Sample Title : Cs137

 Spectrum saved on 25-Oct-2018 at 16:31    Collected on 31-Aug-2018 at 13:41
 Sample  Taken  on 31-Aug-2018 at 13:41    Decayed      0 Days,     0 mins.

            Detector file number used:     1
            Energy     Calibration Performed on 13-Mar-2019 at 17:27
            Peak Shape Calibration Performed on 13-Mar-2019 at 17:31


   Datetime:   31-Aug-2018 13:41
   Live:       332040.0
   Mass:       213
   Shelf:      10

   Reported Activity values were rounded
   FitzPeaks Version: 3.71 23rd January 2014

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   46.4   248.1   0.89    14.2    0.98      2470    8.2   7.4375e-03    8.2     2710
   53.2   284.5   0.92     9.5    1.02      1360   15.1   4.0973e-03   15.1     2979
   59.3   317.3   0.93     3.9    0.69       532   35.6   1.6031e-03   35.6     3172
   63.1   337.7   0.90    26.9    0.82      7761    3.1   2.3373e-02    3.1     3269
   66.3   354.6   0.90     3.5    0.82       402   46.5   1.2100e-03   46.5     3269
   72.7   388.5   0.95    18.1    1.07      4914    4.9   1.4799e-02    4.9     3273
   74.8   399.9   0.95    29.0    1.07      9101    2.9   2.7410e-02    2.9     3637
   76.8   410.8   0.95     4.0    1.07       682   29.6   2.0547e-03   29.6     3637
   84.5   451.6   1.10    11.0    3.00      5061    5.7   1.5242e-02    5.7     3167
   87.2   465.9   1.11     8.5    3.00      1226   18.7   3.6916e-03   18.7     3167
   89.7   479.6   1.11     3.5    3.00       379   57.2   1.1408e-03   57.2     3167
   92.5   494.4   1.11    24.8    3.00     11351    2.7   3.4187e-02    2.7     3167
   98.4   525.9   0.97     4.2    1.31       352   48.1   1.0611e-03   48.1     2372
  109.1   582.9   0.99     3.3    1.06       363   38.6   1.0943e-03   38.6     2386
  112.7   601.9   0.99     4.2    1.06       463   30.5   1.3936e-03   30.5     2386
  139.8   746.9   1.02     6.6    0.98       727   19.4   2.1908e-03   19.4     2118
  143.7   767.7   1.03     9.3    0.98      1682    8.9   5.0667e-03    8.9     2118
  163.4   872.7   1.05     6.9    0.59       833   17.8   2.5088e-03   17.8     2239
  185.7   991.8   1.06    29.8    0.69      8438    2.7   2.5414e-02    2.7     2168
  198.4  1059.3   1.09     7.3    0.92       812   17.3   2.4447e-03   17.3     2054
  201.8  1077.5   1.09     4.0    0.92       229   54.7   6.9015e-04   54.7     2054
  205.4  1096.7   1.10     6.8    0.92       802   16.7   2.4159e-03   16.7     2054
  238.5  1273.8   0.99    10.2    0.75      1154   11.4   3.4762e-03   11.4     1703
  295.1  1575.5   1.20     4.2    0.60       322   38.0   9.6888e-04   38.0     1470
  338.3  1806.3   1.24     3.5    0.88       244   49.1   7.3421e-04   49.1     1470
  351.9  1879.0   1.26     5.6    0.83       624   19.8   1.8799e-03   19.8     1361
  477.7  2550.0   1.40     3.4    1.26       284   40.4   8.5547e-04   40.4     1141
  510.9  2727.3   2.88     9.7    1.86      7408    3.8   2.2312e-02    3.8     2073
  569.6  3040.6   1.51     3.5    1.48       238   46.7   7.1738e-04   46.7     1032
  583.1  3112.9   1.52     5.2    0.80       477   23.5   1.4378e-03   23.5      955
  595.9  3181.0   1.53     3.5    0.78       252   44.0   7.5867e-04   44.0     1033
  609.2  3252.1   1.55     6.3    0.81       691   17.3   2.0820e-03   17.3     1156
  802.9  4285.7   1.77     4.3    0.71       300   32.0   9.0437e-04   32.0      745
  846.5  4518.8   1.82     3.7    1.10       211   49.7   6.3475e-04   49.7      865
  910.9  4862.5   1.89     4.5    0.90       329   29.9   9.9068e-04   29.9      743
 1000.8  5342.2   1.99     5.8    1.06       312   31.0   9.3833e-04   31.0      618
 1460.4  7795.1   2.27    10.8    0.99       917   10.1   2.7606e-03   10.1      351
 1764.1  9415.8   2.85     4.1    1.07       163   41.8   4.9164e-04   41.8      264
 2222.6 11863.2   3.37     3.3    0.92       107   49.7   3.2292e-04   49.7      166
 2613.7 13950.3   3.81     8.0    0.99       509   12.4   1.5327e-03   12.4      109
