
                       be used for evaluation purposes
                                                            19-Mar-2019 17:50
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: Sum_Spec.dat                     
 Sample Title : Cs137                                            

 Spectrum saved on 25-Oct-2018 at 16:32    Collected on 11-Oct-2018 at  7:16
 Sample  Taken  on 10-Oct-2018 at 15:16    Decayed      0 Days,     0 mins.

            Detector file number used:     1
            Energy     Calibration Performed on 13-Mar-2019 at 17:27
            Peak Shape Calibration Performed on 13-Mar-2019 at 17:31

 
   Datetime:   10-Oct-2018 23:16
   Live:       43200.0
   Mass:       239
   Shelf:      5 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   59.3   317.0   0.93     3.5    0.84       277   47.0   6.4127e-03   47.0     1669
   63.2   337.7   0.83    10.7    0.92      1037   11.1   2.3999e-02   11.1     1554
   67.6   361.3   0.84     5.6    0.92       706   16.0   1.6349e-02   16.0     1554
   72.7   388.6   0.91     9.8    1.14      1432    9.8   3.3153e-02    9.8     1500
   74.8   400.1   0.91    16.4    1.14      2656    5.7   6.1479e-02    5.7     1500
   84.7   452.5   0.96     6.6    1.59      1336   10.5   3.0925e-02   10.5     1333
   87.2   466.1   0.96     4.0    1.59       370   32.2   8.5672e-03   32.2     1482
   92.5   494.5   0.97     7.2    1.38      1325   10.8   3.0662e-02   10.8     1289
  100.0   534.5   0.98     3.8    1.00       262   44.4   6.0633e-03   44.4     1257
  143.6   767.2   1.03     3.7    0.84       292   40.8   6.7648e-03   40.8     1386
  185.7   991.9   1.07     9.4    0.78      1182   11.2   2.7359e-02   11.2     1299
  511.0  2728.0   2.88     5.9    1.20      3242    7.4   7.5053e-02    7.4     2483
  813.8  4343.8   1.78     7.4    1.44      1050   10.7   2.4294e-02   10.7      623
  898.0  4793.2   1.92    98.5    4.46     88415    0.8   2.0467e+00    0.8      463
 1121.1  5984.1   2.13     3.4    0.77       198   43.0   4.5718e-03   43.0      553
 1221.6  6520.8   2.24     3.8    0.78       177   50.0   4.1065e-03   50.0      589
 1324.8  7071.4   2.36     7.0    1.48      1454    9.5   3.3668e-02    9.5      899
 1835.7  9798.4   2.98    74.5    3.47     51819    1.2   1.1995e+00    1.2       64
 1850.0  9874.4   2.95     3.8    1.20        94   39.9   2.1658e-03   39.9       58
 2614.2 13953.3   3.81     4.5    0.94        61   48.0   1.4077e-03   48.0       22
 2733.3 14588.6   3.94     8.3    0.79       620    8.4   1.4363e-02    8.4        5
